X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
29.85,3019.967,3.941,300.0,0.0,1e-06,0.073
29.85,3019.967,2.782,3325.586,0.5,2.3e-05,0.862
29.85,3019.967,2.681,3237.527,0.5,3.9e-05,0.753
29.85,3019.967,2.676,3045.35,0.6,6.9e-05,0.688
29.85,3019.967,5.0,2374.741,0.8,0.0001,0.677
29.85,3019.967,0.0,338.713,0.0,1e-06,0.03
