,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,7.417564214377992e-06,-6.100298862184677e-09,3.709236608646434e-09,9.00748036866196e-09,-3.2970563345656583e-06,-6.954484390167443e-08,1.1008439609788743e-09,4.871112386755851e-10,-1.850428627093197e-10,-1.9679420662590563e-10,-2.7930237587336615e-07,0.00019410705233332878,-3.578330544886703e-05,-3.126907003330322e-05,-3.0507348819540565e-05,-0.0002614633126426428,0.0039028054048581046,0.1300555981510955,0.2734778324719836,0.13526755201866913,0.08989622204453304,0.4082021186423476,0.6142785637366347,-4.982694290225496e-05,2.6056215561854644e-05,2.7758815910299424e-05,3.4057000214855324e-05,0.00026501434394412247,-0.0011532548802954817
dB/dt tg02,5.491139464007354e-06,6.637727245990015e-07,5.525852235779237e-07,2.532248906444147e-07,-4.286884926560787e-06,-3.6496889180828386e-08,1.2220242326539007e-09,8.567409684912521e-10,6.428487519487022e-10,5.755225850731389e-09,-1.9551329220102613e-07,7.272363954770566e-05,-3.0144727588334005e-05,-2.8967691242810064e-05,-3.380950249484809e-05,-0.000291982215176794,0.0027122843054616244,0.0663527243334515,0.17636555324770076,0.08987084324010945,0.06054306867363709,0.2531852433384826,0.43057400000811435,-2.6107234588949793e-05,1.770417706305655e-05,2.1217039230357993e-05,2.9834824735349932e-05,0.00024400321874116636,-0.0008081943094403017
dB/dt tg03,3.683879655067631e-06,7.601541993081003e-07,6.093195371190335e-07,2.2717789028537352e-07,-3.948873441163262e-06,-1.648669220082996e-08,1.069562563462498e-09,8.771986646031843e-10,8.972728353991808e-10,7.1824736177641774e-09,-1.243963650167077e-07,9.940575518165119e-06,-2.1840012683511377e-05,-2.252511094389537e-05,-2.8795578911913142e-05,-0.0002382126009418779,0.0017109748087378053,0.0283853135848333,0.08896579936591036,0.05001066102027194,0.03498602211965338,0.12536037207749995,0.27433570527920437,-1.1752739382355272e-05,9.596056034565582e-06,1.3578546402292421e-05,2.152292597457849e-05,0.00017844206017173775,-0.0005148757611127618
dB/dt tg04,2.2434139542123096e-06,5.649568602850704e-07,4.2303623240714137e-07,9.800162261424342e-08,-2.8797399330435236e-06,-6.853722509870507e-09,7.69157805345115e-10,6.8465386790743e-10,7.743623312643881e-10,5.78781931289731e-09,-7.260415278110627e-08,-1.057560321186613e-05,-1.3343107210465323e-05,-1.4749038361847055e-05,-1.9896324910166995e-05,-0.00015088417742173114,0.0009889012040653232,0.010687967226136214,0.025549447585516586,0.02097875054426532,0.016372497830615118,0.04112524961777813,0.16032034556070743,-4.851587320198171e-06,3.5962315756343763e-06,6.9761216655342086e-06,1.2667203773746492e-05,0.0001036291342390201,-0.00030091615216299106
dB/dt tg05,1.4631814137657193e-06,4.2146905023298803e-07,2.938828852075004e-07,3.5160193334930675e-08,-2.055155901229789e-06,-3.1452428381032203e-09,5.427272810020886e-10,5.122921805847811e-10,6.080415550120729e-10,4.319214885617328e-09,-4.621888382318896e-08,-1.4443485697582258e-05,-8.247842848228108e-06,-9.794830400949575e-06,-1.3740639274958667e-05,-9.62514807372597e-05,0.0006241729477062877,0.0041460312548532935,-0.002562952417832565,0.007232853880130918,0.007381633259463013,0.006838525239016606,0.10214707930915046,-2.2008066819729763e-06,1.0734741931555977e-06,3.6390155806457296e-06,7.63487092264639e-06,6.159770573153148e-05,-0.00019176697219918835
dB/dt tg06,1.0063211944932946e-06,3.2257224143842313e-07,2.0957887610368395e-07,4.823642628004012e-09,-1.4835853934459058e-06,-1.5621902922145693e-09,3.855111239830056e-10,3.8336273999148667e-10,4.697552027560648e-10,3.1964985661456435e-09,-3.145737010839899e-08,-1.3792341497403617e-05,-5.202644949657396e-06,-6.666064430300308e-06,-9.673267158999691e-06,-6.309948957755715e-05,0.0004216247017559992,0.0015147756023035004,-0.014112253262229297,0.0006207187089157713,0.002843385964931906,-0.0070319284396378225,0.06956258156220424,-1.0733071383228096e-06,7.891877178005195e-08,1.918036409158603e-06,4.736278912034143e-06,3.7825513759533225e-05,-0.00013063276845681228
dB/dt tg07,6.261739595840484e-07,2.2522804764685598e-07,1.320808464956222e-07,-1.5657102832145998e-08,-9.551547561642214e-07,-6.759763560806262e-10,2.3987031733850636e-10,2.5620096389818437e-10,3.2493568458079084e-10,2.095051295512088e-09,-1.9640220946458885e-08,-1.1026760464138518e-05,-2.7643154980704825e-06,-3.972964651343358e-06,-6.0248786824207484e-06,-3.582809057872719e-05,0.0002607109275559199,0.00021382482415231878,-0.018211079418419103,-0.003283406670886186,-0.00015858013953456458,-0.01311590155866789,0.043449101014373256,-4.467730897651122e-07,-2.9612668305156014e-07,7.496959425618349e-07,2.4642666372067115e-06,1.955464243004526e-05,-8.163781152728952e-05
dB/dt tg08,3.570215873047153e-07,1.464231498985155e-07,7.58822977077482e-08,-2.237483625408529e-08,-5.538143520040035e-07,-2.753446656907638e-10,1.3031249603260106e-10,1.536325196693101e-10,2.029331106487867e-10,1.2284725192035422e-09,-1.1509100118291927e-08,-7.742540488458332e-06,-1.2236949089805412e-06,-2.0810515125241242e-06,-3.344740083267112e-06,-1.7874545967489234e-05,0.0001510156917675845,-0.00021883482966316431,-0.015813959157211295,-0.004426527172044739,-0.0015066258540580154,-0.012790767113709418,0.025462328977065626,-1.6835370308015728e-07,-2.1518694195114841e-07,1.869313620272407e-07,1.067137136472866e-06,8.599115567949023e-06,-4.788350104501403e-05
dB/dt tg09,2.209093696294704e-07,1.0212687927309665e-07,4.882188386942513e-08,-2.00055080448139e-08,-3.454895034030674e-07,-1.2184771057187042e-10,7.51369518483868e-11,9.758291277238915e-11,1.3396154457522407e-10,7.725069031624952e-10,-7.418422497012152e-09,-5.649603062472533e-06,-5.914995212988554e-07,-1.1802698324189353e-06,-2.0043867533689107e-06,-9.967653118282745e-06,9.635520158964838e-05,-0.00031291557835956427,-0.011696588494740135,-0.0040193087367147535,-0.00170965779886568,-0.010282485752769906,0.016407333666603144,-6.438329952573634e-08,-4.419983225317951e-08,5.0215248508053475e-08,5.139051506036791e-07,4.360557465378319e-06,-3.088337038409622e-05
dB/dt tg10,1.461365861627106e-07,7.451614351679209e-08,3.389637564767735e-08,-1.6425057235002894e-08,-2.2945995521729822e-07,-5.884186129850767e-11,4.5917388691689365e-11,6.531233605187011e-11,9.291681654272088e-11,5.157633878566927e-10,-5.144113693797684e-09,-4.276278293975403e-06,-3.127680412469131e-07,-7.186085405791365e-07,-1.282481513981358e-06,-6.083975064065767e-06,6.62208410003417e-05,-0.0003064142333359722,-0.008321543341306532,-0.003324173096647266,-0.001578605482095704,-0.007943686980599577,0.01137145048062138,-2.348275461907351e-08,6.317238288481713e-08,2.8853549079385533e-08,2.7766607357005033e-07,2.5278124687329767e-06,-2.1424053715570847e-05
