X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
29.85,3019.967,3.947,300.0,0.0,1e-06,0.073
29.85,3019.967,2.795,3295.431,0.6,2.2e-05,0.872
29.85,3019.967,2.675,3227.48,0.5,3.8e-05,0.752
29.85,3019.967,2.667,3036.103,0.6,6.9e-05,0.683
29.85,3019.967,5.0,2344.7,0.7,0.00011,0.666
29.85,3019.967,0.0,336.736,0.0,1e-06,0.028
