X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
29.85,3019.967,3.975,300.0,0.0,1e-06,0.073
29.85,3019.967,2.772,3370.563,0.5,2.3e-05,0.847
29.85,3019.967,2.69,3257.458,0.5,4e-05,0.748
29.85,3019.967,2.689,3056.169,0.6,7e-05,0.689
29.85,3019.967,5.0,2362.033,0.8,9.6e-05,0.687
29.85,3019.967,0.0,338.653,0.0,1e-06,0.031
