,sensitivity,confidence
$\mathrm{thk}_{1}$,9.405419230663172,5.926788342719402
$\mathrm{thk}_{2}$,2.855059016230071,1.8424805185048436
$\mathrm{thk}_{3}$,1.7544687096985432,1.1156239004829653
$\mathrm{thk}_{4}$,1.3204905662126307,0.7936369085842643
$\mathrm{thk}_{5}$,1.4633648159925428,0.8866915592134741
"$\rho_{0,1}$",25.926321107454775,16.735830128504517
"$\rho_{0,2}$",7.142137430615788,4.52754513210101
"$\rho_{0,3}$",2.604393364984637,1.6985053591817971
"$\rho_{0,4}$",1.608196883107801,0.929825863386642
"$\rho_{0,5}$",1.9155778193607822,1.3236423527978616
"$\rho_{0,6}$",1.5028900761866004,0.9236594391967056
"$\phi_{\mathrm{max}, 2}$",2.7715459679359524,1.7330715568478654
"$\phi_{\mathrm{max}, 3}$",2.1158784720401282,1.4048775566606622
"$\phi_{\mathrm{max}, 4}$",1.8533704821850452,1.094389910139772
"$\phi_{\mathrm{max}, 5}$",2.0455759328101206,1.252159369174572
"$\phi_{\mathrm{max}, 6}$",1.4677290030778636,0.9427668583664301
"$\tau_{\phi, 2}$",2.409146334633432,1.6235115940402918
"$\tau_{\phi, 3}$",1.7651109767571875,1.063038658171794
"$\tau_{\phi, 4}$",2.711187147363903,1.5822661734263448
"$\tau_{\phi, 5}$",1.2433105158988234,0.7230714567714249
"$\tau_{\phi, 6}$",2.0973343632455688,1.3498917191861064
$c_{2}$,1.7330807152680925,1.1168103660911877
$c_{3}$,1.0511274584018488,0.6406602507252789
$c_{4}$,2.4119134948837013,1.4643368879889533
$c_{5}$,1.9229001866110365,1.140958862666733
$c_{6}$,1.0580619325344487,0.67042643213408
