,sensitivity,confidence
$\mathrm{thk}_{1}$,8.971022663261113,5.673317506210125
$\mathrm{thk}_{2}$,2.5427962532961828,1.5082953377984414
$\mathrm{thk}_{3}$,1.7220900961669432,1.0440228808144978
$\mathrm{thk}_{4}$,2.5245402523933613,1.5590969537135868
$\mathrm{thk}_{5}$,1.4878616537258709,0.9519013689749792
"$\rho_{0,1}$",22.586997304045763,14.278339180925633
"$\rho_{0,2}$",6.016563623476026,3.9357961052746524
"$\rho_{0,3}$",2.3180941124617775,1.4538172624623353
"$\rho_{0,4}$",1.7639047813027093,1.1210068380586728
"$\rho_{0,5}$",1.4852445716237361,0.925849674921668
"$\rho_{0,6}$",1.648104458282306,1.0190894492608535
"$\phi_{\mathrm{max}, 2}$",2.412046598010197,1.4892852447149263
"$\phi_{\mathrm{max}, 3}$",2.459142602111053,1.5318356016353838
"$\phi_{\mathrm{max}, 4}$",2.0040700299742036,1.1930549755289335
"$\phi_{\mathrm{max}, 5}$",2.2094044523226755,1.3903405334278038
"$\phi_{\mathrm{max}, 6}$",1.746362418788075,1.097792007455918
"$\tau_{\phi, 2}$",3.122658269268009,1.9111584544473665
"$\tau_{\phi, 3}$",1.533796831437926,0.9702086561942531
"$\tau_{\phi, 4}$",2.2734133506836613,1.4147376349793197
"$\tau_{\phi, 5}$",1.738105507004257,1.0685410283526313
"$\tau_{\phi, 6}$",1.9555560180825282,1.1906907180256268
$c_{2}$,2.1890732912506876,1.3998054095631534
$c_{3}$,1.160191448193152,0.7242438563483554
$c_{4}$,1.9890834694782782,1.257637221834708
$c_{5}$,2.04211906263445,1.2334940891618467
$c_{6}$,0.9531805081093594,0.595826855580826
