,sensitivity,confidence
$\mathrm{thk}_{1}$,5.967311028381546,3.683839102393586
$\mathrm{thk}_{2}$,1.0256946586780626,0.6136211295165573
$\mathrm{thk}_{3}$,0.6936317295147861,0.4422785633853663
$\mathrm{thk}_{4}$,0.8616337914675695,0.4921987808462203
$\mathrm{thk}_{5}$,1.4243408506313084,0.9176275005774296
$\mathrm{thk}_{6}$,0.8596423399718621,0.5041852931136828
$\mathrm{thk}_{7}$,0.4668144470563021,0.2677448813120858
$\rho_{1}$,41.5286225896543,25.04127010994911
$\rho_{2}$,23.99037970580973,13.929329295906557
$\rho_{3}$,6.348665409577314,3.8558007724874037
$\rho_{4}$,1.5226523045863487,0.955469332796954
$\rho_{5}$,0.9359819526277192,0.587243738276605
$\rho_{6}$,0.9776395891107604,0.5930232169185126
$\rho_{7}$,1.0387001129507316,0.6773097241169866
$\rho_{8}$,1.224099979319446,0.7999896299404555
