,sensitivity,confidence
$\mathrm{thk}_{1}$,3.274562427037459,1.9559503068373632
$\mathrm{thk}_{2}$,2.6610955114730164,1.643916715545674
$\mathrm{thk}_{3}$,2.7217813488957776,1.661896741710387
$\mathrm{thk}_{4}$,2.1641446453787685,1.3162660644371447
$\mathrm{thk}_{5}$,1.6216615545758326,1.0403691848710086
"$\rho_{0,1}$",2.5589612294387556,1.6605079138224088
"$\rho_{0,2}$",1.9012200484205566,1.1302428822515989
"$\rho_{0,3}$",2.6261533959567145,1.5809769086811503
"$\rho_{0,4}$",2.323893655694099,1.5098286170539794
"$\rho_{0,5}$",2.526258696958793,1.4237824306753595
"$\rho_{0,6}$",2.9030840870006696,1.7389464523676885
"$\phi_{\mathrm{max}, 2}$",3.073590524837634,1.959153832782737
"$\phi_{\mathrm{max}, 3}$",3.090782062428809,1.9014305043328343
"$\phi_{\mathrm{max}, 4}$",1.765320089861228,1.0725623335454493
"$\phi_{\mathrm{max}, 5}$",1.3499712439730622,0.832735421262064
"$\phi_{\mathrm{max}, 6}$",2.6480652222394903,1.5948603545900317
"$\tau_{\phi, 2}$",1.8557540641762724,1.1170761441171275
"$\tau_{\phi, 3}$",1.9113080372046236,1.1691690624255302
"$\tau_{\phi, 4}$",3.030551061594396,1.7306399278199656
"$\tau_{\phi, 5}$",2.2101896965357164,1.287007501893085
"$\tau_{\phi, 6}$",2.6182596699002105,1.685469869225045
$c_{2}$,2.750775672161588,1.6725193257593631
$c_{3}$,2.525153092346404,1.501109188663756
$c_{4}$,2.14325726683018,1.4214507669775944
$c_{5}$,2.1096530013494923,1.3377779962815983
$c_{6}$,2.1359683929776665,1.3474952701833942
