tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20
1.78367e-03,1.27851e-03,9.70577e-04,6.96961e-04,4.69473e-04,3.33949e-04,2.48475e-04,1.72653e-04,1.13531e-04,8.01210e-05,5.94015e-05,4.07835e-05,2.60530e-05,1.75890e-05,1.24482e-05,7.81716e-06,4.59059e-06,2.87035e-06,1.87837e-06,1.05565e-06,5.29940e-07
2.04045e-03,1.30387e-03,8.88290e-04,5.59820e-04,3.28087e-04,2.10188e-04,1.43952e-04,9.06357e-05,5.30328e-05,3.39140e-05,2.31727e-05,1.45167e-05,8.52469e-06,5.48092e-06,3.78822e-06,2.37110e-06,1.43848e-06,9.54007e-07,6.72946e-07,4.31649e-07,2.64880e-07
2.02939e-03,1.29522e-03,8.81939e-04,5.55990e-04,3.26389e-04,2.09576e-04,1.43866e-04,9.08543e-05,5.33512e-05,3.42248e-05,2.34543e-05,1.47543e-05,8.71140e-06,5.62817e-06,3.90559e-06,2.45561e-06,1.49518e-06,9.93395e-07,7.01172e-07,4.49643e-07,2.75529e-07
2.03429e-03,1.29972e-03,8.85211e-04,5.57257e-04,3.25477e-04,2.07522e-04,1.41418e-04,8.85215e-05,5.16313e-05,3.31183e-05,2.28118e-05,1.45323e-05,8.76696e-06,5.78375e-06,4.08572e-06,2.62214e-06,1.62482e-06,1.09040e-06,7.73775e-07,4.97787e-07,3.04868e-07
2.50439e-03,1.57436e-03,1.05959e-03,6.59570e-04,3.81313e-04,2.41716e-04,1.64144e-04,1.02311e-04,5.92032e-05,3.75262e-05,2.54474e-05,1.57888e-05,9.16503e-06,5.83282e-06,3.99626e-06,2.47415e-06,1.48466e-06,9.76853e-07,6.85063e-07,4.36700e-07,2.66576e-07
1.95253e-03,1.30546e-03,9.36580e-04,6.36472e-04,4.11723e-04,2.87860e-04,2.12360e-04,1.45826e-04,9.34261e-05,6.37026e-05,4.55216e-05,2.97361e-05,1.79451e-05,1.16077e-05,7.97092e-06,4.87718e-06,2.84692e-06,1.81396e-06,1.23260e-06,7.52188e-07,4.37133e-07
2.01707e-03,1.27427e-03,8.54811e-04,5.25264e-04,2.97530e-04,1.85900e-04,1.25779e-04,7.96575e-05,4.88277e-05,3.37301e-05,2.52645e-05,1.81636e-05,1.26986e-05,9.43298e-06,7.30234e-06,5.18600e-06,3.51171e-06,2.49606e-06,1.84058e-06,1.22839e-06,7.71835e-07
2.03448e-03,1.30022e-03,8.86087e-04,5.58609e-04,3.27177e-04,2.09164e-04,1.42757e-04,8.92980e-05,5.17513e-05,3.28470e-05,2.23579e-05,1.40193e-05,8.32754e-06,5.45283e-06,3.84651e-06,2.48118e-06,1.55623e-06,1.05867e-06,7.60907e-07,4.97713e-07,3.10147e-07
1.82994e-03,1.17390e-03,8.04302e-04,5.11661e-04,3.03824e-04,1.97135e-04,1.36629e-04,8.73872e-05,5.21553e-05,3.39493e-05,2.35685e-05,1.50709e-05,9.06757e-06,5.95144e-06,4.18529e-06,2.67660e-06,1.66029e-06,1.12035e-06,8.01432e-07,5.22897e-07,3.26579e-07
2.03449e-03,1.30023e-03,8.86113e-04,5.58720e-04,3.27507e-04,2.09773e-04,1.43605e-04,9.03455e-05,5.28002e-05,3.37232e-05,2.30113e-05,1.43838e-05,8.41734e-06,5.39155e-06,3.71257e-06,2.31149e-06,1.39394e-06,9.20002e-07,6.46463e-07,4.12829e-07,2.52310e-07
2.03455e-03,1.30032e-03,8.86220e-04,5.58831e-04,3.27601e-04,2.09838e-04,1.43643e-04,9.03499e-05,5.27756e-05,3.36849e-05,2.29688e-05,1.43439e-05,8.38638e-06,5.36967e-06,3.69779e-06,2.30405e-06,1.39174e-06,9.20314e-07,6.47924e-07,4.14864e-07,2.54307e-07
2.03449e-03,1.30023e-03,8.86113e-04,5.58720e-04,3.27507e-04,2.09771e-04,1.43600e-04,9.03346e-05,5.27831e-05,3.37029e-05,2.29907e-05,1.43658e-05,8.40480e-06,5.38410e-06,3.70891e-06,2.31150e-06,1.39622e-06,9.23069e-07,6.49651e-07,4.15737e-07,2.54649e-07
2.03449e-03,1.30023e-03,8.86114e-04,5.58720e-04,3.27508e-04,2.09774e-04,1.43605e-04,9.03414e-05,5.27897e-05,3.37076e-05,2.29930e-05,1.43651e-05,8.40139e-06,5.37953e-06,3.70412e-06,2.30721e-06,1.39302e-06,9.20899e-07,6.48288e-07,4.15197e-07,2.54713e-07
2.03449e-03,1.30023e-03,8.86113e-04,5.58720e-04,3.27506e-04,2.09770e-04,1.43599e-04,9.03333e-05,5.27808e-05,3.36999e-05,2.29873e-05,1.43624e-05,8.40195e-06,5.38196e-06,3.70742e-06,2.31076e-06,1.39607e-06,9.23252e-07,6.49995e-07,4.16167e-07,2.55074e-07
2.03449e-03,1.30023e-03,8.86114e-04,5.58719e-04,3.27503e-04,2.09757e-04,1.43569e-04,9.02705e-05,5.26728e-05,3.35646e-05,2.28456e-05,1.42399e-05,8.32977e-06,5.36212e-06,3.72840e-06,2.37069e-06,1.47496e-06,1.00119e-06,7.18351e-07,4.66159e-07,2.83488e-07
2.03275e-03,1.29769e-03,8.83132e-04,5.55732e-04,3.25203e-04,2.08364e-04,1.42982e-04,9.05267e-05,5.35480e-05,3.46461e-05,2.39187e-05,1.51495e-05,8.95662e-06,5.75037e-06,3.94613e-06,2.42665e-06,1.43058e-06,9.20749e-07,6.31214e-07,3.89541e-07,2.29120e-07
2.06431e-03,1.33677e-03,9.21562e-04,5.88064e-04,3.47523e-04,2.22592e-04,1.51492e-04,9.39052e-05,5.34062e-05,3.30968e-05,2.19206e-05,1.31613e-05,7.34755e-06,4.53574e-06,3.03922e-06,1.84201e-06,1.09050e-06,7.14848e-07,5.01897e-07,3.21781e-07,1.98429e-07
2.07712e-03,1.33361e-03,9.12440e-04,5.77901e-04,3.40361e-04,2.18704e-04,1.50002e-04,9.44571e-05,5.51194e-05,3.50587e-05,2.37760e-05,1.46900e-05,8.42651e-06,5.27464e-06,3.54486e-06,2.12542e-06,1.22104e-06,7.70251e-07,5.19515e-07,3.14435e-07,1.81627e-07
2.03449e-03,1.30023e-03,8.86113e-04,5.58720e-04,3.27506e-04,2.09770e-04,1.43599e-04,9.03329e-05,5.27802e-05,3.36992e-05,2.29867e-05,1.43618e-05,8.40151e-06,5.38167e-06,3.70725e-06,2.31073e-06,1.39615e-06,9.23375e-07,6.50136e-07,4.16307e-07,2.55193e-07
