,sensitivity,confidence
$\mathrm{thk}_{1}$,2.7461401928785665,1.787549243220547
$\mathrm{thk}_{2}$,2.445537735730594,1.5790285231970693
$\mathrm{thk}_{3}$,2.5417820477176165,1.6032396181317854
$\mathrm{thk}_{4}$,2.7605695983350813,1.693476274840849
$\mathrm{thk}_{5}$,1.7603792862775256,1.0693610898049766
"$\rho_{0,1}$",2.9988776832316226,1.9849676318170524
"$\rho_{0,2}$",2.3701626535300244,1.4466629200109578
"$\rho_{0,3}$",2.4172944161304923,1.5224217849870958
"$\rho_{0,4}$",2.262357099846526,1.3862348320667008
"$\rho_{0,5}$",2.6903498617556285,1.652859847875054
"$\rho_{0,6}$",2.5388331163923015,1.677454133883643
"$\phi_{\mathrm{max}, 2}$",2.6938215350510273,1.6517751829448257
"$\phi_{\mathrm{max}, 3}$",2.678990159673524,1.7284985687722079
"$\phi_{\mathrm{max}, 4}$",1.8125759731189448,1.096571881764993
"$\phi_{\mathrm{max}, 5}$",1.7125851966366377,1.0338921307892066
"$\phi_{\mathrm{max}, 6}$",2.3135981379763084,1.3904841885239512
"$\tau_{\phi, 2}$",2.658980416421029,1.6948580508164013
"$\tau_{\phi, 3}$",2.1219761652740834,1.3940132209613982
"$\tau_{\phi, 4}$",2.9129424127279275,1.7136905237621938
"$\tau_{\phi, 5}$",2.6737398187895933,1.6502425531408367
"$\tau_{\phi, 6}$",2.389354688646682,1.5272767485958316
$c_{2}$,2.5999780059996334,1.6132672706591054
$c_{3}$,2.2688350693653554,1.4060207219642937
$c_{4}$,2.0344629276433848,1.2977746324250277
$c_{5}$,2.1959566320054313,1.3807148662080706
$c_{6}$,2.036164459971969,1.2275968931012842
