tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20
3.87580e-04,2.34967e-04,1.53700e-04,9.27418e-05,5.16553e-05,3.18359e-05,2.12509e-05,1.31892e-05,7.90244e-06,5.38843e-06,4.02156e-06,2.91383e-06,2.09461e-06,1.61837e-06,1.30971e-06,9.99149e-07,7.42878e-07,5.77120e-07,4.62336e-07,3.45596e-07,2.47947e-07
3.89205e-04,2.36271e-04,1.54719e-04,9.34581e-05,5.21080e-05,3.21324e-05,2.14522e-05,1.33108e-05,7.96776e-06,5.42629e-06,4.04504e-06,2.92672e-06,2.10106e-06,1.62198e-06,1.31191e-06,1.00029e-06,7.43400e-07,5.77363e-07,4.62438e-07,3.45598e-07,2.47903e-07
3.86912e-04,2.35061e-04,1.54195e-04,9.34446e-05,5.23304e-05,3.23871e-05,2.16791e-05,1.34805e-05,8.07579e-06,5.49609e-06,4.09206e-06,2.95529e-06,2.11727e-06,1.63220e-06,1.31890e-06,1.00464e-06,7.46025e-07,5.79085e-07,4.63632e-07,3.46337e-07,2.48329e-07
3.96859e-04,2.41475e-04,1.58277e-04,9.55804e-05,5.32011e-05,3.27165e-05,2.17712e-05,1.34438e-05,7.99825e-06,5.42184e-06,4.02947e-06,2.90855e-06,2.08589e-06,1.61031e-06,1.30291e-06,9.94033e-07,7.39240e-07,5.74413e-07,4.60239e-07,3.44086e-07,2.46900e-07
3.87757e-04,2.35527e-04,1.54803e-04,9.46817e-05,5.45207e-05,3.51550e-05,2.46348e-05,1.62826e-05,1.03276e-05,7.16168e-06,5.26484e-06,3.60770e-06,2.32715e-06,1.59885e-06,1.15614e-06,7.53887e-07,4.68427e-07,3.12023e-07,2.18829e-07,1.37913e-07,8.21479e-08
2.51786e-04,1.57977e-04,1.06489e-04,6.65900e-05,3.87834e-05,2.49284e-05,1.73283e-05,1.13755e-05,7.30123e-06,5.24953e-06,4.06745e-06,3.04846e-06,2.24105e-06,1.74710e-06,1.41800e-06,1.08157e-06,8.01925e-07,6.20901e-07,4.95819e-07,3.69058e-07,2.63557e-07
3.87716e-04,2.35398e-04,1.54537e-04,9.41802e-05,5.36958e-05,3.40783e-05,2.33938e-05,1.49350e-05,9.00848e-06,5.98007e-06,4.25898e-06,2.85289e-06,1.85685e-06,1.33189e-06,1.02511e-06,7.48191e-07,5.42358e-07,4.18387e-07,3.35575e-07,2.52845e-07,1.84006e-07
4.47635e-04,2.69908e-04,1.77554e-04,1.08949e-04,6.19710e-05,3.87547e-05,2.60121e-05,1.60103e-05,9.26917e-06,6.01998e-06,4.26748e-06,2.89001e-06,1.93298e-06,1.41851e-06,1.10620e-06,8.10412e-07,5.80007e-07,4.37699e-07,3.42395e-07,2.48481e-07,1.72705e-07
4.48040e-04,2.70024e-04,1.77269e-04,1.08199e-04,6.09412e-05,3.77768e-05,2.52152e-05,1.55007e-05,9.05713e-06,5.98218e-06,4.32135e-06,2.99971e-06,2.05598e-06,1.53065e-06,1.20280e-06,8.85186e-07,6.33704e-07,4.77174e-07,3.72180e-07,2.68859e-07,1.85814e-07
8.28687e-04,4.99075e-04,3.25720e-04,1.96984e-04,1.10421e-04,6.83023e-05,4.53755e-05,2.74085e-05,1.52191e-05,9.31504e-06,6.15454e-06,3.74337e-06,2.18680e-06,1.44352e-06,1.04454e-06,7.13804e-07,4.88547e-07,3.62209e-07,2.81763e-07,2.04658e-07,1.43280e-07
4.28209e-04,2.54698e-04,1.67030e-04,1.04088e-04,6.23222e-05,4.18319e-05,3.02489e-05,2.05057e-05,1.30895e-05,8.96306e-06,6.46246e-06,4.31215e-06,2.72050e-06,1.86569e-06,1.36909e-06,9.33222e-07,6.27111e-07,4.55244e-07,3.47604e-07,2.46873e-07,1.69123e-07
4.48169e-04,2.70481e-04,1.78148e-04,1.09630e-04,6.28068e-05,3.96590e-05,2.68733e-05,1.66985e-05,9.67521e-06,6.20267e-06,4.30132e-06,2.80564e-06,1.78821e-06,1.26599e-06,9.64253e-07,6.92846e-07,4.91279e-07,3.70496e-07,2.90658e-07,2.12323e-07,1.48981e-07
4.49474e-04,2.71752e-04,1.79346e-04,1.10653e-04,6.35107e-05,4.00469e-05,2.70192e-05,1.66279e-05,9.47977e-06,5.98106e-06,4.09127e-06,2.62869e-06,1.65518e-06,1.16565e-06,8.86680e-07,6.38069e-07,4.54150e-07,3.43831e-07,2.70669e-07,1.98580e-07,1.39979e-07
4.48545e-04,2.71136e-04,1.79027e-04,1.10639e-04,6.37144e-05,4.03207e-05,2.72933e-05,1.68590e-05,9.64125e-06,6.08881e-06,4.16264e-06,2.66831e-06,1.67289e-06,1.17341e-06,8.89785e-07,6.38243e-07,4.53178e-07,3.42652e-07,2.69545e-07,1.97639e-07,1.39268e-07
4.46974e-04,2.70737e-04,1.79138e-04,1.11022e-04,6.41763e-05,4.07582e-05,2.76831e-05,1.71802e-05,9.88487e-06,6.27558e-06,4.30831e-06,2.77293e-06,1.74216e-06,1.22123e-06,9.24192e-07,6.60296e-07,4.66477e-07,3.51215e-07,2.75335e-07,2.01076e-07,1.41139e-07
4.48479e-04,2.71067e-04,1.78962e-04,1.10587e-04,6.36815e-05,4.03035e-05,2.72873e-05,1.68628e-05,9.65113e-06,6.10031e-06,4.17388e-06,2.67810e-06,1.68044e-06,1.17913e-06,8.94163e-07,6.41232e-07,4.55078e-07,3.43915e-07,2.70413e-07,1.98156e-07,1.39541e-07
4.48478e-04,2.71066e-04,1.78960e-04,1.10582e-04,6.36688e-05,4.02822e-05,2.72591e-05,1.68292e-05,9.61845e-06,6.07438e-06,4.15676e-06,2.67323e-06,1.68831e-06,1.19450e-06,9.13009e-07,6.60909e-07,4.72085e-07,3.57120e-07,2.79988e-07,2.03425e-07,1.41109e-07
4.48467e-04,2.71044e-04,1.78930e-04,1.10552e-04,6.36535e-05,4.02889e-05,2.72845e-05,1.68709e-05,9.66506e-06,6.11452e-06,4.18633e-06,2.68742e-06,1.68618e-06,1.18246e-06,8.95994e-07,6.41778e-07,4.54868e-07,3.43416e-07,2.69823e-07,1.97571e-07,1.39040e-07
4.48313e-04,2.70903e-04,1.78818e-04,1.10482e-04,6.36304e-05,4.02924e-05,2.73022e-05,1.68975e-05,9.69414e-06,6.14179e-06,4.21052e-06,2.70696e-06,1.70027e-06,1.19248e-06,9.03112e-07,6.45934e-07,4.56754e-07,3.44041e-07,2.69735e-07,1.96958e-07,1.38210e-07
4.48479e-04,2.71067e-04,1.78962e-04,1.10587e-04,6.36799e-05,4.03006e-05,2.72831e-05,1.68572e-05,9.64455e-06,6.09364e-06,4.16766e-06,2.67291e-06,1.67680e-06,1.17681e-06,8.92845e-07,6.40943e-07,4.55529e-07,3.44712e-07,2.71348e-07,1.99113e-07,1.40395e-07
4.48473e-04,2.71056e-04,1.78946e-04,1.10566e-04,6.36604e-05,4.02864e-05,2.72750e-05,1.68565e-05,9.65001e-06,6.10179e-06,4.17650e-06,2.68118e-06,1.68332e-06,1.18157e-06,8.96196e-07,6.42767e-07,4.56166e-07,3.44712e-07,2.71015e-07,1.98568e-07,1.39804e-07
4.48359e-04,2.71377e-04,1.79470e-04,1.11179e-04,6.42363e-05,4.07764e-05,2.76789e-05,1.71576e-05,9.85055e-06,6.23760e-06,4.27060e-06,2.73859e-06,1.71396e-06,1.19873e-06,9.06238e-07,6.47421e-07,4.57855e-07,3.45201e-07,2.70981e-07,1.98236e-07,1.39391e-07
4.54549e-04,2.75438e-04,1.82221e-04,1.12845e-04,6.51380e-05,4.13001e-05,2.80006e-05,1.73288e-05,9.92750e-06,6.27346e-06,4.28674e-06,2.74148e-06,1.70994e-06,1.19241e-06,8.99318e-07,6.40714e-07,4.52003e-07,3.40254e-07,2.66825e-07,1.95018e-07,1.37054e-07
4.48478e-04,2.71066e-04,1.78959e-04,1.10579e-04,6.36644e-05,4.02786e-05,2.72576e-05,1.68313e-05,9.62329e-06,6.07869e-06,4.15848e-06,2.66994e-06,1.67882e-06,1.18111e-06,8.97942e-07,6.45993e-07,4.59768e-07,3.48060e-07,2.73938e-07,2.00865e-07,1.41443e-07
4.48324e-04,2.70794e-04,1.78608e-04,1.10212e-04,6.33961e-05,4.01435e-05,2.72277e-05,1.68906e-05,9.72410e-06,6.17882e-06,4.24461e-06,2.73371e-06,1.71862e-06,1.20553e-06,9.12966e-07,6.53033e-07,4.62002e-07,3.48260e-07,2.73279e-07,1.99791e-07,1.40376e-07
