tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
6.11728e-03,3.57471e-03,2.31193e-03,1.59166e-03,1.01663e-03,6.09827e-04,3.99737e-04,2.79184e-04,1.79537e-04,1.06611e-04,6.80477e-05,4.58023e-05,2.75990e-05,1.49460e-05,8.66071e-06,5.31762e-06,2.70648e-06,1.19864e-06,5.43350e-07,2.33407e-07,3.23126e-08,-5.44524e-08,-7.44633e-08,-7.41280e-08,-6.44715e-08,-4.95447e-08,-3.81276e-08,-2.98076e-08,-2.16072e-08,-1.45782e-08,-1.03803e-08,-7.72173e-09
7.69327e-03,4.68613e-03,3.11880e-03,2.19307e-03,1.43000e-03,8.73310e-04,5.79645e-04,4.09587e-04,2.68354e-04,1.64272e-04,1.08367e-04,7.53710e-05,4.75101e-05,2.72533e-05,1.66674e-05,1.07727e-05,5.93666e-06,2.95980e-06,1.56920e-06,8.60097e-07,3.50653e-07,8.34004e-08,-1.38468e-08,-4.94391e-08,-6.17204e-08,-5.66546e-08,-4.71190e-08,-3.84765e-08,-2.89148e-08,-2.00451e-08,-1.44867e-08,-1.08738e-08
5.55601e-03,3.27573e-03,2.13260e-03,1.47619e-03,9.48817e-04,5.73056e-04,3.77552e-04,2.64667e-04,1.70808e-04,1.01706e-04,6.49997e-05,4.37696e-05,2.63686e-05,1.42609e-05,8.24546e-06,5.04766e-06,2.55327e-06,1.11683e-06,4.95438e-07,2.03385e-07,1.59730e-08,-6.26676e-08,-7.90267e-08,-7.68517e-08,-6.59079e-08,-5.02003e-08,-3.84639e-08,-2.99926e-08,-2.16923e-08,-1.46093e-08,-1.03915e-08,-7.72480e-09
5.55687e-03,3.27640e-03,2.13313e-03,1.47660e-03,9.49129e-04,5.73275e-04,3.77714e-04,2.64793e-04,1.70899e-04,1.01770e-04,6.50467e-05,4.38055e-05,2.63940e-05,1.42775e-05,8.25691e-06,5.05588e-06,2.55852e-06,1.11998e-06,4.97438e-07,2.04719e-07,1.67472e-08,-6.22605e-08,-7.87992e-08,-7.67201e-08,-6.58464e-08,-5.01822e-08,-3.84631e-08,-2.99991e-08,-2.17024e-08,-1.46199e-08,-1.04010e-08,-7.73298e-09
5.74241e-03,3.41730e-03,2.24208e-03,1.56233e-03,1.01202e-03,6.16420e-04,4.08903e-04,2.88360e-04,1.87560e-04,1.12805e-04,7.27399e-05,4.93539e-05,2.99808e-05,1.63112e-05,9.41961e-06,5.71244e-06,2.79195e-06,1.09963e-06,3.71784e-07,3.79709e-08,-1.61855e-07,-2.25294e-07,-2.18876e-07,-1.95159e-07,-1.59052e-07,-1.17491e-07,-8.85871e-08,-6.82393e-08,-4.85730e-08,-3.19788e-08,-2.22154e-08,-1.61244e-08
7.01006e-03,4.18115e-03,2.73410e-03,1.89279e-03,1.21082e-03,7.23376e-04,4.71389e-04,3.27645e-04,2.09786e-04,1.24138e-04,7.88940e-05,5.27078e-05,3.11924e-05,1.62237e-05,8.84879e-06,4.99696e-06,2.09073e-06,5.29540e-07,-6.64958e-08,-2.94905e-07,-3.83409e-07,-3.57722e-07,-3.00821e-07,-2.47430e-07,-1.87891e-07,-1.30673e-07,-9.50772e-08,-7.16129e-08,-5.00595e-08,-3.26646e-08,-2.27358e-08,-1.66326e-08
5.55687e-03,3.27642e-03,2.13318e-03,1.47670e-03,9.49277e-04,5.73464e-04,3.77903e-04,2.64957e-04,1.71017e-04,1.01830e-04,6.50679e-05,4.38036e-05,2.63755e-05,1.42518e-05,8.23120e-06,5.03242e-06,2.53924e-06,1.10544e-06,4.86416e-07,1.96234e-07,1.08328e-08,-6.61160e-08,-8.14431e-08,-7.86085e-08,-6.70848e-08,-5.09204e-08,-3.89406e-08,-3.03255e-08,-2.19056e-08,-1.47360e-08,-1.04735e-08,-7.78144e-09
1.30459e-02,8.50372e-03,5.80120e-03,4.07205e-03,2.57347e-03,1.45596e-03,8.75600e-04,5.54114e-04,3.06593e-04,1.46912e-04,7.54255e-05,4.05472e-05,1.69674e-05,4.44477e-06,5.18898e-08,-1.48368e-06,-2.04045e-06,-1.87410e-06,-1.54681e-06,-1.25307e-06,-9.22768e-07,-6.38850e-07,-4.62897e-07,-3.48437e-07,-2.45286e-07,-1.60660e-07,-1.13163e-07,-8.35974e-08,-5.75255e-08,-3.71517e-08,-2.57576e-08,-1.88243e-08
9.78795e-03,8.83222e-03,8.16137e-03,7.64575e-03,7.08113e-03,6.48981e-03,6.02794e-03,5.64619e-03,5.18135e-03,4.62861e-03,4.14266e-03,3.70620e-03,3.14434e-03,2.48381e-03,1.94410e-03,1.51464e-03,1.00356e-03,4.91661e-04,9.33609e-05,-1.99555e-04,-4.33334e-04,-4.40987e-04,-2.92502e-04,-1.46443e-04,-2.43364e-05,2.07771e-05,1.59511e-05,7.43447e-06,1.40391e-06,-6.59797e-08,-8.99340e-08,-4.43239e-08
9.93340e-03,6.33196e-03,4.37877e-03,3.18896e-03,2.17271e-03,1.39145e-03,9.52403e-04,6.83862e-04,4.50170e-04,2.71719e-04,1.74956e-04,1.18503e-04,7.20153e-05,3.95213e-05,2.32791e-05,1.45754e-05,7.70072e-06,3.64988e-06,1.83475e-06,9.41678e-07,3.24725e-07,1.95967e-08,-8.09585e-08,-1.10941e-07,-1.12674e-07,-9.46206e-08,-7.57485e-08,-6.04039e-08,-4.42681e-08,-2.97955e-08,-2.09436e-08,-1.53012e-08
7.68258e-03,4.77127e-03,3.24612e-03,2.33115e-03,1.55583e-03,9.65256e-04,6.39363e-04,4.44958e-04,2.81199e-04,1.61588e-04,9.97259e-05,6.50511e-05,3.76001e-05,1.92924e-05,1.05741e-05,6.10104e-06,2.73692e-06,8.92253e-07,1.43960e-07,-1.78055e-07,-3.50434e-07,-3.81798e-07,-3.50854e-07,-3.08104e-07,-2.51272e-07,-1.88222e-07,-1.44144e-07,-1.12523e-07,-8.11985e-08,-5.39447e-08,-3.74688e-08,-2.70163e-08
1.39949e-02,9.42985e-03,6.73917e-03,5.00303e-03,3.45515e-03,2.23292e-03,1.54353e-03,1.12502e-03,7.62729e-04,4.83476e-04,3.26991e-04,2.31504e-04,1.48431e-04,8.62100e-05,5.29533e-05,3.41922e-05,1.86893e-05,9.13182e-06,4.69542e-06,2.46118e-06,8.90697e-07,1.02507e-07,-1.60839e-07,-2.41772e-07,-2.50980e-07,-2.10950e-07,-1.68157e-07,-1.33642e-07,-9.78104e-08,-6.61569e-08,-4.70088e-08,-3.48494e-08
1.16609e-02,7.51930e-03,5.20473e-03,3.77194e-03,2.54348e-03,1.61094e-03,1.09909e-03,7.91666e-04,5.26372e-04,3.22699e-04,2.10242e-04,1.43332e-04,8.72108e-05,4.73466e-05,2.72748e-05,1.65467e-05,8.18322e-06,3.40897e-06,1.38323e-06,4.58313e-07,-1.05391e-07,-3.11556e-07,-3.31048e-07,-3.01657e-07,-2.46430e-07,-1.80401e-07,-1.34801e-07,-1.03213e-07,-7.32230e-08,-4.83836e-08,-3.39518e-08,-2.49852e-08
1.16609e-02,7.51933e-03,5.20481e-03,3.77211e-03,2.54379e-03,1.61139e-03,1.09959e-03,7.92126e-04,5.26726e-04,3.22901e-04,2.10331e-04,1.43350e-04,8.71741e-05,4.72825e-05,2.72066e-05,1.64826e-05,8.12925e-06,3.36756e-06,1.35153e-06,4.33781e-07,-1.22556e-07,-3.22756e-07,-3.38717e-07,-3.07119e-07,-2.49994e-07,-1.82509e-07,-1.36153e-07,-1.04129e-07,-7.37873e-08,-4.87015e-08,-3.41478e-08,-2.51145e-08
1.20890e-02,7.98865e-03,5.65076e-03,4.17582e-03,2.88450e-03,1.87894e-03,1.31358e-03,9.67932e-04,6.64660e-04,4.26664e-04,2.91381e-04,2.08202e-04,1.35426e-04,8.04047e-05,5.04962e-05,3.32332e-05,1.84847e-05,8.90244e-06,4.16026e-06,1.61900e-06,-2.86381e-07,-1.29634e-06,-1.61308e-06,-1.65461e-06,-1.53348e-06,-1.26267e-06,-1.00397e-06,-7.85892e-07,-5.45932e-07,-3.24489e-07,-1.92387e-07,-1.14771e-07
1.17475e-02,7.60466e-03,5.28117e-03,3.83823e-03,2.59688e-03,1.65088e-03,1.12987e-03,8.16212e-04,5.44948e-04,3.36075e-04,2.20282e-04,1.51078e-04,9.27111e-05,5.09272e-05,2.96947e-05,1.82441e-05,9.22290e-06,3.99420e-06,1.73195e-06,6.74806e-07,6.15496e-09,-2.63222e-07,-3.10449e-07,-2.94193e-07,-2.47091e-07,-1.84708e-07,-1.39726e-07,-1.07901e-07,-7.72259e-08,-5.14739e-08,-3.63512e-08,-2.68848e-08
2.22706e-02,1.67493e-02,1.27991e-02,9.87313e-03,6.96019e-03,4.43808e-03,2.93891e-03,2.01842e-03,1.23857e-03,6.80872e-04,4.08577e-04,2.66470e-04,1.59099e-04,8.36719e-05,4.22360e-05,1.85266e-05,3.83992e-07,-7.89357e-06,-9.53365e-06,-9.04906e-06,-7.41531e-06,-5.39602e-06,-3.93947e-06,-2.93485e-06,-2.01016e-06,-1.25739e-06,-8.47583e-07,-6.01710e-07,-3.94136e-07,-2.40747e-07,-1.59738e-07,-1.12691e-07
1.15208e-02,7.43575e-03,5.15057e-03,3.73504e-03,2.52064e-03,1.59807e-03,1.09120e-03,7.86455e-04,5.23185e-04,3.20828e-04,2.09003e-04,1.42443e-04,8.66121e-05,4.69629e-05,2.70105e-05,1.63542e-05,8.05594e-06,3.32834e-06,1.32860e-06,4.19469e-07,-1.30284e-07,-3.26592e-07,-3.40820e-07,-3.08358e-07,-2.50636e-07,-1.82796e-07,-1.36299e-07,-1.04209e-07,-7.38245e-08,-4.87163e-08,-3.41543e-08,-2.51176e-08
9.92376e-03,6.30355e-03,4.32956e-03,3.12369e-03,2.09785e-03,1.32328e-03,9.01168e-04,6.50299e-04,4.36706e-04,2.74831e-04,1.85552e-04,1.31726e-04,8.53057e-05,5.06586e-05,3.20284e-05,2.13741e-05,1.23655e-05,6.58878e-06,3.76121e-06,2.24992e-06,1.09867e-06,4.36543e-07,1.59997e-07,3.58016e-08,-3.49423e-08,-6.01605e-08,-5.91535e-08,-5.21467e-08,-4.12710e-08,-2.93457e-08,-2.12388e-08,-1.57904e-08
9.92363e-03,6.30713e-03,4.33468e-03,3.12939e-03,2.10362e-03,1.32861e-03,9.05909e-04,6.54489e-04,4.40233e-04,2.77664e-04,1.87882e-04,1.33677e-04,8.68498e-05,5.18056e-05,3.28958e-05,2.20414e-05,1.28211e-05,6.86938e-06,3.93387e-06,2.35341e-06,1.13987e-06,4.35542e-07,1.39494e-07,6.70847e-09,-6.74745e-08,-9.06382e-08,-8.53825e-08,-7.40427e-08,-5.78556e-08,-4.05264e-08,-2.88441e-08,-2.10461e-08
9.92053e-03,6.30216e-03,4.32917e-03,3.12389e-03,2.09848e-03,1.32417e-03,9.02121e-04,6.51249e-04,4.37608e-04,2.75648e-04,1.86290e-04,1.32395e-04,8.58901e-05,5.11477e-05,3.24410e-05,2.17259e-05,1.26455e-05,6.80123e-06,3.92608e-06,2.38024e-06,1.19283e-06,5.00066e-07,2.04328e-07,6.75145e-08,-1.46198e-08,-4.89996e-08,-5.28656e-08,-4.86563e-08,-3.99528e-08,-2.93673e-08,-2.17654e-08,-1.64845e-08
1.09418e-02,7.05843e-03,4.90014e-03,3.56319e-03,2.41113e-03,1.52953e-03,1.04390e-03,7.53708e-04,5.06195e-04,3.18846e-04,2.15704e-04,1.53490e-04,9.96492e-05,5.91789e-05,3.72373e-05,2.46149e-05,1.39094e-05,7.06156e-06,3.74902e-06,2.01535e-06,7.44509e-07,7.19140e-08,-1.66283e-07,-2.44239e-07,-2.56131e-07,-2.18587e-07,-1.75616e-07,-1.39792e-07,-1.01744e-07,-6.76107e-08,-4.69002e-08,-3.38467e-08
9.92376e-03,6.30355e-03,4.32956e-03,3.12370e-03,2.09788e-03,1.32335e-03,9.01253e-04,6.50397e-04,4.36803e-04,2.74908e-04,1.85606e-04,1.31760e-04,8.53183e-05,5.06556e-05,3.20184e-05,2.13616e-05,1.23525e-05,6.57733e-06,3.75163e-06,2.24201e-06,1.09273e-06,4.32381e-07,1.56992e-07,3.35695e-08,-3.64686e-08,-6.11091e-08,-5.97848e-08,-5.25869e-08,-4.15503e-08,-2.95078e-08,-2.13408e-08,-1.58586e-08
6.76476e-03,4.09527e-03,2.72352e-03,1.92093e-03,1.26341e-03,7.82914e-04,5.25824e-04,3.73886e-04,2.44916e-04,1.48088e-04,9.58831e-05,6.53776e-05,4.01198e-05,2.22977e-05,1.32842e-05,8.39995e-06,4.49522e-06,2.15958e-06,1.09716e-06,5.67665e-07,1.97121e-07,1.10219e-08,-5.13269e-08,-7.02906e-08,-7.16989e-08,-6.05545e-08,-4.86830e-08,-3.89460e-08,-2.86394e-08,-1.93389e-08,-1.36234e-08,-9.96870e-09
9.90536e-03,6.29291e-03,4.32279e-03,3.11912e-03,2.09502e-03,1.32167e-03,9.00160e-04,6.49625e-04,4.36294e-04,2.74595e-04,1.85403e-04,1.31625e-04,8.52429e-05,5.06224e-05,3.20057e-05,2.13589e-05,1.23565e-05,6.58380e-06,3.75819e-06,2.24797e-06,1.09757e-06,4.35965e-07,1.59665e-07,3.55968e-08,-3.50545e-08,-6.02143e-08,-5.91825e-08,-5.21635e-08,-4.12796e-08,-2.93495e-08,-2.12407e-08,-1.57914e-08
1.51523e-02,1.07162e-02,7.96623e-03,6.08087e-03,4.28745e-03,2.77115e-03,1.87129e-03,1.31233e-03,8.28872e-04,4.69516e-04,2.82701e-04,1.78507e-04,9.71669e-05,4.44937e-05,2.05835e-05,9.04881e-06,1.16263e-06,-2.38861e-06,-3.31930e-06,-3.38332e-06,-3.00975e-06,-2.39729e-06,-1.88746e-06,-1.49783e-06,-1.10222e-06,-7.42151e-07,-5.24696e-07,-3.83916e-07,-2.57061e-07,-1.57639e-07,-1.03133e-07,-7.10728e-08
1.62442e-02,1.19008e-02,9.13838e-03,7.19326e-03,5.26589e-03,3.53311e-03,2.43509e-03,1.71754e-03,1.07056e-03,5.73546e-04,3.12522e-04,1.69270e-04,6.28170e-05,1.92394e-06,-1.92977e-05,-2.53323e-05,-2.48211e-05,-1.99428e-05,-1.52315e-05,-1.15786e-05,-7.82169e-06,-4.87386e-06,-3.20936e-06,-2.21526e-06,-1.39885e-06,-8.03361e-07,-5.08038e-07,-3.42346e-07,-2.10855e-07,-1.20080e-07,-7.51956e-08,-5.04927e-08
1.20902e-02,8.07020e-03,5.69329e-03,4.14786e-03,2.76741e-03,1.68695e-03,1.09148e-03,7.41935e-04,4.54437e-04,2.51396e-04,1.50144e-04,9.51218e-05,5.28410e-05,2.55672e-05,1.29669e-05,6.64758e-06,1.99304e-06,-4.87578e-07,-1.44476e-06,-1.81392e-06,-1.94036e-06,-1.83863e-06,-1.65842e-06,-1.47225e-06,-1.23324e-06,-9.55739e-07,-7.46834e-07,-5.86884e-07,-4.19005e-07,-2.65732e-07,-1.71533e-07,-1.12905e-07
1.18772e-02,7.96906e-03,5.64361e-03,4.12439e-03,2.76134e-03,1.68941e-03,1.09609e-03,7.46667e-04,4.58418e-04,2.54207e-04,1.52087e-04,9.64786e-05,5.36704e-05,2.60045e-05,1.32020e-05,6.77363e-06,2.03382e-06,-4.95070e-07,-1.47193e-06,-1.84915e-06,-1.97883e-06,-1.87553e-06,-1.69191e-06,-1.50207e-06,-1.25828e-06,-9.75147e-07,-7.61984e-07,-5.98769e-07,-4.27463e-07,-2.71070e-07,-1.74961e-07,-1.15150e-07
