tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31
1.37110e-03,1.06928e-03,8.78821e-04,7.39272e-04,5.91689e-04,4.46114e-04,3.43963e-04,2.70622e-04,1.97234e-04,1.32498e-04,9.26347e-05,6.70353e-05,4.40385e-05,2.63776e-05,1.67524e-05,1.12291e-05,6.56471e-06,3.58387e-06,2.12665e-06,1.34424e-06,7.39060e-07,3.76415e-07,2.12221e-07,1.28920e-07,7.00650e-08,3.37376e-08,1.84663e-08,1.09773e-08,5.79467e-09,2.75446e-09,1.48271e-09,8.73593e-10
5.84128e-04,4.90809e-04,4.28358e-04,3.81981e-04,3.33146e-04,2.84905e-04,2.50070e-04,2.23693e-04,1.95004e-04,1.66029e-04,1.44858e-04,1.28735e-04,1.11153e-04,9.38120e-05,8.14711e-05,7.24720e-05,6.25366e-05,5.34398e-05,4.67757e-05,4.15094e-05,3.52295e-05,2.88009e-05,2.38635e-05,1.99781e-05,1.57473e-05,1.14535e-05,8.52806e-06,6.42811e-06,4.32977e-06,2.48279e-06,1.36257e-06,6.62103e-07
9.66263e-04,8.18146e-04,7.15391e-04,6.36984e-04,5.52262e-04,4.66234e-04,4.02644e-04,3.53842e-04,3.00856e-04,2.49550e-04,2.15357e-04,1.91527e-04,1.66364e-04,1.38791e-04,1.14784e-04,9.41348e-05,6.86477e-05,4.48453e-05,2.91183e-05,1.87701e-05,9.45350e-06,3.33349e-06,6.44601e-07,-5.07443e-07,-1.03373e-06,-1.03261e-06,-8.42996e-07,-6.58163e-07,-4.58027e-07,-2.86066e-07,-1.88884e-07,-1.31523e-07
5.83241e-04,4.89822e-04,4.27290e-04,3.80844e-04,3.31927e-04,2.83594e-04,2.48685e-04,2.22247e-04,1.93488e-04,1.64440e-04,1.43215e-04,1.27052e-04,1.09428e-04,9.20452e-05,7.96721e-05,7.06451e-05,6.06722e-05,5.15385e-05,4.48568e-05,3.95945e-05,3.33577e-05,2.70385e-05,2.22468e-05,1.85246e-05,1.45326e-05,1.05646e-05,7.92371e-06,6.06729e-06,4.25135e-06,2.68776e-06,1.75084e-06,1.16102e-06
5.83241e-04,4.89823e-04,4.27290e-04,3.80844e-04,3.31927e-04,2.83594e-04,2.48685e-04,2.22247e-04,1.93488e-04,1.64440e-04,1.43215e-04,1.27052e-04,1.09428e-04,9.20461e-05,7.96737e-05,7.06473e-05,6.06752e-05,5.15418e-05,4.48602e-05,3.95977e-05,3.33603e-05,2.70405e-05,2.22483e-05,1.85256e-05,1.45333e-05,1.05649e-05,7.92375e-06,6.06721e-06,4.25117e-06,2.68752e-06,1.75060e-06,1.16079e-06
6.66419e-04,5.56331e-04,4.82755e-04,4.28205e-04,3.70871e-04,3.14388e-04,2.73732e-04,2.43047e-04,2.09814e-04,1.76503e-04,1.52476e-04,1.34496e-04,1.15351e-04,9.70057e-05,8.41483e-05,7.46906e-05,6.38927e-05,5.34406e-05,4.54506e-05,3.90694e-05,3.15950e-05,2.43217e-05,1.91025e-05,1.52569e-05,1.13581e-05,7.74063e-06,5.49493e-06,4.00539e-06,2.63139e-06,1.52773e-06,9.10950e-07,5.45006e-07
1.27687e-03,1.00698e-03,8.35075e-04,7.11342e-04,5.85016e-04,4.64878e-04,3.81732e-04,3.21367e-04,2.59080e-04,2.00960e-04,1.62316e-04,1.35220e-04,1.07701e-04,8.18842e-05,6.37513e-05,5.05047e-05,3.60510e-05,2.36870e-05,1.58621e-05,1.07678e-05,6.11146e-06,2.86787e-06,1.26702e-06,4.49811e-07,-8.02851e-08,-3.16338e-07,-3.43783e-07,-3.13372e-07,-2.51103e-07,-1.77467e-07,-1.26807e-07,-9.31356e-08
1.26938e-03,1.00273e-03,8.32168e-04,7.09194e-04,5.83494e-04,4.63839e-04,3.80971e-04,3.20783e-04,2.58660e-04,2.00677e-04,1.62115e-04,1.35070e-04,1.07594e-04,8.18099e-05,6.36949e-05,5.04596e-05,3.60176e-05,2.36634e-05,1.58450e-05,1.07551e-05,6.10299e-06,2.86268e-06,1.26368e-06,4.47572e-07,-8.16197e-08,-3.17025e-07,-3.44164e-07,-3.13592e-07,-2.51209e-07,-1.77508e-07,-1.26823e-07,-9.31409e-08
1.16833e-03,9.16935e-04,7.58024e-04,6.44477e-04,5.29428e-04,4.20962e-04,3.46465e-04,2.92630e-04,2.37160e-04,1.85213e-04,1.50418e-04,1.25915e-04,1.01122e-04,7.82773e-05,6.26301e-05,5.13809e-05,3.91285e-05,2.84025e-05,2.12713e-05,1.63264e-05,1.13894e-05,7.43612e-06,5.09061e-06,3.61557e-06,2.33774e-06,1.35074e-06,8.38850e-07,5.45131e-07,3.10344e-07,1.50581e-07,7.48389e-08,3.56255e-08
1.25051e-03,9.86962e-04,8.18754e-04,6.97675e-04,5.74099e-04,4.56653e-04,3.75413e-04,3.16438e-04,2.55550e-04,1.98633e-04,1.60698e-04,1.34065e-04,1.07033e-04,8.17670e-05,6.40956e-05,5.12047e-05,3.71046e-05,2.49390e-05,1.71317e-05,1.19663e-05,7.14184e-06,3.66657e-06,1.87208e-06,9.05295e-07,2.24438e-07,-1.42850e-07,-2.42724e-07,-2.54080e-07,-2.23895e-07,-1.69673e-07,-1.26379e-07,-9.54584e-08
