,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,-3.5700357943860004e-05,4.22206563199635e-05,1.016675366036488e-09,8.02214175506313e-12,2.1541653433808814e-12,-4.5380584079893415e-05,-1.164177814023222e-05,5.057918630476747e-06,3.857331131034284e-11,-1.5178004054712039e-12,1.8608149674785328e-12,0.013638407763737427,0.001972418361138526,-0.0005772775279002589,-7.207665758652263e-09,2.0123410257675302e-10,2.857221104951504e-10,0.09128998713870709,0.024212613234819495,-0.1067018860198073,2.657454152086102e-07,1.84151679715602e-07,2.469655092298633e-07,-1.803625893184648e-05,-0.0005055337632908389,0.00036003117094634304,5.757055244766477e-09,-2.1165835430662793e-10,-1.502760508962988e-10
dB/dt tg02,-2.6095299788906824e-05,2.3529173804420408e-05,1.9635523634444622e-10,1.0723444952955259e-11,2.0629321958481063e-12,-2.6271768424933472e-05,-9.034899678803584e-06,4.764584142986817e-06,4.282111891148983e-12,-1.691219819105844e-12,1.8598409853857466e-12,0.007253900707637601,0.0014885194441749436,-0.0005195351713804094,-1.033368279489349e-09,2.2682161983098958e-10,2.851641536211966e-10,0.05233911422889822,0.058531165604116,-0.11398568256740584,3.9634975978083473e-07,1.8749324319080476e-07,2.4706210608979815e-07,-1.0456914550070606e-05,-0.00035247937199689113,0.000317830560414134,5.874399475028162e-10,-2.2689925636378638e-10,-1.5001205471104054e-10
dB/dt tg03,-2.226648467696208e-05,9.610509347161976e-06,5.454266062181834e-10,1.4302549234796936e-11,1.9426726133496318e-12,-1.619073547300211e-05,-6.734823607101313e-06,4.1340584750162226e-06,9.960538756057949e-11,-1.92119248026166e-12,1.859086379839787e-12,0.004053555930730382,0.0010810698005201565,-0.00042936498913353886,-1.4238447346052783e-08,2.6074691087406313e-10,2.844770663484631e-10,0.03188097846476666,0.06841101974066911,-0.110381472293404,-2.0940958949708697e-06,1.9197186190244515e-07,2.4723142169049664e-07,-6.4504771063211425e-06,-0.00023894610420581276,0.0002591332554801909,1.0158291426466076e-08,-2.471147396820592e-10,-1.4966742700452918e-10
dB/dt tg04,-1.981523763290348e-05,-2.462746873051404e-06,9.164024865065115e-09,7.559180326952471e-12,2.1632764180550514e-12,-8.990448147442382e-06,-4.38113761464489e-06,3.144750040775129e-06,8.467745360449848e-10,-1.485076734348672e-12,1.854473616459274e-12,0.0019263463761443034,0.0006759909631239655,-0.00030191989783532713,-1.297214328220672e-07,1.964452745280199e-10,2.8520008535056165e-10,0.017364963741935444,0.06613476071712425,-0.09683201224697682,-1.518118505141915e-05,1.8309663371139958e-07,2.465460914763205e-07,-3.5822423323126297e-06,-0.0001359077969408209,0.000179989922032122,9.974416715232611e-08,-2.0864164351445145e-10,-1.5028067626026225e-10
dB/dt tg05,-1.7053762924634666e-05,-9.053662993621222e-06,5.836593648353522e-08,4.28961027691862e-12,2.267872994060665e-12,-4.514884766236159e-06,-2.5818237317010034e-06,1.9620368530554703e-06,7.470758035437422e-09,-1.2731616214519305e-12,1.849799640653908e-12,0.0007320759206066303,0.00037553562068579755,-0.00016314665179674914,-1.0929729966516405e-06,1.6513563721241966e-10,2.853521255961576e-10,0.008437238913365888,0.05508159211693128,-0.07329232625896714,-0.00016434232629146774,1.786377380252911e-07,2.460732515819527e-07,-1.7954997962514632e-06,-6.701175291864181e-05,9.700423490247479e-05,8.2264865397554e-07,-1.8989387132028906e-10,-1.5057180755133257e-10
dB/dt tg06,-1.4399843331264652e-05,-1.0457940068593858e-05,1.722939608499616e-07,4.7110237652647126e-11,8.431711362405767e-13,-2.5639421390904756e-06,-1.6513290195620359e-06,1.0784133830225214e-06,2.7345097643809426e-08,-4.038896802461733e-12,1.8587791465360937e-12,0.00028657188259964637,0.00022560562104565677,-6.806089588490011e-05,-3.895464461786427e-06,5.728063857973766e-10,2.789084023479863e-10,0.004611652395641056,0.04450728088040068,-0.05154982579303462,-0.0006590460149377725,2.3368343082396794e-07,2.492286984019388e-07,-1.0154896815882364e-06,-3.625598166726163e-05,4.095452535666837e-05,2.8963445107072903e-06,-4.333878496757844e-10,-1.465685485110212e-10
dB/dt tg07,-1.2010790366168838e-05,-9.955334599335706e-06,3.0670337692590784e-07,2.1472827793725527e-11,1.6578778141738139e-12,-1.6274706316304102e-06,-1.1371233296199313e-06,4.4587920196143293e-07,6.058916591935211e-08,-2.4147225939255874e-12,1.8481039283877328e-12,0.00011340632691986698,0.00014576645405239323,-4.804304493280968e-06,-8.376308164314734e-06,3.333390678718374e-10,2.8211486222234697e-10,0.002816683126723996,0.036276765826016646,-0.0335917716496803,-0.0015956408219432443,2.0110105160408012e-07,2.4708799573989853e-07,-6.410667608862983e-07,-2.1471735115289657e-05,3.956137443609294e-06,6.171521656840374e-06,-2.900099260753056e-10,-1.4883117915722866e-10
dB/dt tg08,-9.198463240484203e-06,-8.35107355798233e-06,4.6304293427696415e-07,-1.9629182159877964e-10,7.087626967062121e-12,-9.6621705405122e-07,-7.345927518694595e-07,-1.5416576044702043e-07,1.2368625998335242e-07,1.0354806072652653e-11,1.7951451984153216e-12,2.108625617106269e-05,8.595388946686402e-05,5.0907426268396434e-05,-1.6462780619663178e-05,-1.5449264920442733e-09,3.050792079968997e-10,0.001585836188249456,0.02785691104733817,-0.01398623289506897,-0.0035872087680194897,-5.875276284984419e-08,2.339339985826335e-07,-3.772855011557728e-07,-1.1574012023674626e-05,-2.80196543380798e-05,1.2028168687571194e-05,8.389823373208078e-10,-1.6401393908813068e-10
dB/dt tg09,-6.3924831599702066e-06,-6.155478406014276e-06,5.18247978529361e-07,-4.067695380746845e-10,-6.601509222332171e-12,-5.571504894426412e-07,-4.557154900381909e-07,-5.909942041195977e-07,2.03440652603283e-07,1.145832516174898e-11,1.9128718755657216e-12,-1.2882896481565118e-05,4.7115627331369894e-05,8.684394216662226e-05,-2.5808285081537367e-05,-1.6008762162441334e-09,2.449986503592544e-10,0.0008582350266487912,0.020261767221192648,0.0035573747752118724,-0.006510882734057395,-1.8139114314020026e-07,2.6565403041714727e-07,-2.1507939165754234e-07,-6.034705606867128e-06,-4.771182756051571e-05,1.884530932223945e-05,9.336641748292388e-10,-1.254682783144466e-10
dB/dt tg10,-4.560041286977562e-06,-4.54940172364184e-06,4.1597806480931406e-07,-5.068161096589351e-09,-1.7528132484304478e-11,-3.6161547831741844e-07,-3.0638703080673753e-07,-7.514511974364112e-07,2.513630118954573e-07,2.8062544816751524e-10,2.1722461442398587e-12,-1.9901886923068403e-05,2.7714790048476048e-05,9.59560964099899e-05,-3.044064304728076e-05,-3.8683154583230994e-08,1.7950324107212553e-10,0.0005273959653171571,0.015356880890064307,0.013025220573147337,-0.008703821965407518,-7.734883107038467e-06,2.7901206783774284e-07,-1.382195972386592e-07,-3.558121763248852e-06,-5.1924257698010994e-05,2.2368291510119087e-05,2.318647804867306e-08,-8.718071693112778e-11
