X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
50.000,0.000,0.000,7.155,30.465,0.0,1.0e-06,0.100
50.000,0.000,0.000,7.720,35.974,0.2,1.1e-04,0.529
50.000,0.000,0.000,8.438,17.134,0.3,1.2e-04,0.407
50.000,0.000,0.000,8.330,17.949,0.4,1.1e-04,0.413
50.000,0.000,0.000,8.072,23.587,0.4,1.1e-04,0.465
50.000,0.000,0.000,0.000,29.745,0.3,1.0e-04,0.499
