X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
48.127,404.377,7.525,33.19,0.0,1e-06,0.1
48.127,404.377,7.021,29.023,0.2,0.00011,0.515
48.127,404.377,8.485,17.448,0.3,0.00011,0.408
48.127,404.377,8.439,16.861,0.4,0.00012,0.404
48.127,404.377,8.137,21.383,0.4,0.00011,0.449
48.127,404.377,0.0,29.189,0.3,0.0001,0.496
