time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,1.247599126e-03,1.145638400e-03,1.829452800e-06,8.019468800e-05,2.709271441e+01,2.871000000e+01
6.070000e-06,7.756840706e-04,7.069056000e-04,1.110739200e-06,4.948339200e-05,2.755146894e+01,2.931000000e+01
7.080000e-06,5.255939803e-04,5.072192000e-04,8.480768000e-07,3.550534400e-05,2.763292180e+01,2.832000000e+01
8.520000e-06,3.424462183e-04,3.542400000e-04,4.946240000e-07,2.479680000e-05,2.700566762e+01,2.642000000e+01
1.053000e-05,2.190519590e-04,2.403321600e-04,3.442688000e-07,1.682325120e-05,2.555664142e+01,2.403000000e+01
1.255000e-05,1.563423893e-04,1.745484800e-04,2.485452800e-07,1.221839360e-05,2.388499307e+01,2.221000000e+01
1.456000e-05,1.196751738e-04,1.319347200e-04,2.263987200e-07,9.235430400e-06,2.228319648e+01,2.089000000e+01
1.744000e-05,8.709964954e-05,9.328320000e-05,1.313312000e-07,6.529824000e-06,2.038578407e+01,1.948000000e+01
2.146000e-05,6.031581546e-05,6.237248000e-05,1.098406400e-07,4.366073600e-06,1.843227016e+01,1.802000000e+01
2.549000e-05,4.411992080e-05,4.445056000e-05,9.380800000e-08,3.111539200e-06,1.704287860e+01,1.696000000e+01
2.950000e-05,3.365864610e-05,3.319360000e-05,7.567616000e-08,2.323552000e-06,1.600103361e+01,1.615000000e+01
3.528000e-05,2.407847634e-05,2.379705600e-05,4.413568000e-08,1.665793920e-06,1.484620765e+01,1.497000000e+01
4.330000e-05,1.646585896e-05,1.650496000e-05,3.539776000e-08,1.155347200e-06,1.359501646e+01,1.357000000e+01
5.140000e-05,1.208021028e-05,1.206777600e-05,4.090816000e-08,8.447443200e-07,1.255820682e+01,1.257000000e+01
5.941000e-05,9.342475482e-06,9.336192000e-06,3.421696000e-08,6.535334400e-07,1.170869772e+01,1.171000000e+01
7.095000e-05,6.697180536e-06,6.557376000e-06,1.986105600e-08,4.590163200e-07,1.087427943e+01,1.103000000e+01
8.707000e-05,4.552107117e-06,4.361088000e-06,1.762803200e-08,3.052761600e-07,9.999845030e+00,1.029000000e+01
1.031600e-04,3.174302150e-06,3.004480000e-06,1.895315200e-08,2.103136000e-07,9.585867636e+00,9.940000000e+00
1.192200e-04,2.234223906e-06,2.107596800e-06,1.669126400e-08,1.475317760e-07,9.518813846e+00,9.900000000e+00
1.423300e-04,1.331004638e-06,1.336403200e-06,1.054848000e-08,9.354822400e-08,1.000695694e+01,9.980000000e+00
1.745400e-04,6.672542343e-07,7.822144000e-07,9.073792000e-09,5.475500800e-08,1.128660469e+01,1.015000000e+01
