,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,-9.767425953074157e-05,3.137410199690765e-05,3.5092402724105506e-09,9.228159379599045e-12,4.3646810170980625e-12,-2.6815260383813245e-05,-1.2527541594429988e-05,3.55764312046596e-06,2.1319685261631407e-10,-3.042678232963525e-12,2.0771639810446165e-12,0.0089711048985917,0.0014638554092964381,-0.0004015607661367821,-3.138215579141079e-08,3.8179747050414483e-10,3.2405136298435794e-10,0.06391481106360362,-0.034340440067259115,-0.06539073751619663,-2.586842703278668e-06,2.7289134898062256e-07,2.736796982421917e-07,-1.2674674319441987e-05,-0.00041065240937910766,0.0002376533252244495,2.397489110545206e-08,-3.93878199781018e-10,-1.6761213148050482e-10
dB/dt tg02,-7.007923054962252e-05,2.2741624229233087e-05,8.654626770108092e-10,1.0245542972763468e-11,4.320908723656731e-12,-1.6003467085997693e-05,-1.2229635604803291e-05,3.815921673967843e-06,4.4420329494451867e-11,-3.2797862027161513e-12,2.0696405479093955e-12,0.004935585346299888,0.0013610613868313326,-0.0004139779969587276,-6.714992622894426e-09,4.1459165634319386e-10,3.245236346628226e-10,0.03767035655475997,0.013707589274092541,-0.07984989130188916,-2.1136290290605942e-07,2.7964183195702023e-07,2.739136391274981e-07,-7.558756439722843e-06,-0.0003486850809463647,0.00024011067521139632,4.941877960452079e-09,-4.145220804450123e-10,-1.6788668426276555e-10
dB/dt tg03,-5.264952499737296e-05,1.37551888601038e-05,2.2768777722289667e-09,1.159464012628484e-11,4.264073059906512e-12,-1.0250823821580656e-05,-1.055095477200693e-05,3.6356785671925607e-06,2.0909130126015406e-10,-3.594488342425524e-12,2.0602998504179075e-12,0.0028971000998135707,0.0011395452629259172,-0.00037840227186779446,-2.8183576297031998e-08,4.581024064665826e-10,3.2520414315642403e-10,0.02381532839244851,0.0369793041193754,-0.08510269849897452,-3.869635971110078e-06,2.8866130205513285e-07,2.742527500499765e-07,-4.83785888760348e-06,-0.00027340527912344815,0.0002160751029193127,2.0799417584784758e-08,-4.419301643445822e-10,-1.68250447768837e-10
dB/dt tg04,-3.762790167887231e-05,4.083818182001197e-06,3.147010581758719e-08,9.039843033018578e-12,4.36174359441833e-12,-6.036174055702768e-06,-7.976721158125752e-06,3.0564432090403904e-06,2.4286072056450443e-09,-2.995407151197685e-12,2.0708707060903802e-12,0.001503715792281563,0.0008322360010304471,-0.0002987310319043302,-3.4008667987523697e-07,3.753495076122958e-10,3.233531920086575e-10,0.013765601717356614,0.0489158166631388,-0.08231422328592983,-4.1552444619048296e-05,2.711435060526552e-07,2.732571339046724e-07,-2.844953246784739e-06,-0.00018468370531650273,0.00016766521391636658,2.581086435759546e-07,-3.895625446162434e-10,-1.67570116945236e-10
dB/dt tg05,-2.6190865184053657e-05,-2.8904224056886443e-06,1.5052617547276396e-07,7.794788378469154e-12,4.404961404934313e-12,-3.2558622490499307e-06,-5.388920174804623e-06,2.1007624388921304e-06,1.5522184148117496e-08,-2.7032930836050687e-12,2.07321010603691e-12,0.000660803235172332,0.0005376693747828396,-0.00018450279050062082,-2.0874935444695114e-06,3.349293379830583e-10,3.2223332078282056e-10,0.007215158490149362,0.04864284707902057,-0.06811682049202336,-0.0003131063479350712,2.6238816886051425e-07,2.726319277500345e-07,-1.5301190120851345e-06,-0.00010979491065970595,0.00010189077419707825,1.5541963586311702e-06,-3.639245885843681e-10,-1.6724317311388775e-10
dB/dt tg06,-1.9442382021501057e-05,-5.447240311590494e-06,3.680813647825027e-07,2.3873744322131263e-11,3.750406116852721e-12,-1.9601230009552123e-06,-3.7767880642418854e-06,1.259143059045813e-06,4.806995625812587e-08,-6.488824481118882e-12,1.982265569830948e-12,0.00031469980122517826,0.0003603842591617642,-9.268628636791442e-05,-6.276306871033117e-06,8.576784012288334e-10,3.32119690568609e-10,0.0042134480118651025,0.04325673544857107,-0.05088859206163105,-0.0010691537437880962,3.718488648529951e-07,2.777671875088703e-07,-9.175426430542642e-07,-6.910758276296287e-05,5.053661371147016e-05,4.612751366921452e-06,-6.938947739857749e-10,-1.7159527539538184e-10
dB/dt tg07,-1.4953866512839647e-05,-5.938454474539676e-06,5.890014190505259e-07,1.3422692020603157e-11,4.116919130981833e-12,-1.3002951672770893e-06,-2.7741506559543625e-06,6.08034513634708e-07,9.516717482334901e-08,-4.2150916135973675e-12,2.0279475965575185e-12,0.00016468700866568116,0.00025328226888503193,-2.6245084147025435e-05,-1.2072050126890996e-05,5.426596665528134e-10,3.258963597960058e-10,0.002715976251895582,0.037505854255987035,-0.03485429798977543,-0.002296968782582998,3.066474977665957e-07,2.744800693573897e-07,-6.059787506388054e-07,-4.6411195709275514e-05,1.4295141078503666e-05,8.801889576090126e-06,-4.937401414899602e-10,-1.6909544136385583e-10
dB/dt tg08,-1.0653715070613834e-05,-5.373073336479574e-06,7.912979979935223e-07,-9.520083562445213e-11,6.5863086394940655e-12,-8.052236607785896e-07,-1.9036005842943006e-06,-2.6573687569975355e-08,1.7316661833242755e-07,1.499875286132981e-11,2.3534419006395843e-12,7.092294323807645e-05,0.00016323052836578975,3.430967758936328e-05,-2.1132733965797797e-05,-2.137080095015999e-09,2.86297499431203e-10,0.0016186802425454563,0.030528916896240217,-0.01622190476588676,-0.004593979784091092,-2.2169099424686122e-07,2.5372375636466287e-07,-3.728173670395844e-07,-2.8692573847226145e-05,-1.749157350080684e-05,1.529887571265235e-05,1.2402503630518852e-09,-1.5246927918150705e-10
dB/dt tg09,-6.998187200393581e-06,-4.11713059032661e-06,7.979482980218846e-07,-4.5024712764426846e-10,3.439110676622468e-13,-4.761936404432947e-07,-1.230364971298123e-06,-4.856829387170908e-07,2.5835588548863186e-07,3.4389850923778236e-11,1.5167340434665885e-12,2.2876254212877747e-05,9.674593210691125e-05,7.323515008807792e-05,-3.0030150142676902e-05,-5.013870529193634e-09,3.832264019086365e-10,0.0009132087613527067,0.023270968753309366,0.0008764357887882599,-0.007551208063169632,-5.171936219477174e-07,3.0440821521000974e-07,-2.186263412649644e-07,-1.665042728756213e-05,-3.672262132994399e-05,2.1745694334651484e-05,3.505782919026366e-09,-1.9397983593498673e-10
dB/dt tg10,-4.830394927321814e-06,-3.112998446423614e-06,5.952103127971201e-07,-3.760526896201521e-09,-4.461910465996241e-12,-3.105125547624694e-07,-8.425122796151481e-07,-6.45909971012282e-07,2.9778144368800167e-07,5.023538501633326e-10,1.0746567787927588e-12,4.535915045708395e-06,6.045081515702743e-05,8.233360161404108e-05,-3.300666735533429e-05,-6.857019357171477e-08,4.319993704753833e-10,0.0005701692275772571,0.018077465158224833,0.009978505266387426,-0.009418683884040272,-1.3543702658712606e-05,3.3233133785562487e-07,-1.4148261637852805e-07,-1.045849078398255e-05,-4.0538306250739975e-05,2.4068371788253742e-05,4.6648443244975296e-08,-2.1414565832828058e-10
