X,Y,Z,depth(m),rho(Ohmm)
0.000,0.000,0.000,2.861,12.699
0.000,0.000,0.000,3.667,17.256
0.000,0.000,0.000,4.702,16.982
0.000,0.000,0.000,6.159,11.208
0.000,0.000,0.000,7.941,15.306
0.000,0.000,0.000,10.429,21.960
0.000,0.000,0.000,13.629,28.412
0.000,0.000,0.000,17.522,25.722
0.000,0.000,0.000,22.570,17.983
0.000,0.000,0.000,0.000,16.208
