,thk_00,thk_01,thk_02,thk_03,thk_04,thk_05,thk_06,thk_07,thk_08,rho_00,rho_01,rho_02,rho_03,rho_04,rho_05,rho_06,rho_07,rho_08,rho_09
dB/dt tg01,0.0001613964631848512,1.831987966435815e-05,8.39834314356871e-06,-5.156530984310375e-07,-2.4769164828643583e-09,-5.9258228772578104e-12,3.0272883982207902e-12,2.3924314342611256e-12,4.2655497431692666e-13,-0.000219642739974012,-0.00010154137778850994,-1.1984921703131958e-05,1.0182538988483724e-05,4.811407757439215e-07,6.912157542911005e-10,6.094167200271001e-12,5.986797827900042e-12,1.0355543079599066e-11,2.1061791162650895e-11
dB/dt tg02,9.68448617506307e-05,1.0357353595427846e-05,2.350265762183041e-06,-6.966398601521803e-07,-1.3846068189963989e-08,-6.539464806389905e-13,3.0152174731763777e-12,2.3887347878657495e-12,4.2599014639291927e-13,-0.00012656374562960095,-6.690050495820539e-05,-1.3824044223965805e-05,7.135985541461601e-06,7.987520193215564e-07,2.872124342736335e-09,4.924767627844706e-12,5.9829116103041216e-12,1.0341252955270235e-11,2.1044720753765183e-11
dB/dt tg03,6.050403504691794e-05,4.9268900568922735e-06,-1.256347580016353e-06,-7.66698002387494e-07,-3.7282844540476636e-08,-1.9076985782746064e-11,3.0060997041422734e-12,2.385108858628561e-12,4.254239736405214e-13,-7.879530751476014e-05,-4.563745556268976e-05,-1.2935805968568132e-05,4.33211488999694e-06,1.0330394532629603e-06,8.871344951004239e-09,1.091810411897347e-11,5.978039090038256e-12,1.032684015954707e-11,2.1027505910851778e-11
dB/dt tg04,3.300587096925443e-05,6.399926375266849e-07,-3.6098322709613588e-06,-7.339776340674155e-07,-8.699705374586319e-08,-1.6366713633867878e-10,3.036266601390273e-12,2.381639251530525e-12,4.2462898794339804e-13,-4.472190207937986e-05,-2.81001864558704e-05,-1.0562508750761298e-05,1.442766002595474e-06,1.1670753603265397e-06,2.517165546442331e-08,5.800756914826833e-11,5.961748998198228e-12,1.0306221405838709e-11,2.1003006769923628e-11
dB/dt tg05,1.5680173529648542e-05,-1.563628761027587e-06,-4.202922027758728e-06,-5.796617632206927e-07,-1.567669520523816e-07,-1.0977444409391431e-09,3.2313070930629227e-12,2.3716511352950388e-12,4.2352286659221686e-13,-2.3225191744189498e-05,-1.5822200538821035e-05,-7.582046064350303e-06,-7.291817486357214e-07,1.0703460973210515e-06,5.58692307683763e-08,4.4828473672523915e-10,6.263891427373274e-12,1.0277241442766431e-11,2.096891790222433e-11
dB/dt tg06,8.12273410300056e-06,-2.0666007103295044e-06,-3.7915781972639264e-06,-4.185653934685185e-07,-1.9841171772935344e-07,-3.2253087790694717e-09,6.0860087597070185e-12,2.3631793438093274e-12,4.224157846493282e-13,-1.3515858136494983e-05,-9.704490294268319e-06,-5.4499639149398e-06,-1.6243336475667909e-06,8.266824897901286e-07,8.446103700423063e-08,1.5456589290710344e-09,1.0322582292504075e-11,1.0248721193780853e-11,2.0934730585931554e-11
dB/dt tg07,4.532223865829488e-06,-1.9910303377942343e-06,-3.1754805166423906e-06,-2.844641219803265e-07,-2.070275881478291e-07,-6.2892507114349164e-09,1.6994680919714982e-11,2.3846874091787997e-12,4.213516171409719e-13,-8.573957856830191e-06,-6.376954688237077e-06,-4.002180239415587e-06,-1.8979205850277152e-06,5.702432539841764e-07,1.022690687623209e-07,3.4972502606122944e-09,2.6402229584143117e-11,1.0225877867210286e-11,2.0900678532233982e-11
dB/dt tg08,2.175779184047176e-06,-1.6206232741101826e-06,-2.3620715950678213e-06,-1.4174751310580544e-07,-1.8315493710929217e-07,-1.0754591530987089e-08,6.757034486556368e-11,2.4879834348666972e-12,4.197066999010565e-13,-4.940787222855417e-06,-3.816351212753155e-06,-2.6780604702668745e-06,-1.8430089634686498e-06,2.6838840589810937e-07,1.088533861633859e-07,7.128375823349919e-09,1.2206138102479206e-10,1.0262670388798888e-11,2.0852087000201678e-11
dB/dt tg09,9.193785399584989e-07,-1.1211390612213571e-06,-1.5481261327888202e-06,-1.812009615127254e-08,-1.2492603533060631e-07,-1.4632000613599804e-08,2.2495265413777091e-10,4.4850337644255715e-12,4.17354114750229e-13,-2.6333483531655177e-06,-2.106529164828311e-06,-1.6412693893840942e-06,-1.5241743878372037e-06,7.219658876600698e-09,9.307655407439996e-08,1.2034364128299924e-08,4.85862835518209e-10,1.1760465401227624e-11,2.0784729322345966e-11
dB/dt tg10,4.627507648719899e-07,-7.611289582510357e-07,-1.0293128904688645e-06,4.8819745493233914e-08,-7.089701963564314e-08,-1.506414796206656e-08,4.5463434844824717e-10,1.413805428779718e-11,4.162646416540784e-13,-1.57194674340873e-06,-1.2859595524155525e-06,-1.0745081375519362e-06,-1.2008074199725994e-06,-1.22288074770028e-07,6.74151971380577e-08,1.4950266324200474e-08,1.1496331154334058e-09,1.9556657989790124e-11,2.071772148172751e-11
