X,Y,Z,depth(m),rho(Ohmm)
0.000,0.000,0.000,3.072,41.976
0.000,0.000,0.000,4.015,33.668
0.000,0.000,0.000,5.014,19.023
0.000,0.000,0.000,6.280,11.974
0.000,0.000,0.000,8.184,13.457
0.000,0.000,0.000,10.536,16.666
0.000,0.000,0.000,13.596,19.306
0.000,0.000,0.000,17.543,20.068
0.000,0.000,0.000,22.610,15.668
0.000,0.000,0.000,0.000,20.699
