time(s), signal_pred(V/m2), signal_obs(V/m2), err_obs(V/m2), err_scl(V/m2),rhoa_pred(Ohmm), rhoa_obs(Ohmm)
1.255000e-05,1.642379449e-03,1.644664000e-03,4.774720000e-07,2.466996000e-05,3.263851086e+01,nan
1.456000e-05,1.243376256e-03,1.260760000e-03,3.742720000e-07,1.891140000e-05,3.067478603e+01,nan
1.744000e-05,8.865132245e-04,8.887240000e-04,2.631600000e-07,1.333086000e-05,2.845015259e+01,nan
2.146000e-05,5.977929636e-04,6.066440000e-04,1.754400000e-07,9.099660000e-06,2.618396941e+01,nan
2.549000e-05,4.280668060e-04,4.339560000e-04,1.216040000e-07,6.509340000e-06,2.455621645e+01,nan
2.950000e-05,3.203723765e-04,3.221560000e-04,8.424560000e-08,4.832340000e-06,2.335135815e+01,nan
3.528000e-05,2.227084014e-04,2.222240000e-04,5.526360000e-08,3.333360000e-06,2.208412444e+01,nan
4.330000e-05,1.450520635e-04,1.446692000e-04,3.336800000e-08,2.170038000e-06,2.089086609e+01,nan
5.140000e-05,1.002468693e-04,1.000180000e-04,2.414880000e-08,1.500270000e-06,2.008166892e+01,nan
5.941000e-05,7.283720297e-05,7.261840000e-05,1.735480000e-08,1.089276000e-06,1.951869537e+01,nan
7.095000e-05,4.779848936e-05,4.850400000e-05,1.066744000e-08,7.275600000e-07,1.922746811e+01,nan
8.707000e-05,2.997396624e-05,3.018600000e-05,6.794000000e-09,4.527900000e-07,1.865700080e+01,nan
1.031600e-04,2.016798724e-05,2.024440000e-05,4.845240000e-09,3.036660000e-07,1.831576035e+01,nan
1.192200e-04,1.429435443e-05,1.428288000e-05,3.703160000e-09,2.142432000e-07,1.810342110e+01,nan
1.423300e-04,9.175212465e-06,9.277680000e-06,2.232560000e-09,1.391652000e-07,1.810842636e+01,nan
1.745400e-04,5.606378118e-06,5.645040000e-06,1.650512000e-09,8.467560000e-08,1.789942187e+01,nan
2.067100e-04,3.711301102e-06,3.722080000e-06,1.358800000e-09,5.583120000e-08,1.777592768e+01,nan
2.388300e-04,2.602747418e-06,2.610960000e-06,1.265576000e-09,3.916440000e-08,1.770174442e+01,nan
2.850400e-04,1.692532860e-06,1.681128000e-06,7.399440000e-10,2.521692000e-08,1.756242402e+01,nan
3.500000e-04,1.015243913e-06,1.011360000e-06,7.562840000e-10,1.517040000e-08,1.753713089e+01,nan
4.138300e-04,6.676472954e-07,6.640920000e-07,7.151760000e-10,9.961380000e-09,1.754085933e+01,nan
4.780600e-04,4.657264269e-07,4.652600000e-07,6.795720000e-10,6.978900000e-09,1.753453609e+01,nan
5.704700e-04,2.992903082e-07,2.970440000e-07,4.702480000e-10,4.455660000e-09,1.753890302e+01,nan
6.994100e-04,1.788861055e-07,1.771600000e-07,4.564880000e-10,2.657400000e-09,1.760008417e+01,nan
8.280600e-04,1.164884240e-07,1.164612000e-07,4.798800000e-10,1.746918000e-09,1.768047886e+01,nan
9.565300e-04,8.082025478e-08,8.082280000e-08,4.843520000e-10,1.212342000e-09,1.773948786e+01,nan
1.140900e-03,5.024615703e-08,5.149680000e-08,1.728600000e-10,7.724520000e-10,1.815394488e+01,nan
1.398800e-03,3.008770716e-08,3.032360000e-08,1.663756000e-10,4.548540000e-10,1.819422014e+01,nan
1.656100e-03,1.961645015e-08,1.967680000e-08,1.895440000e-10,2.951520000e-10,1.826253266e+01,nan
1.913100e-03,1.358575501e-08,1.349512000e-08,1.824920000e-10,2.024268000e-10,1.834426187e+01,nan
2.281900e-03,8.506578889e-09,8.553560000e-09,1.013768000e-10,1.283034000e-10,1.868334257e+01,nan
2.797600e-03,5.078550580e-09,4.975960000e-09,9.941600000e-11,9.941600000e-11,1.876360693e+01,nan
3.312200e-03,3.304396501e-09,3.264560000e-09,1.100456000e-10,1.100456000e-10,1.885948618e+01,nan
3.826100e-03,2.284840330e-09,2.237720000e-09,1.142940000e-10,1.142940000e-10,1.896506993e+01,nan
