X,Y,Z,depth(m),rho(Ohmm)
42.000,42.000,42.000,3.895,40.853
42.000,42.000,42.000,5.393,55.290
42.000,42.000,42.000,7.593,65.661
42.000,42.000,42.000,10.550,39.843
42.000,42.000,42.000,14.386,64.075
42.000,42.000,42.000,20.270,83.641
42.000,42.000,42.000,28.005,57.644
42.000,42.000,42.000,0.000,48.181
