X,Y,Z,depth(m),rho(Ohmm)
42.000,42.000,42.000,3.895,49.556
42.000,42.000,42.000,5.412,49.556
42.000,42.000,42.000,7.520,49.556
42.000,42.000,42.000,10.449,49.556
42.000,42.000,42.000,14.519,49.556
42.000,42.000,42.000,20.174,49.556
42.000,42.000,42.000,28.031,49.556
42.000,42.000,42.000,0.000,49.556
