X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,10.000,50.000,0.0,1.0e-06,0.010
0.000,0.000,0.000,10.000,50.000,0.5,1.0e-02,0.500
0.000,0.000,0.000,0.000,50.000,0.0,1.0e-06,0.010
