X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,7.935,49.602,0.0,1.0e-06,0.010
0.000,0.000,0.000,13.575,6.524,0.8,3.4e-02,0.868
0.000,0.000,0.000,0.000,21.338,0.0,1.0e-06,0.010
