tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23
1.22306e-03,7.10256e-04,4.68593e-04,3.32817e-04,2.24104e-04,1.44993e-04,1.01965e-04,7.58459e-05,5.27828e-05,3.44200e-05,2.38249e-05,1.72408e-05,1.14301e-05,6.99342e-06,4.55761e-06,3.13847e-06,1.91270e-06,1.10104e-06,6.87071e-07,4.55627e-07,2.68059e-07,1.48519e-07,9.06045e-08,5.93954e-08
1.26954e-03,7.38128e-04,4.87393e-04,3.46337e-04,2.33245e-04,1.50824e-04,1.05943e-04,7.86895e-05,5.46367e-05,3.55187e-05,2.45175e-05,1.76998e-05,1.17007e-05,7.13638e-06,4.63913e-06,3.18824e-06,1.93838e-06,1.11318e-06,6.93405e-07,4.59194e-07,2.69739e-07,1.49236e-07,9.09532e-08,5.95846e-08
1.06057e-03,6.01391e-04,3.89669e-04,2.72969e-04,1.81403e-04,1.16324e-04,8.16982e-05,6.09833e-05,4.28384e-05,2.83855e-05,1.99626e-05,1.46555e-05,9.89170e-06,6.17504e-06,4.08979e-06,2.85310e-06,1.76629e-06,1.03273e-06,6.52109e-07,4.36414e-07,2.59409e-07,1.45097e-07,8.90822e-08,5.86466e-08
1.23299e-03,7.05214e-04,4.58153e-04,3.21008e-04,2.12861e-04,1.35791e-04,9.47855e-05,7.03076e-05,4.89638e-05,3.20995e-05,2.23712e-05,1.62997e-05,1.09031e-05,6.74054e-06,4.43033e-06,3.07199e-06,1.88800e-06,1.09595e-06,6.88210e-07,4.58569e-07,2.71194e-07,1.50925e-07,9.23121e-08,6.05977e-08
1.22301e-03,7.09981e-04,4.67905e-04,3.31646e-04,2.22393e-04,1.43040e-04,1.00214e-04,7.44767e-05,5.19757e-05,3.41831e-05,2.39090e-05,1.74835e-05,1.17526e-05,7.30867e-06,4.82738e-06,3.36067e-06,2.07528e-06,1.21009e-06,7.62216e-07,5.08882e-07,3.01393e-07,1.67741e-07,1.02457e-07,6.71051e-08
1.22307e-03,7.10279e-04,4.68670e-04,3.32977e-04,2.24396e-04,1.45404e-04,1.02394e-04,7.62265e-05,5.30517e-05,3.45443e-05,2.38522e-05,1.72120e-05,1.13638e-05,6.91582e-06,4.48578e-06,3.07662e-06,1.86567e-06,1.06876e-06,6.64723e-07,4.39890e-07,2.58441e-07,1.43243e-07,8.75564e-08,5.75600e-08
1.22306e-03,7.10256e-04,4.68593e-04,3.32817e-04,2.24104e-04,1.44993e-04,1.01964e-04,7.58438e-05,5.27785e-05,3.44125e-05,2.38154e-05,1.72305e-05,1.14199e-05,6.98470e-06,4.55078e-06,3.13339e-06,1.90976e-06,1.09999e-06,6.87169e-07,4.56379e-07,2.69264e-07,1.49851e-07,9.18497e-08,6.04921e-08
1.22306e-03,7.10256e-04,4.68593e-04,3.32817e-04,2.24104e-04,1.44993e-04,1.01965e-04,7.58460e-05,5.27829e-05,3.44201e-05,2.38252e-05,1.72415e-05,1.14315e-05,6.99588e-06,4.56090e-06,3.14219e-06,1.91644e-06,1.10417e-06,6.89409e-07,4.57225e-07,2.68802e-07,1.48568e-07,9.02987e-08,5.89287e-08
1.29461e-03,7.44430e-04,4.87766e-04,3.44597e-04,2.30755e-04,1.48520e-04,1.04090e-04,7.72526e-05,5.36511e-05,3.49282e-05,2.41531e-05,1.74673e-05,1.15731e-05,7.07696e-06,4.61028e-06,3.17387e-06,1.93368e-06,1.11279e-06,6.94246e-07,4.60295e-07,2.70732e-07,1.49947e-07,9.14431e-08,5.99240e-08
1.09655e-03,6.46949e-04,4.32058e-04,3.09878e-04,2.10869e-04,1.37829e-04,9.75851e-05,7.29157e-05,5.09542e-05,3.33382e-05,2.31209e-05,1.67522e-05,1.11193e-05,6.81034e-06,4.44141e-06,3.05997e-06,1.86588e-06,1.07465e-06,6.70888e-07,4.45069e-07,2.61996e-07,1.45274e-07,8.86967e-08,5.81927e-08
8.59042e-04,4.89805e-04,3.25440e-04,2.34747e-04,1.62265e-04,1.08459e-04,7.81516e-05,5.91278e-05,4.17938e-05,2.75826e-05,1.92142e-05,1.39547e-05,9.27866e-06,5.68878e-06,3.71140e-06,2.55747e-06,1.55989e-06,8.99033e-07,5.61931e-07,3.73422e-07,2.20560e-07,1.22981e-07,7.55612e-08,4.99028e-08
1.25188e-03,7.25662e-04,4.75788e-04,3.35125e-04,2.22611e-04,1.41124e-04,9.72223e-05,7.09193e-05,4.81188e-05,3.04589e-05,2.05822e-05,1.46081e-05,9.47351e-06,5.66619e-06,3.63118e-06,2.46956e-06,1.48472e-06,8.44996e-07,5.23834e-07,3.46258e-07,2.03583e-07,1.13259e-07,6.96051e-08,4.60446e-08
1.22304e-03,7.10112e-04,4.68203e-04,3.32100e-04,2.22945e-04,1.43494e-04,1.00468e-04,7.45510e-05,5.18888e-05,3.40182e-05,2.37459e-05,1.73462e-05,1.16556e-05,7.25232e-06,4.79540e-06,3.34266e-06,2.06829e-06,1.20904e-06,7.63310e-07,5.10676e-07,3.03293e-07,1.69328e-07,1.03697e-07,6.80642e-08
1.22306e-03,7.10257e-04,4.68596e-04,3.32825e-04,2.24126e-04,1.45040e-04,1.02034e-04,7.59284e-05,5.28688e-05,3.44927e-05,2.38779e-05,1.72757e-05,1.14452e-05,6.99240e-06,4.54883e-06,3.12647e-06,1.89976e-06,1.08945e-06,6.77430e-07,4.47783e-07,2.62331e-07,1.44682e-07,8.79551e-08,5.75100e-08
1.22306e-03,7.10256e-04,4.68593e-04,3.32817e-04,2.24104e-04,1.44993e-04,1.01964e-04,7.58442e-05,5.27782e-05,3.44088e-05,2.38062e-05,1.72159e-05,1.13996e-05,6.96163e-06,4.52903e-06,3.11480e-06,1.89672e-06,1.09310e-06,6.84524e-07,4.56435e-07,2.71477e-07,1.53050e-07,9.51067e-08,6.34732e-08
1.22306e-03,7.10256e-04,4.68593e-04,3.32817e-04,2.24104e-04,1.44993e-04,1.01965e-04,7.58459e-05,5.27828e-05,3.44200e-05,2.38249e-05,1.72408e-05,1.14301e-05,6.99342e-06,4.55761e-06,3.13847e-06,1.91270e-06,1.10104e-06,6.87071e-07,4.55627e-07,2.68059e-07,1.48519e-07,9.06045e-08,5.93954e-08
7.97216e-04,4.22390e-04,2.62605e-04,1.79111e-04,1.16552e-04,7.38275e-05,5.16803e-05,3.85903e-05,2.71655e-05,1.80442e-05,1.27002e-05,9.32038e-06,6.28134e-06,3.91339e-06,2.59041e-06,1.80964e-06,1.12707e-06,6.68394e-07,4.30424e-07,2.94863e-07,1.82207e-07,1.07527e-07,6.95028e-08,4.79512e-08
7.72323e-04,4.32099e-04,2.81601e-04,1.99385e-04,1.34683e-04,8.78860e-05,6.23404e-05,4.67073e-05,3.27475e-05,2.14813e-05,1.49074e-05,1.07963e-05,7.15680e-06,4.37787e-06,2.85647e-06,1.97322e-06,1.21304e-06,7.10712e-07,4.53820e-07,3.09029e-07,1.89789e-07,1.11427e-07,7.17894e-08,4.94190e-08
7.77470e-04,4.24995e-04,2.71884e-04,1.89864e-04,1.26601e-04,8.18369e-05,5.78480e-05,4.33362e-05,3.04650e-05,2.00981e-05,1.40299e-05,1.02153e-05,6.81625e-06,4.19972e-06,2.75569e-06,1.91194e-06,1.18131e-06,6.95351e-07,4.45438e-07,3.04004e-07,1.87125e-07,1.10066e-07,7.09933e-08,4.89080e-08
7.75013e-04,4.14323e-04,2.60048e-04,1.79078e-04,1.18014e-04,7.57671e-05,5.34253e-05,3.99611e-05,2.80165e-05,1.83927e-05,1.27724e-05,9.25412e-06,6.13756e-06,3.75755e-06,2.45480e-06,1.69860e-06,1.04766e-06,6.17041e-07,3.96289e-07,2.71447e-07,1.68129e-07,9.97144e-08,6.47974e-08,4.49255e-08
