X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
70.000,0.000,0.000,3.821,300.000,0.0,1.0e-06,0.079
70.000,0.000,0.000,2.780,3264.734,0.5,2.8e-05,0.838
70.000,0.000,0.000,2.725,3150.915,0.6,4.3e-05,0.781
70.000,0.000,0.000,2.719,2977.687,0.6,6.4e-05,0.741
70.000,0.000,0.000,5.000,2274.666,0.8,9.9e-05,0.706
70.000,0.000,0.000,0.000,335.776,0.0,1.0e-06,0.026
