X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
60.1,3010.211,3.878,300.0,0.0,1e-06,0.077
60.1,3010.211,2.793,3313.204,0.5,2.8e-05,0.837
60.1,3010.211,2.738,3185.542,0.6,4.3e-05,0.782
60.1,3010.211,2.733,3002.831,0.6,6.7e-05,0.742
60.1,3010.211,5.0,2268.356,0.8,9.5e-05,0.715
60.1,3010.211,0.0,336.07,0.0,1e-06,0.028
