time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,6.125431001e-05,7.724520000e-05,7.645400000e-08,1.081432800e-05,2.923848746e+02,2.506300000e+02
1.456000e-05,2.250904256e-05,3.658440000e-05,2.937760000e-08,5.121816000e-06,4.449165630e+02,3.219600000e+02
1.744000e-05,2.208102120e-06,7.600680000e-06,1.247688000e-08,1.064095200e-06,1.548324465e+03,6.792000000e+02
2.146000e-05,-4.831313831e-06,-5.866920000e-06,2.356400000e-08,8.213688000e-07,-6.501683904e+02,-5.710700000e+02
2.549000e-05,-5.583265856e-06,-7.425240000e-06,9.460000000e-09,1.039533600e-06,-4.431767303e+02,-3.665000000e+02
2.950000e-05,-4.821976221e-06,-6.527400000e-06,1.897160000e-08,9.138360000e-07,-3.830588295e+02,-3.129500000e+02
3.528000e-05,-3.441388182e-06,-3.794320000e-06,2.296200000e-09,5.312048000e-07,-3.559717039e+02,-3.335500000e+02
4.330000e-05,-2.080268095e-06,-2.211920000e-06,7.998000000e-09,3.096688000e-07,-3.539100107e+02,-3.397800000e+02
5.140000e-05,-1.259408173e-06,-1.174760000e-06,5.392200000e-09,1.644664000e-07,-3.715945566e+02,-3.892200000e+02
5.941000e-05,-7.798202449e-07,-6.420760000e-07,4.224320000e-09,8.989064000e-08,-4.018123575e+02,-4.574000000e+02
7.095000e-05,-3.901622802e-07,-3.015160000e-07,3.214680000e-09,4.221224000e-08,-4.742798713e+02,-5.630700000e+02
8.707000e-05,-1.649682638e-07,-1.145348000e-07,2.691800000e-09,1.603487200e-08,-5.985094844e+02,-7.632600000e+02
1.031600e-04,-6.904872838e-08,-5.423160000e-08,2.765760000e-09,7.592424000e-09,-8.062991483e+02,-9.470900000e+02
1.192200e-04,-2.580634840e-08,-3.317880000e-08,2.855200000e-09,4.645032000e-09,-1.221010261e+03,-1.032530000e+03
