X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
60.1,3010.211,3.84,300.0,0.0,1e-06,0.078
60.1,3010.211,2.784,3284.1,0.5,2.8e-05,0.839
60.1,3010.211,2.727,3166.487,0.6,4.3e-05,0.781
60.1,3010.211,2.722,2990.511,0.6,6.6e-05,0.741
60.1,3010.211,5.0,2279.783,0.8,9.8e-05,0.709
60.1,3010.211,0.0,336.328,0.0,1e-06,0.027
