,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,7.433269570638752e-06,-6.383871412308388e-08,4.157683221652083e-08,2.2710626242641742e-07,-2.427695642929423e-06,-7.22113727229564e-08,8.959747348106166e-10,1.6390753805312763e-10,-7.201125318862263e-10,-3.2102008439738244e-09,-2.9777616942725637e-07,0.00019211697975573955,-3.528649755274469e-05,-2.7618115061549138e-05,-2.136896654121866e-05,-0.00023439002815071544,0.004763390193003524,0.13470054946300616,0.24793387073250844,0.14706748438039882,0.10707768843507381,0.498134151842961,0.6488157305973987,-4.6344346856945634e-05,3.0018057344336524e-05,2.982785771021847e-05,3.104629036047819e-05,0.00026669491907211306,-0.0015829852097403558
dB/dt tg02,5.766176608559599e-06,8.044297956015695e-07,7.193035524737687e-07,5.384888784831555e-07,-4.094589748944498e-06,-3.8531954718193435e-08,1.1595572058800142e-09,7.427984536269507e-10,3.799307583754317e-10,5.050080661731321e-09,-2.1110110349507128e-07,7.52287337720166e-05,-3.13961398238656e-05,-2.8366888661604708e-05,-2.9168182175786422e-05,-0.00030209650220505485,0.0033575005715819548,0.0698746920547989,0.16926344624227196,0.10420072750975932,0.07712331944646421,0.3246283874966871,0.46063171228899374,-2.4687070532918816e-05,2.190889854407831e-05,2.4583591085510075e-05,2.9998249360171322e-05,0.0002659582041751979,-0.001123350498448964
dB/dt tg03,4.020070857466509e-06,9.383797607734417e-07,7.725238335335645e-07,4.5338131031979373e-07,-4.138659806184817e-06,-1.7871777047244988e-08,1.095970746767528e-09,8.931005679110451e-10,8.232518669365628e-10,7.69687598160634e-09,-1.3572795437383535e-07,1.3707071696849605e-05,-2.392315854378179e-05,-2.3675778074750147e-05,-2.740214170743341e-05,-0.00026205801347271623,0.0021441352460182697,0.03075621496876267,0.09520224980285498,0.06338669103493808,0.04835838981606549,0.1713377841944037,0.2966244415874426,-1.1409693949968131e-05,1.3154627876040385e-05,1.6915968399548536e-05,2.319987369717041e-05,0.00020388715572259927,-0.0007230877619566669
dB/dt tg04,2.5346058508641914e-06,7.274396091617694e-07,5.536026344802805e-07,2.456651940378746e-07,-3.2225159938552737e-06,-7.275213881226751e-09,8.432176286740152e-10,7.671677748060564e-10,8.169831301164068e-10,6.783787603607094e-09,-7.99286939913232e-08,-9.46946400614531e-06,-1.5557916407436735e-05,-1.658658201354359e-05,-2.049570802242281e-05,-0.00017572750531169958,0.0012527480393858491,0.011264853126965721,0.03796778502235969,0.03092773886173027,0.025263321425972318,0.0639523482688109,0.17495474208541648,-4.608864017267357e-06,6.0679214506854305e-06,9.535872418911782e-06,1.4680248977861355e-05,0.00012499702079663892,-0.00042635493314991627
dB/dt tg05,1.6859743324063472e-06,5.354251433131033e-07,3.78909102385423e-07,1.222459089408571e-07,-2.3623550054957864e-06,-3.281879172432957e-09,6.210104875313559e-10,6.003551880993215e-10,6.759017501531631e-10,5.215459264100135e-09,-5.103718769871079e-08,-1.3991985801591368e-05,-1.009850553560132e-05,-1.1437275775247877e-05,-1.4688767890426039e-05,-0.0001140368016222449,0.0007944923793017437,0.004231578617851399,0.009621206531332905,0.013851884870128795,0.012892419575572637,0.01655574834902495,0.11184449597647869,-2.052304196549323e-06,2.589910923799146e-06,5.323893772568401e-06,9.16315260504263e-06,7.580684099412571e-05,-0.0002725176717406315
dB/dt tg06,1.1713754135640428e-06,3.948368091343652e-07,2.5951774040549044e-07,5.233452177273868e-08,-1.7252741757911993e-06,-1.632607676508652e-09,4.553474788429498e-10,4.6056830721381707e-10,5.353357485492614e-10,3.898488731277052e-09,-3.4705090585446265e-08,-1.3382533732418091e-05,-6.638206247245338e-06,-7.952508280331995e-06,-1.051805441499966e-05,-7.466092648432575e-05,0.0005369843051929054,0.0015167303537064623,-0.003990301433028555,0.004768228679987787,0.0060919038283210195,-0.004203459923288813,0.076118952163507,-1.0007725251568864e-06,9.338211304676058e-07,2.9521874474691357e-06,5.747951150801587e-06,4.652363806258858e-05,-0.00018546403463804505
dB/dt tg07,7.346483340598206e-07,2.634632291935147e-07,1.5575019366507514e-07,3.8881069593090484e-09,-1.1180151782363912e-06,-6.920860984754792e-10,2.946623326159459e-10,3.1517081181673926e-10,3.782371726670232e-10,2.5692451659853118e-09,-2.1609550994602764e-08,-1.0772325633867887e-05,-3.716009161139712e-06,-4.822511215564765e-06,-6.6182894229751405e-06,-4.19147838253069e-05,0.0003317667667697899,0.0001503298858561856,-0.011445825994455297,-0.0014151812993384266,0.0011551519754884438,-0.014571069824165943,0.04743561952493622,-4.0580299752961885e-07,2.3191850051738255e-09,1.217810955344615e-06,2.968617443405597e-06,2.3695342919179502e-05,-0.00011558968798591526
dB/dt tg08,4.211552080915118e-07,1.6454399489598682e-07,8.598353182423027e-08,-1.6243772147023644e-08,-6.510980084503971e-07,-2.44787046393049e-10,1.683170067695982e-10,1.9331898446929512e-10,2.4053732889844086e-10,1.5157453472783266e-09,-1.2622881006498625e-08,-7.712924370274208e-06,-1.7640909759542344e-06,-2.555814889123879e-06,-3.68232871319653e-06,-2.0681616724178546e-05,0.0001919725637532446,-0.0003426595242635736,-0.012349278287834586,-0.004080010538372266,-0.0014120675558996515,-0.015586393025955596,0.027725390773302102,-1.2753893828299884e-07,-2.1963586741377143e-07,3.1253771500905816e-07,1.232591292114299e-06,1.018595327331385e-05,-6.758333008652474e-05
dB/dt tg09,2.594741102581949e-07,1.0989158408171883e-07,5.2255772255952315e-08,-1.9112560963028034e-08,-4.02467045645868e-07,-9.944254519543209e-11,1.0049905326870519e-10,1.234513341154495e-10,1.5869158212328255e-10,9.434671853672209e-10,-8.091480002550992e-09,-5.598091857355595e-06,-8.866345296042671e-07,-1.4309831345930795e-06,-2.161367770515662e-06,-1.1131229357032704e-05,0.0001220283957171877,-0.00040164639710050593,-0.01023056668066272,-0.00429644820909987,-0.002079108762806715,-0.0129403855629165,0.01777553389966983,-4.043752366512393e-08,-1.386448640871529e-07,4.256369150271373e-08,5.21942275968816e-07,4.814258804757881e-06,-4.335034608497386e-05
dB/dt tg10,1.706015400205519e-07,7.748394074953795e-08,3.457738371570111e-08,-1.7164908453719083e-08,-2.6457159271191986e-07,-4.8352293873848914e-11,6.318880784222851e-11,8.250743845823626e-11,1.0926081698196585e-10,6.221997914749772e-10,-5.597290555202579e-09,-4.195993367818791e-06,-4.814815995487664e-07,-8.535541537621479e-07,-1.3457282035533652e-06,-6.571259984749435e-06,8.380030451244472e-05,-0.00036031156714054887,-0.007813581370994476,-0.003777908650823372,-0.0020687117723884128,-0.010077564554723707,0.012294826088751872,-1.2014677382818962e-08,-3.081299259346849e-08,-1.2926806843549015e-08,2.338627329009055e-07,2.5990896385717368e-06,-3.000054071708418e-05
