time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,6.902050513e-05,8.526040000e-05,6.200600000e-08,4.263020000e-06,2.700187453e+02,2.346600000e+02
1.456000e-05,2.836906743e-05,4.301720000e-05,2.297920000e-08,2.150860000e-06,3.813173347e+02,2.890300000e+02
1.744000e-05,5.109205468e-06,1.262824000e-05,1.526672000e-08,6.314120000e-07,8.850595657e+02,4.842100000e+02
2.146000e-05,-2.840869426e-06,-2.287600000e-06,2.294480000e-08,1.143800000e-07,-9.263359145e+02,-1.070150000e+03
2.549000e-05,-4.110249786e-06,-5.130760000e-06,2.170640000e-08,2.565380000e-07,-5.435719163e+02,-4.688900000e+02
2.950000e-05,-3.893482341e-06,-4.719680000e-06,1.745800000e-08,2.359840000e-07,-4.417637209e+02,-3.885200000e+02
3.528000e-05,-2.970430388e-06,-3.147600000e-06,1.212600000e-08,1.573800000e-07,-3.926675384e+02,-3.779000000e+02
4.330000e-05,-1.769740404e-06,-1.618520000e-06,8.699760000e-09,8.092600000e-08,-3.941843176e+02,-4.183400000e+02
5.140000e-05,-9.944489285e-07,-8.405640000e-07,7.074360000e-09,4.202820000e-08,-4.349693868e+02,-4.865000000e+02
5.941000e-05,-5.738521955e-07,-4.595840000e-07,6.245320000e-09,2.297920000e-08,-4.929689826e+02,-5.716700000e+02
7.095000e-05,-2.501245574e-07,-2.070880000e-07,5.223640000e-09,1.035440000e-08,-6.379118332e+02,-7.232200000e+02
8.707000e-05,-6.470506662e-08,-7.499200000e-08,5.163440000e-09,3.749600000e-09,-1.116980986e+03,-1.012160000e+03
