X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
38.92,3016.959,3.769,300.0,0.0,1e-06,0.08
38.92,3016.959,2.736,3317.432,0.5,3.5e-05,0.843
38.92,3016.959,2.706,3180.617,0.6,4.8e-05,0.823
38.92,3016.959,2.705,3010.756,0.6,6.3e-05,0.801
38.92,3016.959,5.0,2240.256,0.8,7.4e-05,0.762
38.92,3016.959,0.0,333.783,0.0,1e-06,0.025
