X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
0.000,0.000,0.000,8.000,50.000,0.0,1.0e-06,0.010
0.000,0.000,0.000,12.000,10.000,0.8,5.0e-04,0.900
0.000,0.000,0.000,0.000,500.000,0.0,1.0e-06,0.010
