,sensitivity,confidence
$\mathrm{thk}_{1}$,3.325998713562169,2.0409018148217766
$\mathrm{thk}_{2}$,2.6715767757647364,1.7124993018355497
$\mathrm{thk}_{3}$,2.7353654707424244,1.7186376394886675
$\mathrm{thk}_{4}$,2.19833801818702,1.4407509190842405
$\mathrm{thk}_{5}$,1.5965513562020277,0.9800268651327578
"$\rho_{0,1}$",2.4151231210075665,1.5041988726526994
"$\rho_{0,2}$",1.9350863885165979,1.2007333666011446
"$\rho_{0,3}$",2.6773737702044085,1.8560737423698066
"$\rho_{0,4}$",2.4091217355642116,1.4396680369155517
"$\rho_{0,5}$",2.553725376220424,1.5759886566641093
"$\rho_{0,6}$",2.9762615506186934,1.8996951691674957
"$\phi_{\mathrm{max}, 2}$",3.067659072024212,2.0615133979270506
"$\phi_{\mathrm{max}, 3}$",3.086368916202795,1.9932154539358027
"$\phi_{\mathrm{max}, 4}$",1.7688493904599139,1.0798480670320847
"$\phi_{\mathrm{max}, 5}$",1.2695702130380293,0.7809753929531809
"$\phi_{\mathrm{max}, 6}$",2.6739922147049513,1.5871967227914994
"$\tau_{\phi, 2}$",1.8693917958696806,1.1842657264595413
"$\tau_{\phi, 3}$",1.8971167675279539,1.3018436028530935
"$\tau_{\phi, 4}$",3.052949943104386,1.8064585285171122
"$\tau_{\phi, 5}$",2.255155276385368,1.4490529975150757
"$\tau_{\phi, 6}$",2.6352981913921574,1.7245097594726417
$c_{2}$,2.7937769637444734,1.6972349046193145
$c_{3}$,2.5563529763591846,1.735644865702451
$c_{4}$,2.043010018421646,1.2541686825265912
$c_{5}$,2.095610590666612,1.2907650359877343
$c_{6}$,2.0621385837125046,1.253179960863055
