time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,2.567946938e-03,2.574406400e-03,3.274752000e-06,2.316965760e-04,1.674345952e+01,1.674000000e+01
6.070000e-06,1.714793112e-03,1.589356800e-03,2.072960000e-06,1.430421120e-04,1.623529511e+01,1.708000000e+01
7.080000e-06,1.209920023e-03,1.101555200e-03,1.424832000e-06,9.913996800e-05,1.584975744e+01,1.688000000e+01
8.520000e-06,7.915949371e-04,7.273728000e-04,8.924224000e-07,6.546355200e-05,1.544713099e+01,1.635000000e+01
1.053000e-05,4.782597950e-04,4.615616000e-04,5.990592000e-07,4.154054400e-05,1.518539028e+01,1.555000000e+01
1.255000e-05,3.133666720e-04,3.198656000e-04,3.949120000e-07,2.878790400e-05,1.502476700e+01,1.483000000e+01
1.456000e-05,2.209867796e-04,2.372358400e-04,3.046464000e-07,2.135122560e-05,1.480480434e+01,1.413000000e+01
1.744000e-05,1.474068206e-04,1.668076800e-04,2.182643200e-07,1.501269120e-05,1.435467306e+01,1.322000000e+01
2.146000e-05,9.633908767e-05,1.113888000e-04,1.393868800e-07,1.002499200e-05,1.348956495e+01,1.224000000e+01
2.549000e-05,6.990979587e-05,7.929728000e-05,1.158233600e-07,7.136755200e-06,1.253932265e+01,1.153000000e+01
2.950000e-05,5.421988815e-05,5.932864000e-05,8.312832000e-08,5.339577600e-06,1.164412130e+01,1.097000000e+01
3.528000e-05,4.014501854e-05,4.148544000e-05,5.552384000e-08,3.733689600e-06,1.055878037e+01,1.033000000e+01
4.330000e-05,2.851610449e-05,2.789312000e-05,4.754688000e-08,2.510380800e-06,9.427051224e+00,9.560000000e+00
5.140000e-05,2.126729684e-05,2.012870400e-05,4.361088000e-08,1.811583360e-06,8.613290580e+00,8.930000000e+00
5.941000e-05,1.645349928e-05,1.541075200e-05,3.930752000e-08,1.386967680e-06,8.028684416e+00,8.390000000e+00
7.095000e-05,1.168882650e-05,1.111526400e-05,2.139872000e-08,1.000373760e-06,7.501496044e+00,7.760000000e+00
8.707000e-05,8.000488311e-06,7.764416000e-06,2.016806400e-08,6.987974400e-07,6.866318136e+00,7.000000000e+00
1.031600e-04,5.806262519e-06,5.715072000e-06,1.748633600e-08,5.143564800e-07,6.409131143e+00,6.480000000e+00
1.192200e-04,4.377770606e-06,4.361088000e-06,1.798227200e-08,3.924979200e-07,6.078997471e+00,6.100000000e+00
1.423300e-04,2.945845509e-06,3.140928000e-06,1.014700800e-08,2.826835200e-07,5.892258146e+00,5.640000000e+00
1.745400e-04,1.742898495e-06,2.138035200e-06,9.189248000e-09,1.924231680e-07,5.950810809e+00,5.190000000e+00
