time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,2.530923275e-03,2.574406400e-03,3.274752000e-06,1.802084480e-04,1.690635200e+01,1.674000000e+01
6.070000e-06,1.692596542e-03,1.589356800e-03,2.072960000e-06,1.112549760e-04,1.637692554e+01,1.708000000e+01
7.080000e-06,1.196465645e-03,1.101555200e-03,1.424832000e-06,7.710886400e-05,1.596835728e+01,1.688000000e+01
8.520000e-06,7.853566237e-04,7.273728000e-04,8.924224000e-07,5.091609600e-05,1.552882374e+01,1.635000000e+01
1.053000e-05,4.773301410e-04,4.615616000e-04,5.990592000e-07,3.230931200e-05,1.520510072e+01,1.555000000e+01
1.255000e-05,3.149777232e-04,3.198656000e-04,3.949120000e-07,2.239059200e-05,1.497349068e+01,1.483000000e+01
1.456000e-05,2.237222430e-04,2.372358400e-04,3.046464000e-07,1.660650880e-05,1.468387766e+01,1.413000000e+01
1.744000e-05,1.505811116e-04,1.668076800e-04,2.182643200e-07,1.167653760e-05,1.415222395e+01,1.322000000e+01
2.146000e-05,9.923874857e-05,1.113888000e-04,1.393868800e-07,7.797216000e-06,1.322550032e+01,1.224000000e+01
2.549000e-05,7.227830961e-05,7.929728000e-05,1.158233600e-07,5.550809600e-06,1.226386728e+01,1.153000000e+01
2.950000e-05,5.606130287e-05,5.932864000e-05,8.312832000e-08,4.153004800e-06,1.138772597e+01,1.097000000e+01
3.528000e-05,4.133314832e-05,4.148544000e-05,5.552384000e-08,2.903980800e-06,1.035545551e+01,1.033000000e+01
4.330000e-05,2.899572762e-05,2.789312000e-05,4.754688000e-08,1.952518400e-06,9.322806226e+00,9.560000000e+00
5.140000e-05,2.126134098e-05,2.012870400e-05,4.361088000e-08,1.409009280e-06,8.614899043e+00,8.930000000e+00
5.941000e-05,1.616517689e-05,1.541075200e-05,3.930752000e-08,1.078752640e-06,8.123869362e+00,8.390000000e+00
7.095000e-05,1.122945907e-05,1.111526400e-05,2.139872000e-08,7.780684800e-07,7.704703582e+00,7.760000000e+00
8.707000e-05,7.585951665e-06,7.764416000e-06,2.016806400e-08,5.435091200e-07,7.114234956e+00,7.000000000e+00
1.031600e-04,5.554595726e-06,5.715072000e-06,1.748633600e-08,4.000550400e-07,6.601287277e+00,6.480000000e+00
1.192200e-04,4.300569146e-06,4.361088000e-06,1.798227200e-08,3.052761600e-07,6.151532745e+00,6.100000000e+00
1.423300e-04,3.052808268e-06,3.140928000e-06,1.014700800e-08,2.198649600e-07,5.753808331e+00,5.640000000e+00
1.745400e-04,1.950107067e-06,2.138035200e-06,9.189248000e-09,1.496624640e-07,5.521434217e+00,5.190000000e+00
