,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,-0.0002004380597356625,1.7015409312917916e-05,2.726209452907841e-11,2.1863788035793034e-11,1.3992751878592627e-12,-0.00012947930350735675,-6.794518768163121e-06,6.198728942134142e-07,-1.4444676795237927e-11,-1.2014641103713129e-12,2.3089990004257437e-12,0.026408537633282218,0.0011402280941242829,-9.702999711531068e-05,2.255347136125824e-09,1.738458172403915e-10,2.520619892229652e-10,0.1639282279798265,-0.2610907071339371,-0.011957315172889817,8.872193282308536e-07,1.5763909971679254e-07,2.1444843778943154e-07,-3.2206818982207304e-05,-0.0005804586774475146,8.245034345793807e-05,-2.2209666426900025e-09,-1.6952478385369343e-10,-1.0780724774510511e-10
dB/dt tg02,-0.00014996496176412414,2.5342886363493546e-05,2.82782684512407e-11,2.214799099308979e-11,1.3929867973077948e-12,-7.951902768833898e-05,-1.4687615851346404e-05,1.243980596522777e-06,-1.5589731913474095e-11,-1.2027615958787296e-12,2.3074170827479603e-12,0.01543985079661677,0.0017851634354625783,-0.00018815048663227828,2.443318953295142e-09,1.7422076286790986e-10,2.5180529673111434e-10,0.09983780507086627,-0.10300651674517403,-0.02644784210905618,9.27936496238778e-07,1.5739475883471477e-07,2.143568316321543e-07,-1.9769551282519458e-05,-0.000737678879204657,0.0001577281501873962,-2.3706825543607125e-09,-1.6971659984390048e-10,-1.077807244950863e-10
dB/dt tg03,-0.00010786837092045434,2.9194139403658066e-05,2.962999884907229e-11,2.2529209950736223e-11,1.3850651427326526e-12,-5.3033146096354034e-05,-1.7477067920664426e-05,1.8541737773529299e-06,-1.7108661715613014e-11,-1.2047352405875125e-12,2.306064567449274e-12,0.009851545090610985,0.0019525336892432588,-0.00027287467381616393,2.6927713356574914e-09,1.7476132654335995e-10,2.5150596514553024e-10,0.06601945666266593,0.0035503931565602762,-0.0421995191813267,9.820655123776885e-07,1.571149714952989e-07,2.142599708195839e-07,-1.317280020332076e-05,-0.0007351629879182643,0.00022682210646707157,-2.569375852665476e-09,-1.7000606265818739e-10,-1.077361695605116e-10
dB/dt tg04,-6.680771808513022e-05,2.813170667705062e-05,2.70258715736531e-11,2.1759431350112242e-11,1.3973286655241694e-12,-3.317356936039428e-05,-1.7165695201744566e-05,2.471940480042306e-06,-1.4216601617805013e-11,-1.1983820942275015e-12,2.300700914730978e-12,0.005846997556904336,0.0018104364701745836,-0.0003520960471831282,2.2181089151459078e-09,1.7326811254451716e-10,2.516631807174944e-10,0.040841090851359375,0.08978890201254944,-0.060464241148504724,8.781473615816946e-07,1.5725099674973387e-07,2.142031767536238e-07,-8.228693434596314e-06,-0.0006251584621864365,0.00029077890339693034,-2.1906674973878566e-09,-1.691090811477214e-10,-1.0792572141324647e-10
dB/dt tg05,-3.776482197738293e-05,1.9728948354819887e-05,2.574202369429648e-11,2.136611834869462e-11,1.402282467648885e-12,-1.8956299463814978e-05,-1.3711934568659845e-05,2.807817059948695e-06,-1.2804875952471914e-11,-1.1942452238940118e-12,2.2950202184763373e-12,0.0030810215234597016,0.001376067095740632,-0.0003832993823560277,1.9862199117471643e-09,1.7235467934892215e-10,2.5158190620080096e-10,0.022985529816300598,0.13166881824238008,-0.07451344290848394,8.270158722911206e-07,1.5716646977362015e-07,2.1409305888363672e-07,-4.697160207270955e-06,-0.0004352593197546123,0.00031547664694806,-2.0055190259218746e-09,-1.6853893138445106e-10,-1.0805861269380083e-10
dB/dt tg06,-2.4345101986286727e-05,1.0892069058635275e-05,4.213544720284006e-11,2.6095894629541467e-11,1.3154586058348146e-12,-1.1611573229615115e-05,-1.0138261545182147e-05,2.7126339419585214e-06,-3.1095538004547604e-11,-1.2258187859185339e-12,2.3027733866785388e-12,0.0017154316549367738,0.000974127966246371,-0.0003560720177456623,4.987577626880517e-09,1.802635165977466e-10,2.492271150632625e-10,0.013850876399868825,0.13234321793777234,-0.07680334970218403,1.481589661914902e-06,1.5500354208412785e-07,2.1369182216321064e-07,-2.874815971416107e-06,-0.00028722588664777365,0.0002937543373840798,-4.398015957499267e-09,-1.730834630645771e-10,-1.0720397702505649e-10
dB/dt tg07,-1.7719296862265633e-05,4.169127996764667e-06,3.264251630795782e-11,2.3327452001642003e-11,1.362033432998675e-12,-7.543548847245813e-06,-7.3579486021915915e-06,2.4109284686555535e-06,-2.029531921693382e-11,-1.2051153997669146e-12,2.2909235935862614e-12,0.000999834489006067,0.0006758986032077603,-0.000304576133127468,3.208113665977686e-09,1.7525149930944406e-10,2.501941552673201e-10,0.00883841928028725,0.11852431509661292,-0.07214160335025217,1.0971368211411037e-06,1.5585787844356108e-07,2.1374168117890367e-07,-1.865358902749716e-06,-0.00018816503857496704,0.0002530112748540105,-2.97651604100497e-09,-1.7013630571553796e-10,-1.0779297839129962e-10
dB/dt tg08,-1.2903373104190225e-05,-1.6069246417892362e-06,-3.365611919757886e-11,5.0812255391028236e-12,1.68338299056141e-12,-4.367161954957115e-06,-4.711964077950326e-06,1.8821615366094205e-06,6.581862856624429e-11,-1.0759082389858387e-12,2.2365297849730305e-12,0.00047816149268671484,0.0004034927744854299,-0.00022478366041916702,-1.1234026157164005e-08,1.434692331292632e-10,2.5790750941342675e-10,0.004968397342494368,0.09472435063592585,-0.06036042344411632,-1.8623239527620457e-06,1.6284537697830777e-07,2.146557448879448e-07,-1.0770670254456282e-06,-0.00010526816886267471,0.00018999772010481103,8.655462251429302e-09,-1.5164835190562096e-10,-1.113877468337383e-10
dB/dt tg09,-9.55953994645453e-06,-4.943900380918141e-06,7.390749621067548e-11,5.052776555846163e-11,8.693616221821151e-13,-2.290780615990301e-06,-2.682989306920067e-06,1.2131493419762646e-06,8.407218678743143e-11,-1.3902510103213408e-12,2.3462967738948685e-12,0.00017522251513392155,0.0002056541605229917,-0.00013179746107534794,-1.74491711634502e-08,2.2133673128257303e-10,2.372683050701242e-10,0.0024851450496300395,0.06718051037459159,-0.04272109298672349,-1.2136545224670007e-06,1.4408119244890993e-07,2.1168842188630584e-07,-5.618588310331075e-07,-5.096937472366306e-05,0.00011616566698718531,1.4924850959366193e-08,-1.9669584801822112e-10,-1.0274710411793493e-10
dB/dt tg10,-7.498845217732508e-06,-5.626355610923706e-06,-4.786258042868346e-10,7.657532144553496e-11,4.007138208110064e-13,-1.348610646529314e-06,-1.6627307678624808e-06,7.103531816660347e-07,1.7290522924930533e-09,-1.5691339838070339e-12,2.4051909020905854e-12,6.156827262060383e-05,0.00011286975405153927,-6.670806826055377e-05,-3.033643133727827e-07,2.657628800412666e-10,2.2522192460926652e-10,0.0013891100942455578,0.04851101893799899,-0.027947950059675777,-5.355757859089096e-05,1.3311398286212313e-07,2.098674730936579e-07,-3.283580865616422e-07,-2.79366443058082e-05,6.34831871042361e-05,2.524798655245154e-07,-2.22357105256209e-10,-9.78499708297393e-11
dB/dt tg11,-6.031527249058218e-06,-5.330740799184384e-06,-3.116951566082515e-09,-1.0661202271123371e-10,3.6490901186799e-12,-8.757788401475591e-07,-1.1144968095610484e-06,3.537681272534681e-07,7.527558146941325e-09,-2.838434109822001e-13,1.9173911412591724e-12,1.7211730222218466e-05,6.669319151113126e-05,-2.3534792503745864e-05,-1.2902786693721274e-06,-5.0749646333645745e-11,3.0563425035486784e-10,0.0008570249338439264,0.03614842218495458,-0.016735005189926325,-0.0002463966578911617,2.0592118231050018e-07,2.2049091780340376e-07,-2.1149147921570333e-07,-1.7388693971321554e-05,2.7147791348240012e-05,1.0663565974132098e-06,-3.8803019338138674e-11,-1.3317155888596048e-10
dB/dt tg12,-4.492440100010234e-06,-4.441609659759846e-06,-1.0982065621524445e-08,-1.6257791290246804e-10,4.359263217489427e-12,-5.315767635226564e-07,-6.966189665363704e-07,1.5393387208007616e-08,2.4193404181353827e-08,2.5031792308339804e-13,1.798341271651245e-12,-5.084080836293237e-06,3.4699015999934566e-05,1.4281892691511448e-05,-3.988944152455296e-06,-1.5767698730274168e-10,3.2278521676852405e-10,0.0004856668076280554,0.024979929577936575,-0.0054337270407718635,-0.0008518098133410713,2.1525875757756577e-07,2.2253462840208606e-07,-1.2685192588931302e-07,-1.047263409703005e-05,-6.591446444381572e-06,3.306209578693631e-06,2.2708266242583855e-11,-1.4111997088267998e-10
dB/dt tg13,-3.069873412591143e-06,-3.2612788326030683e-06,-2.811416439272946e-08,3.878258281769201e-10,-1.4566315863320146e-11,-3.137529281779882e-07,-4.172132161684452e-07,-2.523933833752132e-07,5.964865139700716e-08,3.8023303670215145e-12,4.541327578607545e-12,-1.131738605214618e-05,1.6025546439037858e-05,4.143860837960786e-05,-9.376885866535566e-06,1.1580814738808423e-10,-1.4431899816263304e-10,0.00026476327870621517,0.01621482553755327,0.004137838033718657,-0.0022651653579132264,-5.331884482048209e-07,1.5886644154506067e-07,-7.377149639274752e-08,-6.4779943769534715e-06,-3.242348010180466e-05,7.841826528724951e-06,-1.8350731871102012e-10,6.187265469338771e-11
dB/dt tg14,-2.1463752065986824e-06,-2.375487804743514e-06,-4.751868463429485e-08,-4.297963056206274e-09,3.009711187214494e-12,-2.0800107502992604e-07,-2.7470970701589706e-07,-3.8382257744430836e-07,9.271514529586284e-08,9.260629212622277e-11,1.7748147098837536e-12,-1.0961165731745348e-05,7.874553864342493e-06,5.3623237030535605e-05,-1.401416425966056e-05,-1.3175772710739907e-08,3.266124494347033e-10,0.00016467144526891115,0.011205284959371892,0.009389942528905279,-0.003690507473964632,-2.5656530731247783e-06,2.1761865001077808e-07,-4.830528430176198e-08,-4.558830858906856e-06,-4.41390328039953e-05,1.190872346840746e-05,7.14900337470542e-09,-1.3981612022783454e-10
