tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31,tg_32,tg_33
2.32872e-03,1.73854e-03,1.20270e-03,7.75805e-04,5.33812e-04,3.86212e-04,2.57931e-04,1.61041e-04,1.08012e-04,7.70359e-05,5.00713e-05,3.18616e-05,2.21962e-05,1.64516e-05,1.13428e-05,7.56011e-06,5.37045e-06,3.97989e-06,2.73969e-06,1.73070e-06,1.17222e-06,8.31389e-07,5.39526e-07,3.21942e-07,2.07372e-07,1.41688e-07,8.57101e-08,4.94334e-08,3.10719e-08,2.07872e-08,1.24136e-08,7.01344e-09,4.35246e-09,2.88820e-09
3.04433e-03,2.31100e-03,1.61061e-03,1.03594e-03,7.06793e-04,5.06395e-04,3.33580e-04,2.04757e-04,1.35246e-04,9.51115e-05,6.05801e-05,3.76168e-05,2.56584e-05,1.86933e-05,1.26450e-05,8.29228e-06,5.83259e-06,4.29473e-06,2.93916e-06,1.84702e-06,1.24675e-06,8.82013e-07,5.70827e-07,3.39675e-07,2.18337e-07,1.48931e-07,8.99076e-08,5.17445e-08,3.24680e-08,2.16886e-08,1.29271e-08,7.28787e-09,4.51455e-09,2.99102e-09
2.83177e-03,2.20126e-03,1.59963e-03,1.08875e-03,7.78584e-04,5.78727e-04,3.96422e-04,2.52092e-04,1.70104e-04,1.21028e-04,7.75332e-05,4.78682e-05,3.22257e-05,2.31210e-05,1.53061e-05,9.81688e-06,6.80047e-06,4.95518e-06,3.35803e-06,2.09200e-06,1.40431e-06,9.89489e-07,6.37642e-07,3.77759e-07,2.41995e-07,1.64611e-07,9.90237e-08,5.67751e-08,3.55100e-08,2.36532e-08,1.40456e-08,7.88475e-09,4.86646e-09,3.21381e-09
2.88021e-03,2.14444e-03,1.47121e-03,9.50871e-04,6.67201e-04,4.97622e-04,3.49449e-04,2.32862e-04,1.64463e-04,1.21611e-04,8.15056e-05,5.23397e-05,3.60773e-05,2.62387e-05,1.75363e-05,1.12864e-05,7.81683e-06,5.68919e-06,3.84875e-06,2.39301e-06,1.60404e-06,1.12887e-06,7.26369e-07,4.29497e-07,2.74634e-07,1.86481e-07,1.11884e-07,6.39369e-08,3.98643e-08,2.64748e-08,1.56563e-08,8.74538e-09,5.37382e-09,3.53477e-09
3.06770e-03,2.34270e-03,1.64759e-03,1.06973e-03,7.32039e-04,5.22817e-04,3.40136e-04,2.03574e-04,1.30774e-04,8.96118e-05,5.52110e-05,3.32048e-05,2.21636e-05,1.59092e-05,1.06058e-05,6.87063e-06,4.79324e-06,3.50820e-06,2.38591e-06,1.49037e-06,1.00227e-06,7.07416e-07,4.57069e-07,2.71892e-07,1.74945e-07,1.19543e-07,7.24189e-08,4.18964e-08,2.64306e-08,1.77500e-08,1.06605e-08,6.06620e-09,3.78916e-09,2.52924e-09
3.04433e-03,2.31101e-03,1.61070e-03,1.03641e-03,7.07978e-04,5.08536e-04,3.37141e-04,2.09729e-04,1.40757e-04,1.00468e-04,6.50027e-05,4.04835e-05,2.71874e-05,1.92515e-05,1.23252e-05,7.47859e-06,4.90084e-06,3.39646e-06,2.16927e-06,1.26833e-06,8.14632e-07,5.56050e-07,3.47492e-07,2.00784e-07,1.27009e-07,8.59233e-08,5.16767e-08,2.98490e-08,1.88848e-08,1.27466e-08,7.72771e-09,4.45643e-09,2.81982e-09,1.90503e-09
3.04433e-03,2.31100e-03,1.61061e-03,1.03594e-03,7.06793e-04,5.06395e-04,3.33581e-04,2.04760e-04,1.35256e-04,9.51301e-05,6.06141e-05,3.76661e-05,2.57137e-05,1.87469e-05,1.26888e-05,8.31978e-06,5.84666e-06,4.29938e-06,2.93587e-06,1.83904e-06,1.23774e-06,8.73371e-07,5.63447e-07,3.34107e-07,2.14182e-07,1.45794e-07,8.78080e-08,5.04336e-08,3.16050e-08,2.10952e-08,1.25656e-08,7.08268e-09,4.38829e-09,2.90850e-09
3.04433e-03,2.31100e-03,1.61061e-03,1.03594e-03,7.06793e-04,5.06395e-04,3.33580e-04,2.04757e-04,1.35246e-04,9.51108e-05,6.05771e-05,3.76071e-05,2.56386e-05,1.86622e-05,1.25996e-05,8.23710e-06,5.77777e-06,4.24639e-06,2.90376e-06,1.82900e-06,1.24086e-06,8.83670e-07,5.78027e-07,3.49154e-07,2.27533e-07,1.57084e-07,9.63009e-08,5.62920e-08,3.57342e-08,2.40819e-08,1.44881e-08,8.23104e-09,5.12087e-09,3.40042e-09
3.04433e-03,2.31100e-03,1.61060e-03,1.03594e-03,7.06793e-04,5.06394e-04,3.33580e-04,2.04757e-04,1.35246e-04,9.51113e-05,6.05799e-05,3.76159e-05,2.56555e-05,1.86863e-05,1.26284e-05,8.25933e-06,5.78452e-06,4.23571e-06,2.87252e-06,1.78147e-06,1.18928e-06,8.34698e-07,5.37436e-07,3.21350e-07,2.10021e-07,1.46922e-07,9.32420e-08,5.79021e-08,3.93426e-08,2.84268e-08,1.89236e-08,1.21626e-08,8.43731e-09,6.16783e-09
1.98511e-03,1.45545e-03,9.97624e-04,6.50126e-04,4.60921e-04,3.48341e-04,2.51215e-04,1.75631e-04,1.30698e-04,1.01445e-04,7.22811e-05,4.90304e-05,3.48220e-05,2.56173e-05,1.70246e-05,1.06386e-05,7.09240e-06,4.96861e-06,3.20446e-06,1.89302e-06,1.22905e-06,8.50238e-07,5.44485e-07,3.28375e-07,2.18152e-07,1.55358e-07,1.01086e-07,6.43468e-08,4.44546e-08,3.24682e-08,2.18066e-08,1.40769e-08,9.76752e-09,7.12867e-09
