,sensitivity,confidence
$\mathrm{thk}_{1}$,2.095492494851748,1.3725309205890868
$\mathrm{thk}_{2}$,3.1768462020489405,1.8529211151915996
$\mathrm{thk}_{3}$,2.3422471709228234,1.3702014026704636
$\mathrm{thk}_{4}$,1.9765150815654917,1.2047831087839416
$\mathrm{thk}_{5}$,2.2332211657206194,1.3344478317583865
$\mathrm{thk}_{6}$,2.5557675264529154,1.5649192240621324
$\mathrm{thk}_{7}$,2.426834618342568,1.4517540351343305
$\mathrm{thk}_{8}$,1.9981863879010295,1.2840358043382705
$\mathrm{thk}_{9}$,1.5224272503428133,0.8850553507364814
$\rho_{1}$,2.4637151717773227,1.5255935305751325
$\rho_{2}$,3.5074823272653015,2.063006521101657
$\rho_{3}$,2.269327383939843,1.4629967614142072
$\rho_{4}$,2.956198234349501,1.963890217745406
$\rho_{5}$,1.9643566222129452,1.2353543275578271
$\rho_{6}$,1.6077438075234505,1.0434248150689178
$\rho_{7}$,2.057305535443289,1.2138626129500558
$\rho_{8}$,2.9593693365801856,1.759919936973578
$\rho_{9}$,2.9339414644991044,1.941066961057051
$\rho_{10}$,2.0725027273143013,1.2148337543363814
