,thk_00,thk_01,thk_02,thk_03,thk_04,rho0_00,rho0_01,rho0_02,rho0_03,rho0_04,rho0_05,max_pha_00,max_pha_01,max_pha_02,max_pha_03,max_pha_04,max_pha_05,tau_phi_00,tau_phi_01,tau_phi_02,tau_phi_03,tau_phi_04,tau_phi_05,c_00,c_01,c_02,c_03,c_04,c_05
dB/dt tg01,6.866782919200148e-06,1.9150095131860718e-07,7.474941629991425e-08,1.339011932312671e-07,-2.343831516965643e-06,-7.391560912849118e-08,8.465372145491462e-11,-3.4020166876637894e-10,-1.0799460905647986e-09,-5.365166793481459e-09,-3.2512929067834307e-07,0.00018984066737048563,-1.9991824890626358e-05,-1.7451735153613416e-05,-1.4048134851583093e-05,-0.00022311679243657183,0.006217477090386725,0.13762690593488444,0.14831297365424,0.13352715141162702,0.1280729004901979,0.7741467262777043,0.6984480720297712,-4.328578347257411e-05,2.243485582940557e-05,2.4441876609395616e-05,2.6631184498533255e-05,0.00027674209697737596,-0.0024121299495230802
dB/dt tg02,5.70521424086903e-06,1.3672950451653715e-06,1.0662219030949054e-06,7.563851204740577e-07,-4.470490284801217e-06,-4.005285229296201e-08,5.510118588120067e-10,4.0071656739462577e-10,1.6497777065319532e-10,5.517443566010099e-09,-2.3366770004897592e-07,7.751197808626488e-05,-2.101691228284275e-05,-2.1586987846348195e-05,-2.4151086973473196e-05,-0.00031607172310993723,0.004450572191518447,0.0725113441024734,0.11165910015257657,0.10131012205689424,0.09741178493827478,0.532021510256466,0.5027875124674068,-2.3412554333770552e-05,1.8480455481736742e-05,2.2133045486475883e-05,2.7950523344158633e-05,0.00029161610362016754,-0.0017350730958577332
dB/dt tg03,4.211703284975149e-06,1.5566497164844728e-06,1.2066791688335042e-06,7.640932125560503e-07,-4.786039181835332e-06,-1.8624394163149268e-08,7.087138170180616e-10,7.127839468983198e-10,7.526464022054841e-10,9.603825094837634e-09,-1.52379245136182e-07,1.5459527761206064e-05,-1.8343508738916642e-05,-2.0232022822167528e-05,-2.502571773892195e-05,-0.00028902760198783173,0.00288858437852321,0.03195477727112766,0.0739727478298997,0.06771065419754992,0.06505640886624132,0.2974785473873815,0.32846477356404347,-1.0845219837609902e-05,1.2957367789693943e-05,1.6718539680674825e-05,2.3055894254711814e-05,0.00023318132144889019,-0.0011325856601158916
dB/dt tg04,2.746976954840151e-06,1.1659717237320035e-06,8.644316335238583e-07,4.630200433488078e-07,-3.833792287924558e-06,-7.7632168978152e-09,6.353129037589615e-10,6.937905252041308e-10,8.215341477934101e-10,8.717978381937443e-09,-9.045511463478241e-08,-7.585822385512313e-06,-1.3491556440372817e-05,-1.536320975478746e-05,-1.968737414755458e-05,-0.00019589616199648625,0.0017053542674589724,0.012030917386973195,0.04081263978238253,0.03790723719913537,0.036334245334541736,0.11593148662357523,0.19534558266888494,-4.485166109424907e-06,7.4100695878472476e-06,1.028139625325116e-05,1.5132946865900914e-05,0.00014349776523353534,-0.0006730449813716916
dB/dt tg05,1.8592656308230018e-06,8.254158713234868e-07,5.845230280498192e-07,2.602164516782591e-07,-2.847908234410913e-06,-3.5168462628055764e-09,5.153210541399669e-10,5.795602874394081e-10,7.091265215836271e-10,6.788276808014365e-09,-5.794981342474536e-08,-1.2817244794273078e-05,-9.702093116274651e-06,-1.1200786635061027e-05,-1.4514461866040583e-05,-0.00012634893473367317,0.0010872958351356076,0.00455219802762222,0.021421913834341912,0.020435593766939802,0.019656764551415302,0.030584567416781467,0.12533193763495187,-2.004819848113175e-06,4.138950070980287e-06,6.184304690333005e-06,9.616676030424981e-06,8.571415000589971e-05,-0.0004315665522319125
dB/dt tg06,1.303538599940132e-06,5.83216177216124e-07,3.9370948563646837e-07,1.386985753917152e-07,-2.086598447904754e-06,-1.6930817756598298e-09,4.073595140890071e-10,4.6483749693086576e-10,5.76294276654382e-10,5.093095893719429e-09,-3.947043562927659e-08,-1.2874705746849039e-05,-6.987375480284163e-06,-8.125069794831128e-06,-1.056356156428101e-05,-8.122678467835133e-05,0.0007373952879142458,0.0015269466309760385,0.010022546806224962,0.010123979490781088,0.009901051165059266,-0.008327346521029661,0.08546485418347746,-9.4374095225127e-07,2.2453376593787735e-06,3.67433109628543e-06,6.058017411012148e-06,5.101432584038526e-05,-0.0002941622576010444
dB/dt tg07,8.182967291675934e-07,3.5688239661649696e-07,2.2264592553202588e-07,4.336580739561408e-08,-1.3436538323049805e-06,-6.678301046176136e-10,2.8752641551869647e-10,3.319647212683825e-10,4.148323689103293e-10,3.3327282631402986e-09,-2.4537152955194616e-08,-1.0620466241946052e-05,-4.399968144458252e-06,-5.147274891090407e-06,-6.6930109445437215e-06,-4.3727639342505265e-05,0.00045583100936104397,2.570219754577192e-05,0.0012790012630272708,0.002139021725223214,0.0024045071204698443,-0.028127595936049694,0.05319747922922781,-3.5208169117129834e-07,8.273706554293206e-07,1.6654706451711008e-06,3.06367289119455e-06,2.4094977659329727e-05,-0.00018302582855822164
dB/dt tg08,4.6237921850815535e-07,1.8953258495725224e-07,1.0406388546017943e-07,-8.585450003652275e-09,-7.586670617518395e-07,-2.382195182028867e-10,1.7991890430048282e-10,2.0991014560860685e-10,2.635090576329283e-10,1.8959427463960407e-09,-1.4262335442196094e-08,-7.515080074774015e-06,-2.386103130975792e-06,-2.8077808170965857e-06,-3.645215843348198e-06,-1.9487190163174864e-05,0.00026312526163501873,-0.0004056423483168608,-0.003495749176979655,-0.0023563625511280753,-0.0018063760350081489,-0.0299242718862408,0.03095590175871232,-1.095119910048374e-07,7.4205199615966e-08,4.6325869252635194e-07,1.1313237196232371e-06,8.46397765762067e-06,-0.00010647694192773954
dB/dt tg09,2.803210169108428e-07,1.0942863083668967e-07,5.2839531407241524e-08,-2.1024146256031187e-08,-4.540706056436023e-07,-9.361461150709635e-11,1.1605223905684801e-10,1.3675128337823696e-10,1.7250444699236395e-10,1.1390817156749654e-09,-9.132263580017115e-09,-5.447117235636024e-06,-1.345243750482388e-06,-1.5944111479017037e-06,-2.0740871382187076e-06,-9.552181418545338e-06,0.00016743799499382801,-0.00044888716947138574,-0.004642918694919928,-0.003586438563785714,-0.0029912512661599256,-0.02412373471499503,0.019833427049714657,-3.1106841240525025e-08,-1.139899778484136e-07,5.7903569129341155e-08,3.81191106882522e-07,3.155356648353992e-06,-6.821887159160712e-05
dB/dt tg10,1.8085842770720912e-07,6.819360422076033e-08,2.9187760532879064e-08,-2.1413536843882302e-08,-2.883511507931044e-07,-4.248277395624686e-11,7.75765689685092e-11,9.232816381953318e-11,1.1713433660625976e-10,7.241250790749393e-10,-6.318208714971501e-09,-4.083139669402148e-06,-7.925840818485801e-07,-9.471803814199725e-07,-1.2385344752652542e-06,-5.193946715428716e-06,0.00011521542438354363,-0.000398885642024228,-0.004476819828301423,-0.0036025252349107515,-0.003061544226896312,-0.018141073934380456,0.0137251495788128,-5.592196494522613e-09,-1.21753043561533e-07,-5.439824593190427e-08,1.0213589477298045e-07,1.376055264623557e-06,-4.72160429730938e-05
dB/dt tg11,1.0058369874830854e-07,3.6573291575489195e-08,1.3125594788667145e-08,-1.7188946184013165e-08,-1.5777230094245615e-07,-1.7086470432746982e-11,4.4376646813235345e-11,5.364268042377596e-11,6.8779313264901e-11,3.9525698861953836e-10,-3.958534788587008e-09,-2.7760785080674246e-06,-3.8029733576959905e-07,-4.6054100855943257e-07,-6.094343587156327e-07,-2.3603185911512562e-06,7.164997902959563e-05,-0.00030648593873470445,-0.003546969291032308,-0.0029522691711101456,-0.0025475501664164375,-0.01155155570454508,0.008599159328859322,4.639736068498854e-09,-5.9286169799779596e-08,-5.64925698147863e-08,-9.63859791449762e-09,5.966260620533759e-07,-2.959351105144613e-05
dB/dt tg12,5.231203696348106e-08,1.876037152058141e-08,5.6860325695521674e-09,-1.1282610661035421e-08,-8.155266725954355e-08,-8.332997176801967e-12,2.3184029546472975e-11,2.8605348098716644e-11,3.727857915952032e-11,2.0289322953129545e-10,-2.4173763357365953e-09,-1.8172463231465947e-06,-1.641941798974086e-07,-2.0210477679258522e-07,-2.730485585135554e-07,-1.0803391867616424e-06,4.339099383106701e-05,-0.00021689282398226076,-0.0023524656047029372,-0.002020103167434283,-0.0017718979151413684,-0.006494178864575907,0.005249198099019941,5.898574279087574e-09,1.1432198379589637e-08,-5.317397268902307e-09,-1.934458023945298e-09,4.6098739147778107e-07,-1.8076511591548067e-05
