X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
60.1,3010.211,3.731,300.0,0.0,1e-06,0.081
60.1,3010.211,2.748,3279.006,0.5,3.9e-05,0.829
60.1,3010.211,2.737,3135.64,0.6,4.7e-05,0.818
60.1,3010.211,2.749,2957.74,0.7,5.8e-05,0.801
60.1,3010.211,5.0,2120.207,0.9,7.6e-05,0.779
60.1,3010.211,0.0,332.49,0.0,1e-06,0.024
