X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
60.1,3010.211,3.756,300.0,0.0,1e-06,0.081
60.1,3010.211,2.767,3281.471,0.5,3.8e-05,0.836
60.1,3010.211,2.744,3144.077,0.6,4.7e-05,0.82
60.1,3010.211,2.747,2972.727,0.7,5.9e-05,0.801
60.1,3010.211,5.0,2116.035,0.9,7.5e-05,0.782
60.1,3010.211,0.0,332.207,0.0,1e-06,0.024
