X,Y,Z,depth(m),rho(Ohmm)
42.000,42.000,42.000,3.895,53.285
42.000,42.000,42.000,5.412,53.285
42.000,42.000,42.000,7.520,53.285
42.000,42.000,42.000,10.449,53.285
42.000,42.000,42.000,14.519,53.285
42.000,42.000,42.000,20.174,53.285
42.000,42.000,42.000,28.031,53.285
42.000,42.000,42.000,0.000,53.285
