X,Y,Z,depth(m),rho(Ohmm)
42.000,42.000,42.000,3.678,33.990
42.000,42.000,42.000,5.302,71.211
42.000,42.000,42.000,7.370,67.414
42.000,42.000,42.000,10.363,38.145
42.000,42.000,42.000,14.286,65.108
42.000,42.000,42.000,20.180,81.521
42.000,42.000,42.000,27.994,57.833
42.000,42.000,42.000,0.000,54.022
