,thk_00,thk_01,thk_02,thk_03,thk_04,thk_05,thk_06,res_00,res_01,res_02,res_03,res_04,res_05,res_06,res_07
dB/dt tg01,-0.00021560879273842636,1.3131435614107064e-05,2.285618023822979e-05,-8.347308970025429e-07,-3.662040800929704e-11,4.382273805473671e-11,1.1137432300163125e-13,8.072942773824567e-05,2.0372018542669754e-05,1.4346175142221889e-05,6.44873128537611e-06,1.2238333206911432e-07,-1.1393798584906177e-10,1.3102516242608662e-11,9.028178329033154e-12
dB/dt tg02,-6.892123286192785e-05,1.2588953832068595e-05,2.3086892825776817e-05,-1.8494290702813155e-06,-7.90465470004675e-09,3.153338980955185e-11,1.8132286847517893e-13,-3.661529725907999e-05,1.7808851532522618e-05,1.3973809843961983e-05,8.262587452089098e-06,3.170210585714169e-07,1.175828053026492e-09,9.652580400576238e-12,8.979874102440499e-12
dB/dt tg03,0.00025133135884240965,1.933085585021262e-05,1.9682942571807432e-05,-2.8743610430593505e-06,-3.271041130965524e-08,-1.0854151640003166e-10,1.09561836936136e-12,-0.00010444628749581139,-1.4731698413490637e-05,6.142322183946208e-06,9.114671174505926e-06,5.573404049381807e-07,6.106363305226596e-09,-2.8513552623463685e-11,8.408482941291278e-12
dB/dt tg04,0.00025995977879738876,1.464215890811425e-05,8.96343189765605e-06,-3.684756728589946e-06,-7.606038482402397e-08,-1.9133557854094805e-10,2.2725219859969393e-12,-8.514451268296171e-05,-2.2082768409888913e-05,-1.776422777296189e-06,7.613535912660345e-06,8.092129909247416e-07,1.588477017200117e-08,-4.960961105934005e-11,7.674929104076574e-12
dB/dt tg05,0.0001658252189709201,2.7115396459566656e-06,-3.5982724298687176e-06,-3.847822761081897e-06,-1.596324242228832e-07,4.495633997310222e-10,2.0249794489901827e-12,-5.06009402030482e-05,-1.7026559594804034e-05,-5.591416689525875e-06,3.882872911487164e-06,1.0263624060122418e-06,3.877652240540887e-08,1.347882861444475e-10,7.831170108485216e-12
dB/dt tg06,8.425442203566086e-05,-4.460683073433005e-06,-8.885041433115523e-06,-2.725181828764351e-06,-2.568100882090469e-07,4.4680517705255876e-09,-5.844040847037716e-12,-2.588138667053952e-05,-1.0107116732987068e-05,-5.220033986544471e-06,9.44569158918295e-08,9.688123297372883e-07,7.838538772701875e-08,1.4340558527472346e-09,1.3763393469386964e-11
dB/dt tg07,4.611822051951324e-05,-5.446017767007281e-06,-8.375028381085788e-06,-1.4052681061367175e-06,-2.8673342286017376e-07,1.1734331844915837e-08,-9.98131490594317e-12,-1.4639352705157166e-05,-6.157707057363851e-06,-3.960548470272515e-06,-1.5223755049808863e-06,6.827507660655142e-07,1.1050562429356342e-07,4.437950888694618e-09,2.229835466354215e-11
dB/dt tg08,2.798522337093415e-05,-4.482257111410271e-06,-6.500315287672152e-06,-4.0027030712016965e-07,-2.642303981661311e-07,1.960195039879478e-08,1.2567830392434392e-11,-9.067924315751163e-06,-4.009233914417664e-06,-2.945702614506307e-06,-1.984159346082269e-06,3.822514116885698e-07,1.2498347828908958e-07,9.043932403013442e-09,2.409121967956937e-11
dB/dt tg09,1.5520443919959176e-05,-2.9473211083470896e-06,-4.201020037668391e-06,3.9061907780048306e-07,-1.824119680320651e-07,2.9078888638474387e-08,1.1325269904365062e-10,-5.090562583770516e-06,-2.357694059155559e-06,-1.9559065785863993e-06,-1.9459618013986814e-06,8.30843210537614e-08,1.1613937420285797e-07,1.7281238017960352e-08,5.032520592583132e-11
dB/dt tg10,8.081482444346347e-06,-1.6346554672437061e-06,-2.3445608005296544e-06,7.273562694780778e-07,-5.590424557959847e-08,3.6039717319106835e-08,4.159468650038566e-10,-2.6489876431541385e-06,-1.276265832930473e-06,-1.1753273818109285e-06,-1.5416166913372172e-06,-1.1764582265188979e-07,7.861439887903504e-08,2.699958795644019e-08,3.774012755510242e-10
dB/dt tg11,4.9014656662243165e-06,-9.154200175820504e-07,-1.3528821062927925e-06,7.405355856201839e-07,2.6381963701435993e-08,3.524492291546724e-08,9.004462089866448e-10,-1.5793783777531289e-06,-7.72470846842937e-07,-7.497176339128425e-07,-1.1439010829368456e-06,-1.8909616269344104e-07,4.287626310124374e-08,3.1007305116956935e-08,1.2008695665536214e-09
dB/dt tg12,3.211360963742975e-06,-5.226428323817435e-07,-8.096212771427514e-07,6.671270677596178e-07,6.156531152865943e-08,2.92856338341284e-08,1.4507360709896854e-09,-1.010935884272972e-06,-4.999545725404175e-07,-5.046843250051184e-07,-8.566469364851312e-07,-1.995909744660396e-07,1.759295174124621e-08,3.0032452928417606e-08,2.3360663368248875e-09
dB/dt tg13,1.9201062240348988e-06,-2.4015288643251247e-07,-4.116507021073562e-07,5.296442744068701e-07,7.182271240778756e-08,1.860589406571923e-08,2.0600024638512852e-09,-5.823612749936217e-07,-2.9300216970090814e-07,-3.0928340078664206e-07,-5.799008554750254e-07,-1.7471746201595519e-07,-5.004832022546556e-09,2.479244081832054e-08,3.916563655822878e-09
dB/dt tg14,1.0796489629557237e-06,-8.251479543561662e-08,-1.7838670355120198e-07,3.6749773311030043e-07,6.169796101793899e-08,7.12984003487871e-09,2.300349774987535e-09,-3.117021918768874e-07,-1.6019051752791932e-07,-1.7579597809370884e-07,-3.541860391416729e-07,-1.2942630732386086e-07,-1.8926498802101244e-08,1.6072647872258615e-08,5.401085696135725e-09
dB/dt tg15,6.567846849906297e-07,-2.3636535851100955e-08,-8.130092376092705e-08,2.576708466482826e-07,4.813773715827173e-08,6.277988629153658e-10,2.025747202814324e-09,-1.8183590334828378e-07,-9.487488877283488e-08,-1.0720767714053437e-07,-2.2834137839622427e-07,-9.548408422582008e-08,-2.1863022094460134e-08,8.472786486663543e-09,6.05074297766284e-09
dB/dt tg16,4.318794083709685e-07,-4.517445692962881e-09,-4.18537233679156e-08,1.8432733997726846e-07,3.612658082699621e-08,-2.861411369188407e-09,1.5900197495252382e-09,-1.1648766458567047e-07,-6.109116618947781e-08,-7.022435629147223e-08,-1.5575936535659752e-07,-7.13480693028517e-08,-2.049201854274539e-08,2.807580948330991e-09,6.112616889184008e-09
dB/dt tg17,2.5239795778103204e-07,1.8484447996210485e-09,-1.943915403767088e-08,1.1454471126610118e-07,2.2833719396489423e-08,-5.174189626796126e-09,9.479817921895272e-10,-6.696860975144674e-08,-3.495957170356269e-08,-4.0572021174184674e-08,-9.366591613211905e-08,-4.698540383025122e-08,-1.663307319728469e-08,-2.333183879406581e-09,5.477252078395465e-09
dB/dt tg18,1.372304209410541e-07,3.579639552050422e-09,-7.754295724308738e-09,6.617734923871159e-08,1.2997743376980167e-08,-5.6395502915336056e-09,3.278609706320452e-10,-3.575106662977865e-08,-1.8631874431496027e-08,-2.1889721017551985e-08,-5.262549373786147e-08,-2.8859203205861897e-08,-1.2319403064585186e-08,-4.758875649019792e-09,4.052492562267369e-09
dB/dt tg19,8.251568143074919e-08,3.3039327366759768e-09,-3.512226165502073e-09,4.141897579890348e-08,7.714447290530335e-09,-5.070810996749364e-09,-6.633800221231307e-11,-2.1155483497104216e-08,-1.1117011732637955e-08,-1.3238761569612227e-08,-3.2536248142729995e-08,-1.8814440799422615e-08,-9.082627076473162e-09,-5.100265439476696e-09,2.668246346902845e-09
dB/dt tg20,5.343090654049917e-08,2.5915745106122936e-09,-1.879742516050719e-09,2.7446729337874346e-08,4.714895801028336e-09,-4.31690065294196e-09,-2.8036511274608197e-10,-1.354132397204817e-08,-7.2080216112162186e-09,-8.688707957767897e-09,-2.154777090575544e-08,-1.2842196530798057e-08,-6.76763757771126e-09,-4.7643752128791105e-09,1.601769135803635e-09
dB/dt tg21,2.993690963450897e-08,1.6484338058505817e-09,-8.946967414425528e-10,1.577088446886592e-08,2.341628699306655e-09,-3.3352571728638746e-09,-3.8795592355568657e-10,-7.51598072405719e-09,-4.052850779451128e-09,-4.952572364396898e-09,-1.2456837217657922e-08,-7.739345871000596e-09,-4.520809806862904e-09,-3.994503896597754e-09,5.740873516128424e-10
dB/dt tg22,1.5951049175887415e-08,7.671077881572897e-10,-5.90131018985205e-10,8.47588234682414e-09,1.0157673764459865e-09,-2.3459487118397667e-09,-3.6982709095815796e-10,-4.041294573485577e-09,-2.1702980039664717e-09,-2.6621085180487546e-09,-6.830229760624847e-09,-4.431124374457489e-09,-2.8015745054660898e-09,-2.9790326066384067e-09,-1.6611363295592862e-10
dB/dt tg23,9.57213290781578e-09,2.9339955552295384e-10,-5.135866675594907e-10,5.0336330031817455e-09,4.738404657606212e-10,-1.6754265640219063e-09,-3.114201901126417e-10,-2.4812161861613046e-09,-1.3099279074076501e-09,-1.5967949573469325e-09,-4.168338912398156e-09,-2.7847487868248537e-09,-1.8336299371779918e-09,-2.2027477236674916e-09,-5.131729050412421e-10
dB/dt tg24,6.0521956129719064e-09,9.283153573025264e-11,-4.1657966102644993e-10,3.1558259133082903e-09,2.0929541272337493e-10,-1.2322722859548827e-09,-2.574650398103269e-10,-1.5985982412541159e-09,-8.349265867655793e-10,-1.014570549949637e-09,-2.6848043462493594e-09,-1.8383378052950455e-09,-1.257637165858029e-09,-1.6603230749281216e-09,-6.535013064184748e-10
dB/dt tg25,3.473405585598798e-09,1.3127180965159901e-11,-2.8434450814062155e-10,1.8064971776361208e-09,5.3330910104437214e-11,-8.31729333988428e-10,-1.9417618866369947e-10,-9.282356433360382e-10,-4.862020336430929e-10,-5.935749167109216e-10,-1.5832165317477914e-09,-1.107437698642032e-09,-7.941853001615629e-10,-1.143818476839686e-09,-6.86779481610539e-10
