time(s), signal_pred(V/m2), signal_obs(V/m2), err_obs(V/m2), err_scl(V/m2),rhoa_pred(Ohmm), rhoa_obs(Ohmm)
4.060000e-06,1.563626019e-02,1.574269254e-02,1.930927075e-04,3.935673136e-04,4.617042077e+01,nan
5.070000e-06,1.359078003e-02,1.400268572e-02,-4.856968908e-05,3.500671431e-04,3.500684404e+01,nan
6.070000e-06,8.578844213e-03,8.942577411e-03,1.424929114e-04,2.235644353e-04,3.524212940e+01,nan
7.080000e-06,5.263058766e-03,5.431875799e-03,1.992367883e-04,1.992367883e-04,3.776721018e+01,nan
8.520000e-06,2.942705560e-03,2.828442095e-03,-1.665474910e-05,7.071105237e-05,4.087257032e+01,nan
1.053000e-05,1.584971839e-03,1.516629768e-03,-8.929770109e-06,3.791574419e-05,4.337779733e+01,nan
1.255000e-05,9.777700204e-04,9.889879802e-04,3.756273156e-05,3.756273156e-05,4.467848722e+01,nan
1.456000e-05,6.579894461e-04,6.598256093e-04,1.242109446e-05,1.649564023e-05,4.542004611e+01,nan
1.744000e-05,4.099734117e-04,4.037209752e-04,-4.794738544e-06,1.009302438e-05,4.608729497e+01,nan
2.146000e-05,2.383350048e-04,2.428933860e-04,3.250569677e-06,6.072334649e-06,4.682607212e+01,nan
2.549000e-05,1.524793800e-04,1.517627552e-04,-1.778894266e-06,3.794068881e-06,4.734113619e+01,nan
2.950000e-05,1.036567794e-04,1.030998142e-04,-1.214604790e-06,2.577495356e-06,4.799846108e+01,nan
3.528000e-05,6.446225417e-05,6.511748678e-05,3.915550331e-07,1.627937170e-06,4.889275708e+01,nan
4.330000e-05,3.749389680e-05,3.569516249e-05,-1.793341689e-06,1.793341689e-06,4.987416073e+01,nan
5.140000e-05,2.357793142e-05,2.248057997e-05,-1.013297706e-06,1.013297706e-06,5.105678715e+01,nan
5.941000e-05,1.601011908e-05,1.569932150e-05,-2.238918359e-07,3.924830375e-07,5.191587588e+01,nan
7.160000e-05,9.807495219e-06,9.500479180e-06,-2.469128324e-07,2.469128324e-07,5.273537521e+01,nan
8.760000e-05,5.706549857e-06,5.716770060e-06,4.459308683e-08,1.429192515e-07,5.406379902e+01,nan
1.036000e-04,3.670364796e-06,3.568744828e-06,-8.298732009e-08,8.921862069e-08,5.486011766e+01,nan
1.196000e-04,2.533767028e-06,2.435149626e-06,-8.927249811e-08,8.927249811e-08,5.528399189e+01,nan
1.436000e-04,1.565491570e-06,1.620388178e-06,5.741577920e-08,5.741577920e-08,5.618726926e+01,nan
1.756000e-04,9.330345739e-07,9.283055343e-07,-5.292183602e-09,2.320763836e-08,5.673570690e+01,nan
2.076000e-04,6.127969827e-07,6.151436526e-07,1.043479875e-09,1.537859132e-08,5.680751870e+01,nan
2.396000e-04,4.241386952e-07,4.102190829e-07,-1.529887322e-08,1.529887322e-08,5.717144828e+01,nan
2.850000e-04,2.729287243e-07,2.702370009e-07,-3.783742241e-09,6.755925023e-09,5.744094163e+01,nan
3.500000e-04,1.638505292e-07,1.649514119e-07,4.672175791e-10,4.123785299e-09,5.731265242e+01,nan
4.140000e-04,1.069782068e-07,1.041478534e-07,-3.204135606e-09,3.204135606e-09,5.756144705e+01,nan
4.780000e-04,7.454217589e-08,7.550737857e-08,7.398203879e-10,1.887684464e-09,5.763433362e+01,nan
5.700000e-04,4.839606722e-08,4.771595262e-08,-7.884036949e-10,1.192898816e-09,5.732327667e+01,nan
6.990000e-04,2.896009212e-08,2.874781739e-08,-2.405626065e-10,7.186954348e-10,5.745580255e+01,nan
8.280000e-04,1.891649587e-08,1.856561290e-08,-3.446311331e-10,4.641403225e-10,5.755081255e+01,nan
9.560000e-04,1.327198524e-08,1.405041868e-08,7.988668284e-10,7.988668284e-10,5.735994598e+01,nan
