,sensitivity,confidence
$\mathrm{thk}_{1}$,6.109305378210433,3.9273359654027384
$\mathrm{thk}_{2}$,7.2753878117084625,4.574593837803818
$\mathrm{thk}_{3}$,2.563335916573429,1.5298681821524838
$\mathrm{thk}_{4}$,2.067131441526128,1.2758217514690249
$\mathrm{thk}_{5}$,1.3844942181808382,0.8843807000374485
$\mathrm{thk}_{6}$,1.2515785532390304,0.7916793678947823
$\mathrm{thk}_{7}$,1.5654623204390674,0.9329042492741727
$\mathrm{thk}_{8}$,0.9985665295289953,0.6141312318700811
$\mathrm{thk}_{9}$,1.8763434005768302,1.0879612048577991
$\rho_{1}$,10.417718661641377,6.25966902041866
$\rho_{2}$,11.836230487865333,7.876275921009764
$\rho_{3}$,8.615695175495052,5.448512687408042
$\rho_{4}$,2.2933376965660064,1.4564724212699198
$\rho_{5}$,3.072398228973865,1.8356051744622524
$\rho_{6}$,2.0047120307591606,1.2378710271726665
$\rho_{7}$,1.3799285787481228,0.8693594918143889
$\rho_{8}$,2.061979214023806,1.3344011561545792
$\rho_{9}$,1.9522104696682028,1.245369742321934
$\rho_{10}$,1.8307527002225312,1.1008170390554093
