tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13,tg_14,tg_15,tg_16,tg_17,tg_18,tg_19,tg_20,tg_21,tg_22,tg_23,tg_24,tg_25,tg_26,tg_27,tg_28,tg_29,tg_30,tg_31,tg_32,tg_33
1.55552e-03,1.21402e-03,9.01938e-04,6.37021e-04,4.72617e-04,3.63663e-04,2.61072e-04,1.76426e-04,1.25945e-04,9.41564e-05,6.41400e-05,4.18282e-05,2.90128e-05,2.10655e-05,1.39072e-05,8.74016e-06,5.91130e-06,4.21693e-06,2.79400e-06,1.70831e-06,1.13796e-06,8.00888e-07,5.18834e-07,3.11854e-07,2.03450e-07,1.41123e-07,8.75174e-08,5.21458e-08,3.38086e-08,2.32840e-08,1.44639e-08,8.55440e-09,5.52113e-09,3.79090e-09
1.42672e-03,1.09030e-03,7.98035e-04,5.59536e-04,4.14770e-04,3.19643e-04,2.30300e-04,1.56493e-04,1.12321e-04,8.43944e-05,5.78936e-05,3.80566e-05,2.65736e-05,1.94029e-05,1.28969e-05,8.16191e-06,5.54999e-06,3.97642e-06,2.64769e-06,1.62773e-06,1.08882e-06,7.68916e-07,5.00065e-07,3.01825e-07,1.97532e-07,1.37359e-07,8.54343e-08,5.10489e-08,3.31670e-08,2.28797e-08,1.42393e-08,8.43681e-09,5.45245e-09,3.74759e-09
1.42012e-03,1.06065e-03,7.61697e-04,5.27607e-04,3.89281e-04,2.99538e-04,2.15802e-04,1.46842e-04,1.05597e-04,7.95099e-05,5.47218e-05,3.61180e-05,2.53102e-05,1.85370e-05,1.23677e-05,7.85726e-06,5.35880e-06,3.84872e-06,2.56974e-06,1.58468e-06,1.06255e-06,7.51827e-07,4.90052e-07,2.96497e-07,1.94402e-07,1.35379e-07,8.43464e-08,5.04812e-08,3.28378e-08,2.26738e-08,1.41260e-08,8.37812e-09,5.41847e-09,3.72631e-09
1.52775e-03,1.18721e-03,8.79413e-04,6.20240e-04,4.60108e-04,3.54159e-04,2.54442e-04,1.72143e-04,1.23026e-04,9.20706e-05,6.28105e-05,4.10290e-05,2.84978e-05,2.07156e-05,1.36954e-05,8.61939e-06,5.83606e-06,4.16696e-06,2.76369e-06,1.69167e-06,1.12783e-06,7.94317e-07,5.14987e-07,3.09804e-07,2.02244e-07,1.40357e-07,8.70947e-08,5.19238e-08,3.36791e-08,2.32025e-08,1.44187e-08,8.53079e-09,5.50736e-09,3.78223e-09
1.57348e-03,1.22126e-03,9.00594e-04,6.30646e-04,4.64795e-04,3.55929e-04,2.54407e-04,1.71439e-04,1.22253e-04,9.13504e-05,6.21874e-05,4.05166e-05,2.80811e-05,2.03798e-05,1.34536e-05,8.46060e-06,5.72802e-06,4.09054e-06,2.71398e-06,1.66193e-06,1.10828e-06,7.80646e-07,5.06167e-07,3.04518e-07,1.98808e-07,1.37989e-07,8.56446e-08,5.10784e-08,3.31444e-08,2.28438e-08,1.42046e-08,8.41052e-09,5.43342e-09,3.73373e-09
1.55452e-03,1.21247e-03,9.00034e-04,6.35480e-04,4.71753e-04,3.63320e-04,2.61084e-04,1.76517e-04,1.26006e-04,9.42060e-05,6.42125e-05,4.19401e-05,2.91410e-05,2.11911e-05,1.40136e-05,8.81816e-06,5.96763e-06,4.25836e-06,2.82206e-06,1.72591e-06,1.15002e-06,8.09637e-07,5.24740e-07,3.15575e-07,2.05961e-07,1.42905e-07,8.86442e-08,5.28225e-08,3.42455e-08,2.35817e-08,1.46445e-08,8.65739e-09,5.58510e-09,3.83318e-09
1.55550e-03,1.21399e-03,9.01868e-04,6.36921e-04,4.72513e-04,3.63573e-04,2.61014e-04,1.76407e-04,1.25949e-04,9.41721e-05,6.41603e-05,4.18465e-05,2.90275e-05,2.10771e-05,1.39154e-05,8.74563e-06,5.91510e-06,4.21966e-06,2.79580e-06,1.70937e-06,1.13862e-06,8.01328e-07,5.19094e-07,3.11991e-07,2.03529e-07,1.41172e-07,8.75435e-08,5.21588e-08,3.38158e-08,2.32883e-08,1.44661e-08,8.55547e-09,5.52171e-09,3.79125e-09
1.55552e-03,1.21402e-03,9.01920e-04,6.36907e-04,4.72250e-04,3.62893e-04,2.59624e-04,1.74262e-04,1.23557e-04,9.19419e-05,6.25351e-05,4.10532e-05,2.88186e-05,2.12090e-05,1.42702e-05,9.14897e-06,6.27680e-06,4.52409e-06,3.02831e-06,1.86966e-06,1.25367e-06,8.86688e-07,5.77415e-07,3.48770e-07,2.28227e-07,1.58595e-07,9.84676e-08,5.86579e-08,3.79816e-08,2.61098e-08,1.61668e-08,9.51853e-09,6.11677e-09,4.18293e-09
1.55552e-03,1.21402e-03,9.01938e-04,6.37023e-04,4.72629e-04,3.63703e-04,2.61201e-04,1.76761e-04,1.26516e-04,9.49164e-05,6.50418e-05,4.26892e-05,2.97015e-05,2.15536e-05,1.41364e-05,8.74766e-06,5.80663e-06,4.06449e-06,2.62785e-06,1.56253e-06,1.02061e-06,7.08562e-07,4.53505e-07,2.70416e-07,1.76000e-07,1.22136e-07,7.59887e-08,4.55437e-08,2.97102e-08,2.05814e-08,1.28860e-08,7.68873e-09,4.99858e-09,3.45305e-09
1.55552e-03,1.21402e-03,9.01938e-04,6.37021e-04,4.72617e-04,3.63663e-04,2.61072e-04,1.76425e-04,1.25941e-04,9.41452e-05,6.41103e-05,4.17675e-05,2.89252e-05,2.09621e-05,1.37998e-05,8.65028e-06,5.84712e-06,4.17663e-06,2.77921e-06,1.71428e-06,1.15284e-06,8.18800e-07,5.36605e-07,3.26704e-07,2.15182e-07,1.50317e-07,9.39154e-08,5.62845e-08,3.66075e-08,2.52522e-08,1.56968e-08,9.27624e-09,5.97715e-09,4.09589e-09
1.52882e-03,1.19651e-03,8.90936e-04,6.30342e-04,4.68143e-04,3.60479e-04,2.58984e-04,1.75154e-04,1.25111e-04,9.35750e-05,6.37759e-05,4.16098e-05,2.88710e-05,2.09682e-05,1.38474e-05,8.70559e-06,5.88953e-06,4.20234e-06,2.78504e-06,1.70330e-06,1.13484e-06,7.98822e-07,5.17586e-07,3.11161e-07,2.03027e-07,1.40845e-07,8.73568e-08,5.20574e-08,3.37549e-08,2.32491e-08,1.44437e-08,8.54345e-09,5.51455e-09,3.78666e-09
1.38039e-03,1.09592e-03,8.25662e-04,5.89549e-04,4.40308e-04,3.40409e-04,2.45653e-04,1.66923e-04,1.19666e-04,8.97513e-05,6.13623e-05,4.01518e-05,2.79194e-05,2.03123e-05,1.34429e-05,8.47059e-06,5.74111e-06,4.10265e-06,2.72367e-06,1.66887e-06,1.11344e-06,7.84606e-07,5.08991e-07,3.06384e-07,2.00104e-07,1.38925e-07,8.62479e-08,5.14457e-08,3.33835e-08,2.30076e-08,1.43044e-08,8.46767e-09,5.46899e-09,3.75726e-09
1.90441e-03,1.49083e-03,1.10712e-03,7.80131e-04,5.77184e-04,4.42772e-04,3.16259e-04,2.12047e-04,1.50179e-04,1.11475e-04,7.52487e-05,4.86206e-05,3.34803e-05,2.41620e-05,1.58282e-05,9.86098e-06,6.62047e-06,4.69336e-06,3.08702e-06,1.87223e-06,1.23959e-06,8.68214e-07,5.59410e-07,3.34324e-07,2.17158e-07,1.50105e-07,9.26908e-08,5.49903e-08,3.55317e-08,2.44021e-08,1.51070e-08,8.90324e-09,5.73034e-09,3.92562e-09
1.50296e-03,1.21735e-03,9.44680e-04,6.97089e-04,5.33112e-04,4.19006e-04,3.06909e-04,2.10562e-04,1.51351e-04,1.13437e-04,7.72847e-05,5.02802e-05,3.47569e-05,2.51397e-05,1.64957e-05,1.02815e-05,6.89933e-06,4.88653e-06,3.20910e-06,1.94206e-06,1.28341e-06,8.97473e-07,5.77163e-07,3.44207e-07,2.23204e-07,1.54072e-07,9.49778e-08,5.62475e-08,3.62925e-08,2.48952e-08,1.53900e-08,9.05631e-09,5.82190e-09,3.98443e-09
1.63006e-03,1.27330e-03,9.39017e-04,6.50872e-04,4.72633e-04,3.56360e-04,2.49495e-04,1.64199e-04,1.14992e-04,8.47888e-05,5.69186e-05,3.66734e-05,2.52570e-05,1.82662e-05,1.20331e-05,7.57026e-06,5.13597e-06,3.67792e-06,2.45052e-06,1.50917e-06,1.01136e-06,7.15413e-07,4.66262e-07,2.82146e-07,1.85065e-07,1.28946e-07,8.04188e-08,4.81999e-08,3.13998e-08,2.17117e-08,1.35537e-08,8.05769e-09,5.22194e-09,3.59761e-09
1.55157e-03,1.20661e-03,8.89737e-04,6.21134e-04,4.56655e-04,3.49650e-04,2.50942e-04,1.71128e-04,1.24035e-04,9.43421e-05,6.59643e-05,4.43209e-05,3.14817e-05,2.32841e-05,1.56807e-05,1.00198e-05,6.84205e-06,4.90752e-06,3.26307e-06,1.99676e-06,1.32832e-06,9.32800e-07,6.02045e-07,3.59942e-07,2.33637e-07,1.61308e-07,9.93955e-08,5.87955e-08,3.78840e-08,2.59500e-08,1.60095e-08,9.39796e-09,6.02885e-09,4.11854e-09
