,sensitivity,confidence
$\mathrm{thk}_{1}$,11.018372859318951,6.7775880316165384
$\mathrm{thk}_{2}$,10.887017654968489,7.183530806688605
$\mathrm{thk}_{3}$,1.734349191368749,1.1373560370879752
$\mathrm{thk}_{4}$,2.499975580346322,1.5177010250017524
$\mathrm{thk}_{5}$,0.858918731572873,0.4857430798426654
$\mathrm{thk}_{6}$,0.8724336661677684,0.545567949532331
$\mathrm{thk}_{7}$,1.3388625887722059,0.8464713181578409
$\mathrm{thk}_{8}$,0.7752657602659587,0.4941446812164462
$\mathrm{thk}_{9}$,1.071113303790874,0.5966000501884077
$\rho_{1}$,16.571582540866565,10.40648143948938
$\rho_{2}$,19.245688232345458,11.963523749661153
$\rho_{3}$,15.496605474719402,10.171194274250446
$\rho_{4}$,2.187778083198314,1.3512828711839835
$\rho_{5}$,4.594444906296301,2.9646390480803553
$\rho_{6}$,0.914881005774009,0.565383690943877
$\rho_{7}$,1.1595792919151333,0.7291786205748212
$\rho_{8}$,1.111722809715634,0.7201746964056872
$\rho_{9}$,1.550770798077635,1.004715987793101
$\rho_{10}$,2.050005933099598,1.2622320787178851
