tg_00,tg_01,tg_02,tg_03,tg_04,tg_05,tg_06,tg_07,tg_08,tg_09,tg_10,tg_11,tg_12,tg_13
-1.00669e-05,-1.35028e-06,4.84742e-06,7.02973e-06,6.24569e-06,5.03074e-06,3.62175e-06,2.35074e-06,1.59646e-06,1.14064e-06,7.38821e-07,4.60182e-07,3.08984e-07,2.19180e-07
-1.02312e-05,-4.18749e-06,2.85268e-06,6.52582e-06,5.93321e-06,4.73485e-06,3.46196e-06,2.29832e-06,1.56026e-06,1.11117e-06,7.23538e-07,4.54264e-07,3.05119e-07,2.16218e-07
-5.36977e-06,1.27562e-06,6.11117e-06,7.58665e-06,6.54081e-06,5.20937e-06,3.71942e-06,2.40093e-06,1.62601e-06,1.15986e-06,7.49975e-07,4.66513e-07,3.13009e-07,2.21938e-07
-9.87082e-06,-1.23046e-06,4.91834e-06,7.07197e-06,6.27286e-06,5.04959e-06,3.63442e-06,2.35903e-06,1.60219e-06,1.14484e-06,7.41644e-07,4.62023e-07,3.10264e-07,2.20116e-07
-5.78384e-06,1.96693e-06,6.67940e-06,7.73886e-06,6.64758e-06,5.31373e-06,3.77872e-06,2.42276e-06,1.64065e-06,1.17112e-06,7.55665e-07,4.68613e-07,3.14230e-07,2.22786e-07
3.69757e-05,2.58830e-05,1.75597e-05,1.14600e-05,7.77831e-06,5.52873e-06,3.67136e-06,2.29697e-06,1.53347e-06,1.08597e-06,6.97927e-07,4.32090e-07,2.88625e-07,2.03882e-07
-8.44094e-06,-4.81001e-07,5.25312e-06,7.20745e-06,6.33329e-06,5.07780e-06,3.64357e-06,2.35939e-06,1.59974e-06,1.14166e-06,7.38612e-07,4.59600e-07,3.08364e-07,2.18618e-07
-5.26421e-06,1.57465e-06,6.06460e-06,7.27504e-06,6.31200e-06,5.06558e-06,3.61241e-06,2.31959e-06,1.57129e-06,1.12181e-06,7.24408e-07,4.49741e-07,3.01827e-07,2.14149e-07
-1.00120e-05,-1.32166e-06,4.86346e-06,7.04017e-06,6.25237e-06,5.03531e-06,3.62504e-06,2.35315e-06,1.59822e-06,1.14199e-06,7.39778e-07,4.60842e-07,3.09458e-07,2.19535e-07
-1.27171e-05,-2.92391e-06,4.02349e-06,6.64180e-06,6.04461e-06,4.91808e-06,3.56702e-06,2.32758e-06,1.58619e-06,1.13604e-06,7.37703e-07,4.60493e-07,3.09695e-07,2.19958e-07
-1.00817e-05,-1.36455e-06,4.83557e-06,7.02098e-06,6.23900e-06,5.02550e-06,3.61796e-06,2.34819e-06,1.59463e-06,1.13926e-06,7.37867e-07,4.59546e-07,3.08529e-07,2.18839e-07
-1.73220e-05,-5.67060e-06,2.42434e-06,5.69401e-06,5.44657e-06,4.51659e-06,3.31214e-06,2.17378e-06,1.48767e-06,1.06879e-06,6.96086e-07,4.35623e-07,2.93616e-07,2.08906e-07
-1.11491e-05,-2.88067e-06,3.53661e-06,6.27528e-06,5.86697e-06,4.85289e-06,3.56113e-06,2.33656e-06,1.59255e-06,1.13911e-06,7.38632e-07,4.60404e-07,3.09224e-07,2.19384e-07
-1.19691e-05,-1.88054e-07,5.82245e-06,7.05474e-06,6.26961e-06,5.13012e-06,3.67255e-06,2.35062e-06,1.59965e-06,1.14718e-06,7.41360e-07,4.60221e-07,3.09892e-07,2.20439e-07
-1.56591e-05,4.03981e-06,1.10979e-05,9.86493e-06,7.43887e-06,5.54012e-06,3.76541e-06,2.37304e-06,1.60342e-06,1.14670e-06,7.41145e-07,4.60360e-07,3.09304e-07,2.19661e-07
-4.40120e-05,-2.52062e-05,-1.02392e-05,-1.80810e-06,3.89592e-07,8.50910e-07,8.82324e-07,6.70552e-07,4.74626e-07,3.43686e-07,2.28677e-07,1.46163e-07,9.88934e-08,7.03423e-08
-1.00530e-05,-1.41021e-06,4.78522e-06,6.99011e-06,6.21443e-06,5.00577e-06,3.60604e-06,2.34264e-06,1.59158e-06,1.13747e-06,7.37141e-07,4.59396e-07,3.08558e-07,2.18932e-07
-1.10811e-05,-2.63774e-06,4.03233e-06,6.73460e-06,6.06513e-06,4.88953e-06,3.54172e-06,2.31565e-06,1.57428e-06,1.12484e-06,7.30240e-07,4.56153e-07,3.06513e-07,2.17487e-07
