time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,6.647649969e-05,8.073680000e-05,3.336800000e-08,8.881048000e-06,2.768644795e+02,2.433400000e+02
1.456000e-05,2.652716807e-05,3.986960000e-05,3.563840000e-08,4.385656000e-06,3.987701691e+02,3.040200000e+02
1.744000e-05,3.973318545e-06,1.073796000e-05,3.727240000e-08,1.181175600e-06,1.046580141e+03,5.394600000e+02
2.146000e-05,-3.401929083e-06,-3.123520000e-06,3.223280000e-08,3.435872000e-07,-8.214589141e+02,-8.693300000e+02
2.549000e-05,-4.394944083e-06,-5.481640000e-06,2.414880000e-08,6.029804000e-07,-5.198366777e+02,-4.486600000e+02
2.950000e-05,-4.048307384e-06,-4.865880000e-06,1.771600000e-08,5.352468000e-07,-4.304273571e+02,-3.806500000e+02
3.528000e-05,-3.038830000e-06,-3.169960000e-06,1.172352000e-08,3.486956000e-07,-3.867529627e+02,-3.760500000e+02
4.330000e-05,-1.792126826e-06,-1.597708000e-06,8.099480000e-09,1.757478800e-07,-3.908947993e+02,-4.219800000e+02
5.140000e-05,-1.001439361e-06,-8.290400000e-07,7.399440000e-09,9.119440000e-08,-4.329428553e+02,-4.910400000e+02
5.941000e-05,-5.757734274e-07,-4.434160000e-07,7.451040000e-09,4.877576000e-08,-4.918717509e+02,-5.854100000e+02
7.095000e-05,-2.507124723e-07,-2.122480000e-07,5.825640000e-09,2.334728000e-08,-6.369141841e+02,-7.117800000e+02
8.707000e-05,-6.536909351e-08,-7.559400000e-08,5.655360000e-09,8.315340000e-09,-1.109403839e+03,-1.006900000e+03
