time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
1.255000e-05,6.688138766e-05,8.073680000e-05,3.336800000e-08,4.036840000e-06,2.757459570e+02,2.433400000e+02
1.456000e-05,2.662290301e-05,3.986960000e-05,3.563840000e-08,1.993480000e-06,3.978136205e+02,3.040200000e+02
1.744000e-05,3.922941735e-06,1.073796000e-05,3.727240000e-08,5.368980000e-07,1.055520908e+03,5.394600000e+02
2.146000e-05,-3.464119340e-06,-3.123520000e-06,3.223280000e-08,1.561760000e-07,-8.115976621e+02,-8.693300000e+02
2.549000e-05,-4.432992079e-06,-5.481640000e-06,2.414880000e-08,2.740820000e-07,-5.168579303e+02,-4.486600000e+02
2.950000e-05,-4.065547893e-06,-4.865880000e-06,1.771600000e-08,2.432940000e-07,-4.292096383e+02,-3.806500000e+02
3.528000e-05,-3.039421858e-06,-3.169960000e-06,1.172352000e-08,1.584980000e-07,-3.867027535e+02,-3.760500000e+02
4.330000e-05,-1.786262626e-06,-1.597708000e-06,8.099480000e-09,7.988540000e-08,-3.917498557e+02,-4.219800000e+02
5.140000e-05,-9.957687301e-07,-8.290400000e-07,7.399440000e-09,4.145200000e-08,-4.345849601e+02,-4.910400000e+02
5.941000e-05,-5.718760904e-07,-4.434160000e-07,7.451040000e-09,2.217080000e-08,-4.941039585e+02,-5.854100000e+02
7.095000e-05,-2.493251033e-07,-2.122480000e-07,5.825640000e-09,1.061240000e-08,-6.392747367e+02,-7.117800000e+02
8.707000e-05,-6.538104222e-08,-7.559400000e-08,5.655360000e-09,3.779700000e-09,-1.109268669e+03,-1.006900000e+03
