X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
29.85,3019.967,3.787,300.0,0.0,1e-06,0.08
29.85,3019.967,2.742,3327.391,0.5,3.5e-05,0.839
29.85,3019.967,2.711,3189.234,0.6,4.7e-05,0.819
29.85,3019.967,2.71,3016.938,0.6,6.2e-05,0.797
29.85,3019.967,5.0,2242.609,0.8,7.4e-05,0.759
29.85,3019.967,0.0,333.773,0.0,1e-06,0.025
