name	ri	minT(us)	maxT(us)	lam	my	cf	noifl	max_iter	n_iter	aRMS	rRMS	chi2	runtime(min)
L50-02	r000	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.05	25	13	8.96e-06	 39.278	 61.709	 3.4
L50-02	r001	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.08	25	18	8.73e-06	 38.837	 23.567	 4.7
L50-02	r002	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.11	25	20	8.60e-06	 38.835	 12.464	 5.1
L50-02	r003	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.14	25	23	8.74e-06	 38.422	  7.532	 5.8
L50-04	r000	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.05	25	13	1.00e-05	 38.569	 59.504	 3.4
L50-04	r001	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.08	25	18	9.79e-06	 37.988	 22.548	 4.6
L50-04	r002	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.11	25	21	9.26e-06	 38.032	 11.954	 5.3
L50-04	r003	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.14	25	24	9.36e-06	 37.687	  7.246	 6.0
L50-06	r000	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.05	25	14	1.09e-05	 36.849	 54.314	 3.6
L50-06	r001	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.08	25	19	1.06e-05	 36.202	 20.478	 4.8
L50-06	r002	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.11	25	22	1.00e-05	 36.366	 10.929	 5.5
L50-06	r003	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.14	25	24	1.06e-05	 35.801	  6.539	 6.0
L50-08	r000	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.05	25	14	6.15e-06	 31.116	 38.727	 3.6
L50-08	r001	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.08	25	18	5.98e-06	 30.786	 14.809	 4.6
L50-08	r002	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.11	25	21	6.05e-06	 31.228	  8.059	 5.3
L50-08	r003	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.14	25	23	5.92e-06	 30.741	  4.821	 5.7
L50-10	r000	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.05	25	14	5.77e-06	 29.269	 34.266	 3.6
L50-10	r001	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.08	25	18	5.62e-06	 28.963	 13.107	 4.6
L50-10	r002	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.11	25	21	5.58e-06	 29.378	  7.133	 5.3
L50-10	r003	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.14	25	23	5.55e-06	 28.907	  4.263	 5.7
L50-12	r000	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.05	25	12	5.22e-06	 27.856	 31.039	 3.1
L50-12	r001	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.08	25	17	4.96e-06	 27.576	 11.881	 4.3
L50-12	r002	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.11	25	19	4.83e-06	 27.911	  6.438	 4.8
L50-12	r003	12.0	120.0	  1500.0	1.0e+02	8.0e-01	0.14	25	22	4.91e-06	 27.551	  3.873	 5.5
