X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
100.02,2998.511,3.789,300.0,0.0,1e-06,0.08
100.02,2998.511,2.798,3266.871,0.6,3e-05,0.849
100.02,2998.511,2.756,3140.216,0.6,4.5e-05,0.806
100.02,2998.511,2.753,2971.477,0.6,6.6e-05,0.772
100.02,2998.511,5.0,2261.676,0.8,8.4e-05,0.751
100.02,2998.511,0.0,338.427,0.0,1e-06,0.03
