X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
100.02,2998.511,3.756,300.0,0.0,1e-06,0.08
100.02,2998.511,2.788,3241.445,0.6,3e-05,0.849
100.02,2998.511,2.744,3124.095,0.6,4.5e-05,0.804
100.02,2998.511,2.741,2960.055,0.6,6.5e-05,0.768
100.02,2998.511,5.0,2269.24,0.8,8.7e-05,0.742
100.02,2998.511,0.0,338.305,0.0,1e-06,0.029
