X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
38.92,3016.959,3.918,300.0,0.0,1e-06,0.074
38.92,3016.959,2.774,3320.61,0.5,2.3e-05,0.86
38.92,3016.959,2.676,3231.315,0.5,4.1e-05,0.753
38.92,3016.959,2.672,3042.322,0.6,7e-05,0.693
38.92,3016.959,5.0,2390.224,0.8,0.0001,0.679
38.92,3016.959,0.0,338.76,0.0,1e-06,0.03
