X,Z,thk(m),rho(Ohmm),mpa(rad),tau_p(s),c()
38.92,3016.959,3.922,300.0,0.0,1e-06,0.074
38.92,3016.959,2.786,3291.166,0.6,2.3e-05,0.87
38.92,3016.959,2.669,3221.67,0.5,4e-05,0.752
38.92,3016.959,2.662,3033.931,0.6,7.1e-05,0.688
38.92,3016.959,5.0,2360.259,0.7,0.00011,0.669
38.92,3016.959,0.0,336.811,0.0,1e-06,0.028
