X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
40.000,0.000,0.000,3.918,300.000,0.0,1.0e-06,0.074
40.000,0.000,0.000,2.774,3320.610,0.5,2.3e-05,0.860
40.000,0.000,0.000,2.676,3231.315,0.5,4.1e-05,0.753
40.000,0.000,0.000,2.672,3042.322,0.6,7.0e-05,0.693
40.000,0.000,0.000,5.000,2390.224,0.8,1.0e-04,0.679
40.000,0.000,0.000,0.000,338.760,0.0,1.0e-06,0.030
