time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,1.418378605e-03,1.258995200e-03,1.796390400e-06,1.133095680e-04,2.487183220e+01,2.696000000e+01
6.070000e-06,8.806745689e-04,8.200000000e-04,1.086073600e-06,7.380000000e-05,2.531576392e+01,2.656000000e+01
7.080000e-06,5.978978581e-04,6.069312000e-04,9.110528000e-07,5.462380800e-05,2.535765358e+01,2.512000000e+01
8.520000e-06,3.953581836e-04,4.358464000e-04,5.867264000e-07,3.922617600e-05,2.453895209e+01,2.301000000e+01
1.053000e-05,2.653519917e-04,3.051712000e-04,4.135424000e-07,2.746540800e-05,2.248987143e+01,2.049000000e+01
1.255000e-05,2.017524142e-04,2.310694400e-04,3.164544000e-07,2.079624960e-05,2.015102411e+01,1.842000000e+01
1.456000e-05,1.647550737e-04,1.835225600e-04,2.480204800e-07,1.651703040e-05,1.800615575e+01,1.676000000e+01
1.744000e-05,1.309813708e-04,1.403315200e-04,1.900300800e-07,1.262983680e-05,1.553097321e+01,1.484000000e+01
2.146000e-05,1.011790514e-04,1.037267200e-04,1.473113600e-07,9.335404800e-06,1.305587232e+01,1.284000000e+01
2.549000e-05,8.114955002e-05,8.079296000e-05,1.203628800e-07,7.271366400e-06,1.135294906e+01,1.139000000e+01
2.950000e-05,6.670197370e-05,6.525888000e-05,9.774400000e-08,5.873299200e-06,1.014191600e+01,1.029000000e+01
3.528000e-05,5.168431921e-05,4.954112000e-05,6.906368000e-08,4.458700800e-06,8.922002315e+00,9.180000000e+00
4.330000e-05,3.770880930e-05,3.576512000e-05,5.814784000e-08,3.218860800e-06,7.824815731e+00,8.100000000e+00
5.140000e-05,2.840902601e-05,2.681728000e-05,5.195520000e-08,2.413555200e-06,7.101330594e+00,7.380000000e+00
5.941000e-05,2.210567420e-05,2.078208000e-05,4.424064000e-08,1.870387200e-06,6.593976502e+00,6.870000000e+00
7.095000e-05,1.575991113e-05,1.492268800e-05,2.673856000e-08,1.343041920e-06,6.146473072e+00,6.370000000e+00
8.707000e-05,1.070567192e-05,1.015488000e-05,2.345068800e-08,9.139392000e-07,5.654475129e+00,5.860000000e+00
1.031600e-04,7.572717439e-06,7.252736000e-06,1.698777600e-08,6.527462400e-07,5.369029232e+00,5.530000000e+00
1.192200e-04,5.478678070e-06,5.371328000e-06,1.949369600e-08,4.834195200e-07,5.234599292e+00,5.300000000e+00
1.423300e-04,3.427268539e-06,3.720832000e-06,1.014963200e-08,3.348748800e-07,5.326676484e+00,5.040000000e+00
1.745400e-04,1.815463000e-06,2.364224000e-06,1.112051200e-08,2.127801600e-07,5.791164992e+00,4.860000000e+00
