X,Y,Z,depth(m),rho(Ohmm),mpa(rad),tau_p(s),c()
12.500,0.000,0.000,6.999,53.820,0.0,1.0e-06,0.100
12.500,0.000,0.000,8.418,67.676,0.2,8.8e-05,0.581
12.500,0.000,0.000,7.932,36.038,0.2,9.5e-05,0.511
12.500,0.000,0.000,7.936,31.087,0.3,1.0e-04,0.502
12.500,0.000,0.000,7.953,26.656,0.3,1.0e-04,0.486
12.500,0.000,0.000,0.000,24.020,0.4,1.0e-04,0.469
