time(s),signal_pred(V/m2),signal_obs(V/m2),err_obs(V/m2),err_scl(V/m2),rhoa_pred(V/m2),rhoa_obs(V/m2)
5.070000e-06,6.161056439e-04,6.580992000e-04,8.344320000e-07,4.606694400e-05,4.336430950e+01,4.155000000e+01
6.070000e-06,3.973675830e-04,3.710336000e-04,4.284992000e-07,2.597235200e-05,4.303347172e+01,4.506000000e+01
7.080000e-06,2.777190898e-04,2.540556800e-04,4.271872000e-07,1.778389760e-05,4.227885730e+01,4.489000000e+01
8.520000e-06,1.852493755e-04,1.728691200e-04,2.168211200e-07,1.210083840e-05,4.067666444e+01,4.262000000e+01
1.053000e-05,1.176493729e-04,1.149312000e-04,1.951468800e-07,8.045184000e-06,3.867902007e+01,3.929000000e+01
1.255000e-05,8.102750636e-05,8.173760000e-05,1.721081600e-07,5.721632000e-06,3.701871167e+01,3.682000000e+01
1.456000e-05,5.915383134e-05,6.100800000e-05,1.591718400e-07,4.270560000e-06,3.564442514e+01,3.494000000e+01
1.744000e-05,4.010637551e-05,4.174784000e-05,8.331200000e-08,2.922348800e-06,3.418713820e+01,3.329000000e+01
2.146000e-05,2.534604973e-05,2.650240000e-05,6.008960000e-08,1.855168000e-06,3.285434207e+01,3.189000000e+01
2.549000e-05,1.711926876e-05,1.798752000e-05,5.780672000e-08,1.259126400e-06,3.203632027e+01,3.100000000e+01
2.950000e-05,1.216256048e-05,1.263456000e-05,6.342208000e-08,8.844192000e-07,3.154005580e+01,3.074000000e+01
3.528000e-05,7.915529213e-06,8.079296000e-06,3.001856000e-08,5.655507200e-07,3.116842767e+01,3.075000000e+01
4.330000e-05,4.794117544e-06,4.893760000e-06,2.435859200e-08,3.425632000e-07,3.094783076e+01,3.053000000e+01
5.140000e-05,3.149579123e-06,3.122560000e-06,3.308864000e-08,2.185792000e-07,3.077104737e+01,3.095000000e+01
5.941000e-05,2.214233904e-06,2.169523200e-06,2.967744000e-08,1.518666240e-07,3.057273141e+01,3.099000000e+01
7.095000e-05,1.420712858e-06,1.389932800e-06,1.587782400e-08,9.729529600e-08,3.057203059e+01,3.102000000e+01
8.707000e-05,8.869029595e-07,8.522752000e-07,1.797964800e-08,5.965926400e-08,2.975437615e+01,3.055000000e+01
1.031600e-04,6.010388829e-07,5.641600000e-07,1.538976000e-08,3.949120000e-08,2.907112851e+01,3.032000000e+01
1.192200e-04,4.287310627e-07,4.237760000e-07,1.936249600e-08,2.966432000e-08,2.861172198e+01,2.883000000e+01
1.423300e-04,2.751772195e-07,2.952000000e-07,9.244352000e-09,2.066400000e-08,2.862068946e+01,2.731000000e+01
1.745400e-04,1.643416769e-07,1.963801600e-07,9.215488000e-09,1.374661120e-08,2.872493560e+01,2.551000000e+01
